URL	PDF location on VM	PMID	Downloaded by	Comments	Text location on VM
https://drive.google.com/file/d/1DAVFCmUpfB0Mxt8t6ScVT4m2i03UDSx7/view?usp=drive_link	/mnt/clbp/pdfs/pnad009.pdf	36715642			
https://academic.oup.com/painmedicine/advance-article/doi/10.1093/pm/pnac130/6687139	/mnt/clbp/pdfs/pnac130.pdf	31577276	Paul Anderson		
https://pubmed.ncbi.nlm.nih.gov/27586833/	nihms913006.pdf	27586833	Courtney Baird	pnac138.pdf(#1)	
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4128347/	/mnt/clbp/pdfs/nihms588873.pdf	24787228	Mayumi Paraiso	pnac202.pdf (#1)	
https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)30925-9/fulltext	/mnt/clbp/pdfs/TL_396-10258-1204.pdf	33069326	Gianna Bozzo 	pnad009.pdf (#1) 	
https://www.jabfm.org/content/22/1/62.full	/mnt/clbp/pdfs/62.full.pdf	19124635	Gianna Bozzo 	pnad009.pdf (#2)	
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277660/	/mnt/clbp/pdfs/nihms-1666204.pdf	33729212	Gianna Bozzo 	pnad009.pdf (#3)	
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9273132/	/mnt/clbp/pdfs/nihms-1814320.pdf	35662366	Gianna Bozzo 	pnad009.pdf (#4)	
https://pubmed.ncbi.nlm.nih.gov/33021770/	/mnt/clbp/pdfs/PAIN_D_20_00793_R1_together_AAM.pdf	33021770	Gianna Bozzo 	Could only access full article through PDF. URL does not go to full article 	
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4128347/	/mnt/clbp/pdfs/ptj00e1.pdf	24787228	Gianna Bozzo 	pnad009.pdf (#7)	
https://pubmed.ncbi.nlm.nih.gov/34473621/	/mnt/clbp/pdfs/db415-H.pdf	34473621	Mayumi Paraiso	pnac202.pdf (#2) 	
https://jamanetwork.com/journals/jama/fullarticle/2762309	/mnt/clbp/pdfs/jama_dieleman_2020_oi_200007.pdf	32125402	Mayumi Paraiso	pnac202.pdf (#3)	
https://pubmed.ncbi.nlm.nih.gov/25561513/	/mnt/clbp/pdfs/State of the Art Review_ Opioids for low back pain - PMC.pdf	25561513	Mayumi Paraiso	pnac202.pdf (#4) 	
https://www.ijssurgery.com/content/7/e29.full	/mnt/clbp/pdfs/e29.full.pdf	25694901	Gianna Bozzo 	pnad009.pdf (#8)	
https://journals.sagepub.com/doi/epub/10.1177/2050312118757387	/mnt/clbp/pdfs/alhowimel.pdf	29449945	Gianna Bozzo 	pnad009.pdf (#9)	
https://www.sciencedirect.com/science/article/pii/S0306452216301269	/mnt/clbp/pdfs/1-s2.0-S0306452216301269-main.pdf	27143481	Gianna Bozzo 	pnad009.pdf (#12)	
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5828382/	/mnt/clbp/pdfs/jop-159-583.pdf	29240606	Gianna Bozzo 	pnad009.pdf (#13)	
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3821734/	/mnt/clbp/pdfs/nihms337231.pdf	22058430	Gianna Bozzo 	pnad009.pdf (#14)	
https://link.springer.com/article/10.1007/s40610-018-0101-2	/mnt/clbp/pdfs/s40610-018-0101-2.pdf	30464887	Gianna Bozzo 	pnad009.pdf (#15)	
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8915771/	/mnt/clbp/pdfs/fpain-02-744148.pdf	35295525	Gianna Bozzo 	pnad009.pdf (#16)	
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8885563/	/mnt/clbp/pdfs/main.pdf	35243180	Gianna Bozzo 	pnad009.pdf (#17)	
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7658508/	/mnt/clbp/pdfs/10.1177_1744806920972889.pdf	33169629	Gianna Bozzo 	pnad009.pdf (#18)	
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3033683/	/mnt/clbp/pdfs/M110.004523.pdf	21048193	Gianna Bozzo 	pnad009.pdf (#19)	
