Description1,Description2,similarity
"""d2:Sensorimotor_Control.txt""","""d6:Peripheral_Stimulus.txt""",0.36
"""d6:Peripheral_Stimulus.txt""","""d2:Sensorimotor_Control.txt""",0.36
"""d5:Familial_Attributes.txt""","""d6:Central_Schema_Attributes.txt""",0.3333333333333333
"""d6:Central_Schema_Attributes.txt""","""d5:Familial_Attributes.txt""",0.3333333333333333
"""d1:Coping_Skills.txt""","""d6:Pain_Perception.txt""",0.3
"""d6:Pain_Perception.txt""","""d1:Coping_Skills.txt""",0.3
"""d3:Societal_Attributes.txt""","""d5:Familial_Attributes.txt""",0.2857142857142857
"""d5:Familial_Attributes.txt""","""d3:Societal_Attributes.txt""",0.2857142857142857
"""d3:Societal_Attributes.txt""","""d6:Central_Schema_Attributes.txt""",0.25
"""d6:Central_Schema_Attributes.txt""","""d3:Societal_Attributes.txt""",0.25
"""d1:Coping_Skills.txt""","""d1:Pain_Beliefs.txt""",0.23809523809523808
"""d1:Pain_Beliefs.txt""","""d1:Coping_Skills.txt""",0.23809523809523808
"""d1:Pain_Beliefs.txt""","""d2:Physical_Activity.txt""",0.23809523809523808
"""d2:Physical_Activity.txt""","""d1:Pain_Beliefs.txt""",0.23809523809523808
"""d6:Central_Pain_Processing.txt""","""d6:Peripheral_Stimulus.txt""",0.22727272727272727
"""d6:Peripheral_Stimulus.txt""","""d6:Central_Pain_Processing.txt""",0.22727272727272727
"""d2:Tissue_Tolerance.txt""","""d6:Central_Schema_Attributes.txt""",0.2222222222222222
"""d6:Central_Schema_Attributes.txt""","""d2:Tissue_Tolerance.txt""",0.2222222222222222
"""d6:Anatomy.txt""","""d6:Peripheral_Stimulus.txt""",0.20833333333333334
"""d6:Peripheral_Stimulus.txt""","""d6:Anatomy.txt""",0.20833333333333334
"""d1:Coping_Skills.txt""","""d6:Pain_Experience.txt""",0.2
"""d1:Psychological_Attributes.txt""","""d6:Central_Schema_Attributes.txt""",0.2
"""d1:Psychological_Resources.txt""","""d6:Pain_Perception.txt""",0.2
"""d2:Load.txt""","""d6:Peripheral_Stimulus.txt""",0.2
"""d4:Inflammation.txt""","""d4:Physical_co-morbidities.txt""",0.2
"""d4:Physical_co-morbidities.txt""","""d4:Inflammation.txt""",0.2
"""d6:Central_Schema_Attributes.txt""","""d1:Psychological_Attributes.txt""",0.2
"""d6:Pain_Experience.txt""","""d1:Coping_Skills.txt""",0.2
"""d6:Pain_Perception.txt""","""d1:Psychological_Resources.txt""",0.2
"""d6:Peripheral_Stimulus.txt""","""d2:Load.txt""",0.2
"""d1:Affective_State.txt""","""d1:Personality_Traits.txt""",0.1935483870967742
"""d1:Personality_Traits.txt""","""d1:Affective_State.txt""",0.1935483870967742
"""d2:Sensorimotor_Control.txt""","""d6:Anatomy.txt""",0.1935483870967742
"""d6:Anatomy.txt""","""d2:Sensorimotor_Control.txt""",0.1935483870967742
"""d5:Genetics.txt""","""d6:Central_Pain_Processing.txt""",0.19047619047619047
"""d6:Central_Pain_Processing.txt""","""d5:Genetics.txt""",0.19047619047619047
"""d1:Coping_Skills.txt""","""d2:Physical_Activity.txt""",0.18181818181818182
"""d1:Pain_Beliefs.txt""","""d6:Pain_Perception.txt""",0.18181818181818182
"""d2:Biomechanical_Attributes.txt""","""d6:Anatomy.txt""",0.18181818181818182
"""d2:Physical_Activity.txt""","""d1:Coping_Skills.txt""",0.18181818181818182
"""d2:Physical_Activity.txt""","""d6:Pain_Perception.txt""",0.18181818181818182
"""d3:Societal_Attributes.txt""","""d6:Functional_Consequence.txt""",0.18181818181818182
"""d6:Anatomy.txt""","""d2:Biomechanical_Attributes.txt""",0.18181818181818182
"""d6:Functional_Consequence.txt""","""d3:Societal_Attributes.txt""",0.18181818181818182
"""d6:Pain_Perception.txt""","""d1:Pain_Beliefs.txt""",0.18181818181818182
"""d6:Pain_Perception.txt""","""d2:Physical_Activity.txt""",0.18181818181818182
"""d1:Personality_Traits.txt""","""d5:Genetics.txt""",0.17391304347826086
"""d3:Socio-demographics.txt""","""d5:Demographics.txt""",0.17391304347826086
"""d5:Demographics.txt""","""d3:Socio-demographics.txt""",0.17391304347826086
"""d5:Genetics.txt""","""d1:Personality_Traits.txt""",0.17391304347826086
"""d6:Central_Pain_Processing.txt""","""d6:Pain_Perception.txt""",0.17391304347826086
"""d6:Nociception_and_Neuropathic_Pain.txt""","""d6:Peripheral_Stimulus.txt""",0.17391304347826086
"""d6:Pain_Perception.txt""","""d6:Central_Pain_Processing.txt""",0.17391304347826086
"""d6:Peripheral_Stimulus.txt""","""d6:Nociception_and_Neuropathic_Pain.txt""",0.17391304347826086
"""d1:Affective_State.txt""","""d1:Coping_Skills.txt""",0.1724137931034483
"""d1:Affective_State.txt""","""d1:Pain_Beliefs.txt""",0.1724137931034483
"""d1:Coping_Skills.txt""","""d1:Affective_State.txt""",0.1724137931034483
"""d1:Pain_Beliefs.txt""","""d1:Affective_State.txt""",0.1724137931034483
"""d1:Psychological_Attributes.txt""","""d3:Societal_Attributes.txt""",0.16666666666666666
"""d1:Psychological_Resources.txt""","""d6:Central_Schema_Attributes.txt""",0.16666666666666666
"""d2:Load.txt""","""d6:Central_Schema_Attributes.txt""",0.16666666666666666
"""d2:Physical_Activity.txt""","""d3:Socio-demographics.txt""",0.16666666666666666
"""d2:Sensorimotor_Control.txt""","""d6:Central_Pain_Processing.txt""",0.16666666666666666
