Text1,Text2,similarity
"""14.pdf""","""d6:Central_Schema_Attributes.txt""",1.0
"""2.pdf""","""d3:Societal_Attributes.txt""",1.0
"""2.pdf""","""d4:Physical_co-morbidities.txt""",1.0
"""21.pdf""","""d6:Central_Schema_Attributes.txt""",1.0
"""21.pdf""","""d6:Peripheral_Stimulus.txt""",1.0
"""37.pdf""","""58.pdf""",1.0
"""40.pdf""","""d3:Societal_Attributes.txt""",1.0
"""41.pdf""","""d1:Psychological_Attributes.txt""",1.0
"""41.pdf""","""d3:Societal_Attributes.txt""",1.0
"""46.pdf""","""58.pdf""",1.0
"""46.pdf""","""d3:Societal_Attributes.txt""",1.0
"""53.pdf""","""58.pdf""",1.0
"""58.pdf""","""37.pdf""",1.0
"""58.pdf""","""46.pdf""",1.0
"""58.pdf""","""53.pdf""",1.0
"""d1:Psychological_Attributes.txt""","""41.pdf""",1.0
"""d2:Tissue_Tolerance.txt""","""d6:Central_Schema_Attributes.txt""",1.0
"""d3:Societal_Attributes.txt""","""2.pdf""",1.0
"""d3:Societal_Attributes.txt""","""40.pdf""",1.0
"""d3:Societal_Attributes.txt""","""41.pdf""",1.0
"""d3:Societal_Attributes.txt""","""46.pdf""",1.0
"""d4:Inflammation.txt""","""d6:Central_Schema_Attributes.txt""",1.0
"""d4:Physical_co-morbidities.txt""","""2.pdf""",1.0
"""d5:Familial_Attributes.txt""","""d6:Central_Schema_Attributes.txt""",1.0
"""d6:Central_Schema_Attributes.txt""","""14.pdf""",1.0
"""d6:Central_Schema_Attributes.txt""","""21.pdf""",1.0
"""d6:Central_Schema_Attributes.txt""","""d2:Tissue_Tolerance.txt""",1.0
"""d6:Central_Schema_Attributes.txt""","""d4:Inflammation.txt""",1.0
"""d6:Central_Schema_Attributes.txt""","""d5:Familial_Attributes.txt""",1.0
"""d6:Central_Schema_Attributes.txt""","""d6:Nociception_and_Neuropathic_Pain.txt""",1.0
"""d6:Central_Schema_Attributes.txt""","""d6:Peripheral_Stimulus.txt""",1.0
"""d6:Nociception_and_Neuropathic_Pain.txt""","""d6:Central_Schema_Attributes.txt""",1.0
"""d6:Peripheral_Stimulus.txt""","""21.pdf""",1.0
"""d6:Peripheral_Stimulus.txt""","""d6:Central_Schema_Attributes.txt""",1.0
"""21.pdf""","""d2:Sensorimotor_Control.txt""",0.9523809523809523
"""d2:Sensorimotor_Control.txt""","""21.pdf""",0.9523809523809523
"""17.pdf""","""d6:Central_Pain_Processing.txt""",0.9285714285714286
"""d6:Central_Pain_Processing.txt""","""17.pdf""",0.9285714285714286
"""41.pdf""","""d1:Pain_Beliefs.txt""",0.9230769230769231
"""49.pdf""","""d1:Pain_Beliefs.txt""",0.9230769230769231
"""d1:Pain_Beliefs.txt""","""41.pdf""",0.9230769230769231
"""d1:Pain_Beliefs.txt""","""49.pdf""",0.9230769230769231
"""15.pdf""","""d2:Biomechanical_Attributes.txt""",0.9
"""17.pdf""","""d6:Functional_Consequence.txt""",0.9
"""d2:Biomechanical_Attributes.txt""","""15.pdf""",0.9
"""d6:Functional_Consequence.txt""","""17.pdf""",0.9
"""12.pdf""","""d2:Physical_Activity.txt""",0.8461538461538461
"""14.pdf""","""d6:Peripheral_Stimulus.txt""",0.8461538461538461
"""15.pdf""","""d2:Physical_Activity.txt""",0.8461538461538461
"""17.pdf""","""d1:Pain_Beliefs.txt""",0.8461538461538461
"""40.pdf""","""d1:Pain_Beliefs.txt""",0.8461538461538461
"""48.pdf""","""d1:Pain_Beliefs.txt""",0.8461538461538461
"""55.pdf""","""d1:Pain_Beliefs.txt""",0.8461538461538461
"""d1:Pain_Beliefs.txt""","""17.pdf""",0.8461538461538461
"""d1:Pain_Beliefs.txt""","""40.pdf""",0.8461538461538461
"""d1:Pain_Beliefs.txt""","""48.pdf""",0.8461538461538461
"""d1:Pain_Beliefs.txt""","""55.pdf""",0.8461538461538461
"""d2:Physical_Activity.txt""","""12.pdf""",0.8461538461538461
"""d2:Physical_Activity.txt""","""15.pdf""",0.8461538461538461
"""d6:Peripheral_Stimulus.txt""","""14.pdf""",0.8461538461538461
"""41.pdf""","""d6:Pain_Experience.txt""",0.8181818181818182
"""d6:Pain_Experience.txt""","""41.pdf""",0.8181818181818182
"""17.pdf""","""d2:Sensorimotor_Control.txt""",0.8095238095238095
"""d2:Sensorimotor_Control.txt""","""17.pdf""",0.8095238095238095
"""14.pdf""","""d2:Biomechanical_Attributes.txt""",0.8
"""2.pdf""","""d6:Functional_Consequence.txt""",0.8
"""41.pdf""","""d6:Functional_Consequence.txt""",0.8
"""48.pdf""","""d1:Psychological_Resources.txt""",0.8
"""49.pdf""","""d6:Functional_Consequence.txt""",0.8
"""d1:Psychological_Resources.txt""","""48.pdf""",0.8
"""d2:Biomechanical_Attributes.txt""","""14.pdf""",0.8
"""d6:Functional_Consequence.txt""","""2.pdf""",0.8
"""d6:Functional_Consequence.txt""","""41.pdf""",0.8
"""d6:Functional_Consequence.txt""","""49.pdf""",0.8
"""10.pdf""","""d2:Physical_Activity.txt""",0.7692307692307693
"""12.pdf""","""d6:Peripheral_Stimulus.txt""",0.7692307692307693
"""14.pdf""","""d1:Pain_Beliefs.txt""",0.7692307692307693
"""15.pdf""","""d1:Pain_Beliefs.txt""",0.7692307692307693
"""16.pdf""","""d1:Pain_Beliefs.txt""",0.7692307692307693
"""17.pdf""","""d6:Peripheral_Stimulus.txt""",0.7692307692307693
"""2.pdf""","""d1:Pain_Beliefs.txt""",0.7692307692307693
"""41.pdf""","""d2:Physical_Activity.txt""",0.7692307692307693
"""43.pdf""","""d1:Pain_Beliefs.txt""",0.7692307692307693
"""55.pdf""","""d1:Coping_Skills.txt""",0.7692307692307693
"""d1:Coping_Skills.txt""","""55.pdf""",0.7692307692307693
"""d1:Pain_Beliefs.txt""","""15.pdf""",0.7692307692307693
"""d1:Pain_Beliefs.txt""","""16.pdf""",0.7692307692307693
"""d1:Pain_Beliefs.txt""","""2.pdf""",0.7692307692307693
"""d1:Pain_Beliefs.txt""","""43.pdf""",0.7692307692307693
"""d2:Physical_Activity.txt""","""10.pdf""",0.7692307692307693
"""d2:Physical_Activity.txt""","""41.pdf""",0.7692307692307693
"""d6:Peripheral_Stimulus.txt""","""12.pdf""",0.7692307692307693
"""d6:Peripheral_Stimulus.txt""","""17.pdf""",0.7692307692307693
"""12.pdf""","""d2:Sensorimotor_Control.txt""",0.7619047619047619
"""14.pdf""","""d2:Sensorimotor_Control.txt""",0.7619047619047619
