Paper1,Paper2,similarity
"""41.pdf""","""53.pdf""",0.7457627118644068
"""53.pdf""","""41.pdf""",0.7457627118644068
"""16.pdf""","""17.pdf""",0.7073170731707317
"""17.pdf""","""16.pdf""",0.7073170731707317
"""21.pdf""","""22.pdf""",0.6986301369863014
"""22.pdf""","""21.pdf""",0.6986301369863014
"""12.pdf""","""16.pdf""",0.6951219512195121
"""15.pdf""","""16.pdf""",0.6951219512195121
"""16.pdf""","""12.pdf""",0.6951219512195121
"""16.pdf""","""15.pdf""",0.6951219512195121
"""21.pdf""","""25.pdf""",0.691358024691358
"""25.pdf""","""21.pdf""",0.691358024691358
"""41.pdf""","""51.pdf""",0.6851851851851852
"""51.pdf""","""41.pdf""",0.6851851851851852
"""60.pdf""","""62.pdf""",0.6829268292682927
"""62.pdf""","""60.pdf""",0.6829268292682927
"""17.pdf""","""47.pdf""",0.6781609195402298
"""47.pdf""","""17.pdf""",0.6781609195402298
"""22.pdf""","""23.pdf""",0.6712328767123288
"""23.pdf""","""22.pdf""",0.6712328767123288
"""21.pdf""","""47.pdf""",0.6666666666666666
"""47.pdf""","""21.pdf""",0.6666666666666666
"""2.pdf""","""40.pdf""",0.6547619047619048
"""40.pdf""","""2.pdf""",0.6547619047619048
"""15.pdf""","""65.pdf""",0.651685393258427
"""65.pdf""","""15.pdf""",0.651685393258427
"""17.pdf""","""51.pdf""",0.6481481481481481
"""51.pdf""","""17.pdf""",0.6481481481481481
"""12.pdf""","""25.pdf""",0.6419753086419753
"""25.pdf""","""12.pdf""",0.6419753086419753
"""18.pdf""","""49.pdf""",0.6388888888888888
"""49.pdf""","""18.pdf""",0.6388888888888888
"""15.pdf""","""29.pdf""",0.6375
"""29.pdf""","""15.pdf""",0.6375
"""16.pdf""","""21.pdf""",0.6341463414634146
"""20.pdf""","""60.pdf""",0.6341463414634146
"""21.pdf""","""16.pdf""",0.6341463414634146
"""48.pdf""","""60.pdf""",0.6341463414634146
"""60.pdf""","""20.pdf""",0.6341463414634146
"""60.pdf""","""48.pdf""",0.6341463414634146
"""12.pdf""","""29.pdf""",0.625
"""29.pdf""","""12.pdf""",0.625
"""17.pdf""","""25.pdf""",0.6172839506172839
"""25.pdf""","""17.pdf""",0.6172839506172839
"""29.pdf""","""34.pdf""",0.6125
"""34.pdf""","""29.pdf""",0.6125
"""17.pdf""","""18.pdf""",0.6111111111111112
"""18.pdf""","""17.pdf""",0.6111111111111112
"""43.pdf""","""51.pdf""",0.6111111111111112
"""51.pdf""","""43.pdf""",0.6111111111111112
"""12.pdf""","""17.pdf""",0.6106870229007634
"""17.pdf""","""12.pdf""",0.6106870229007634
"""12.pdf""","""26.pdf""",0.6081081081081081
"""17.pdf""","""26.pdf""",0.6081081081081081
"""26.pdf""","""12.pdf""",0.6081081081081081
"""26.pdf""","""17.pdf""",0.6081081081081081
"""10.pdf""","""17.pdf""",0.6055045871559633
"""17.pdf""","""10.pdf""",0.6055045871559633
"""17.pdf""","""34.pdf""",0.6021505376344086
"""34.pdf""","""17.pdf""",0.6021505376344086
"""41.pdf""","""52.pdf""",0.6
"""52.pdf""","""41.pdf""",0.6
"""21.pdf""","""65.pdf""",0.5955056179775281
"""65.pdf""","""21.pdf""",0.5955056179775281
"""21.pdf""","""26.pdf""",0.5945945945945946
"""26.pdf""","""21.pdf""",0.5945945945945946
"""42.pdf""","""53.pdf""",0.5932203389830508
"""53.pdf""","""42.pdf""",0.5932203389830508
"""25.pdf""","""49.pdf""",0.5925925925925926
"""49.pdf""","""25.pdf""",0.5925925925925926
"""51.pdf""","""55.pdf""",0.5925925925925926
"""55.pdf""","""51.pdf""",0.5925925925925926
"""17.pdf""","""20.pdf""",0.5921052631578947
"""20.pdf""","""17.pdf""",0.5921052631578947
"""15.pdf""","""34.pdf""",0.5913978494623656
"""34.pdf""","""15.pdf""",0.5913978494623656
"""59.pdf""","""60.pdf""",0.5853658536585366
"""60.pdf""","""59.pdf""",0.5853658536585366
"""38.pdf""","""17.pdf""",0.5844155844155844
"""12.pdf""","""18.pdf""",0.5833333333333334
"""18.pdf""","""12.pdf""",0.5833333333333334
"""18.pdf""","""46.pdf""",0.5833333333333334
"""40.pdf""","""41.pdf""",0.5833333333333334
"""41.pdf""","""40.pdf""",0.5833333333333334
"""46.pdf""","""18.pdf""",0.5833333333333334
"""21.pdf""","""24.pdf""",0.5822784810126582
"""24.pdf""","""21.pdf""",0.5822784810126582
"""15.pdf""","""26.pdf""",0.581081081081081
"""26.pdf""","""15.pdf""",0.581081081081081
"""12.pdf""","""34.pdf""",0.5806451612903226
"""34.pdf""","""12.pdf""",0.5806451612903226
"""2.pdf""","""53.pdf""",0.576271186440678
"""53.pdf""","""17.pdf""",0.576271186440678
"""53.pdf""","""2.pdf""",0.576271186440678
"""22.pdf""","""49.pdf""",0.5753424657534246
"""49.pdf""","""22.pdf""",0.5753424657534246
"""29.pdf""","""17.pdf""",0.575
"""14.pdf""","""47.pdf""",0.5747126436781609
"""47.pdf""","""14.pdf""",0.5747126436781609
"""12.pdf""","""51.pdf""",0.5740740740740741
"""51.pdf""","""12.pdf""",0.5740740740740741
"""51.pdf""","""52.pdf""",0.5740740740740741
"""52.pdf""","""51.pdf""",0.5740740740740741
"""19.pdf""","""21.pdf""",0.5733333333333334
"""21.pdf""","""19.pdf""",0.5733333333333334
"""41.pdf""","""42.pdf""",0.5729166666666666
"""42.pdf""","""41.pdf""",0.5729166666666666
"""40.pdf""","""49.pdf""",0.5714285714285714
"""49.pdf""","""40.pdf""",0.5714285714285714
"""18.pdf""","""21.pdf""",0.5694444444444444
"""21.pdf""","""18.pdf""",0.5694444444444444
"""10.pdf""","""21.pdf""",0.5688073394495413
"""21.pdf""","""10.pdf""",0.5688073394495413
"""49.pdf""","""17.pdf""",0.5677966101694916
"""26.pdf""","""65.pdf""",0.5675675675675675
"""65.pdf""","""26.pdf""",0.5675675675675675
"""20.pdf""","""49.pdf""",0.5657894736842105
"""49.pdf""","""20.pdf""",0.5657894736842105
"""41.pdf""","""47.pdf""",0.5632183908045977
"""47.pdf""","""41.pdf""",0.5632183908045977
"""14.pdf""","""16.pdf""",0.5609756097560976
"""16.pdf""","""14.pdf""",0.5609756097560976
"""19.pdf""","""17.pdf""",0.56
"""10.pdf""","""15.pdf""",0.5596330275229358
"""15.pdf""","""10.pdf""",0.5596330275229358
"""49.pdf""","""53.pdf""",0.559322033898305
"""53.pdf""","""49.pdf""",0.559322033898305
"""24.pdf""","""17.pdf""",0.5569620253164557
"""42.pdf""","""51.pdf""",0.5555555555555556
"""51.pdf""","""21.pdf""",0.5555555555555556
"""51.pdf""","""42.pdf""",0.5555555555555556
"""12.pdf""","""20.pdf""",0.5526315789473685
"""20.pdf""","""12.pdf""",0.5526315789473685
"""20.pdf""","""48.pdf""",0.5526315789473685
"""48.pdf""","""20.pdf""",0.5526315789473685
"""12.pdf""","""47.pdf""",0.5517241379310345
"""47.pdf""","""12.pdf""",0.5517241379310345
"""46.pdf""","""17.pdf""",0.5510204081632653
"""65.pdf""","""17.pdf""",0.550561797752809
"""48.pdf""","""17.pdf""",0.55
"""15.pdf""","""12.pdf""",0.549618320610687
"""16.pdf""","""41.pdf""",0.5487804878048781
"""23.pdf""","""21.pdf""",0.5487804878048781
"""41.pdf""","""16.pdf""",0.5487804878048781
"""22.pdf""","""17.pdf""",0.547945205479452
"""24.pdf""","""12.pdf""",0.5443037974683544
"""14.pdf""","""25.pdf""",0.5432098765432098
"""25.pdf""","""14.pdf""",0.5432098765432098
"""43.pdf""","""53.pdf""",0.5423728813559322
"""53.pdf""","""43.pdf""",0.5423728813559322
"""53.pdf""","""55.pdf""",0.5423728813559322
"""55.pdf""","""53.pdf""",0.5423728813559322
"""15.pdf""","""17.pdf""",0.541095890410959
"""48.pdf""","""21.pdf""",0.54
"""2.pdf""","""43.pdf""",0.5398230088495575
"""43.pdf""","""2.pdf""",0.5398230088495575
"""2.pdf""","""20.pdf""",0.5394736842105263
"""20.pdf""","""2.pdf""",0.5394736842105263
"""2.pdf""","""51.pdf""",0.5370370370370371
"""41.pdf""","""55.pdf""",0.5370370370370371
"""49.pdf""","""51.pdf""",0.5370370370370371
"""51.pdf""","""2.pdf""",0.5370370370370371
"""51.pdf""","""49.pdf""",0.5370370370370371
"""55.pdf""","""41.pdf""",0.5370370370370371
"""60.pdf""","""17.pdf""",0.5365853658536586
"""60.pdf""","""21.pdf""",0.5365853658536586
"""22.pdf""","""12.pdf""",0.5342465753424658
"""41.pdf""","""49.pdf""",0.5338983050847458
"""49.pdf""","""41.pdf""",0.5338983050847458
"""2.pdf""","""9.pdf""",0.532608695652174
"""7.pdf""","""12.pdf""",0.532608695652174
"""9.pdf""","""2.pdf""",0.532608695652174
"""38.pdf""","""21.pdf""",0.5324675324675324
"""14.pdf""","""42.pdf""",0.53125
"""42.pdf""","""14.pdf""",0.53125
"""42.pdf""","""49.pdf""",0.53125
"""49.pdf""","""42.pdf""",0.53125
"""43.pdf""","""49.pdf""",0.5309734513274337
"""25.pdf""","""41.pdf""",0.5308641975308642
"""41.pdf""","""25.pdf""",0.5308641975308642
"""48.pdf""","""12.pdf""",0.53
"""28.pdf""","""21.pdf""",0.5283018867924528
"""65.pdf""","""12.pdf""",0.5280898876404494
"""14.pdf""","""18.pdf""",0.5277777777777778
"""18.pdf""","""14.pdf""",0.5277777777777778
"""18.pdf""","""48.pdf""",0.5277777777777778
"""48.pdf""","""18.pdf""",0.5277777777777778
"""10.pdf""","""29.pdf""",0.525
"""29.pdf""","""10.pdf""",0.525
"""29.pdf""","""21.pdf""",0.525
"""7.pdf""","""41.pdf""",0.5217391304347826
"""15.pdf""","""22.pdf""",0.5205479452054794
"""22.pdf""","""15.pdf""",0.5205479452054794
"""22.pdf""","""65.pdf""",0.5205479452054794
"""65.pdf""","""22.pdf""",0.5205479452054794
"""46.pdf""","""49.pdf""",0.5204081632653061
"""14.pdf""","""12.pdf""",0.5190839694656488
"""47.pdf""","""51.pdf""",0.5185185185185185
"""47.pdf""","""49.pdf""",0.5172413793103449
"""2.pdf""","""49.pdf""",0.5169491525423728
