prefLabel,id,from_to,matchType,text
Coping,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C78176,1-6|79-84|170-175|313-318|351-356|450-455|765-770|821-826|871-876|898-903,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,COPING|COPING|COPING|COPING|COPING|COPING|COPING|COPING|COPING|COPING
Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3303,13-16|45-48|207-210|595-598|652-655|1204-1207,PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
Important,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C115916,24-32,PREF,IMPORTANT
Element,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48792,34-40|698-704,PREF|PREF,ELEMENT|ELEMENT
Element,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C1940,34-40|698-704,PREF|PREF,ELEMENT|ELEMENT
Perception,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16967,50-59,PREF,PERCEPTION
Theory,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C84379,86-91,PREF,THEORY
Behavioral Medicine,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16327,145-163|145-154|184-193|535-544,PREF|SYN|SYN|SYN,BEHAVIORAL MEDICINE|BEHAVIORAL|BEHAVIORAL|BEHAVIORAL
Medicine,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16833,156-163,PREF,MEDICINE
Response,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25755,195-202,PREF,RESPONSE
Psychological,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94316,248-260,PREF,PSYCHOLOGICAL
Condition,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25457,303-311,PREF,CONDITION
Emotion,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C54266,334-340|804-810,PREF|PREF,EMOTION|EMOTION
Avoidance,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C54264,387-395|676-684|718-726|1243-1251,PREF|PREF|PREF|PREF,AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE
Distress,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37942,411-418,PREF,DISTRESS
Endurance,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C89276,420-428,PREF,ENDURANCE
Active,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45329,434-439|546-551|689-696|1265-1272,PREF|PREF|SYN|SYN,ACTIVE|ACTIVE|ACTIVITY|ACTIVITY
Approach,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C176499,441-448,PREF,APPROACH
Approach,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25424,441-448,PREF,APPROACH
Taken,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25701,579-583,PREF,TAKEN
Cognitive,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37926,609-617,PREF,COGNITIVE
Distraction,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5330,660-670,PREF,DISTRACTION
Activity,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43431,689-696|1265-1272,PREF|PREF,ACTIVITY|ACTIVITY
