prefLabel,id,from_to,matchType,text
Frequency of Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C104600,1-4|93-109|106-109|121-124|452-455|484-487|668-671|776-779|857-860|907-910,SYN|PREF|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN,PAIN|FREQUENCY OF PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3303,1-4|106-109|121-124|452-455|484-487|668-671|776-779|857-860|907-910,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
Associated,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25281,18-27|49-58,PREF|PREF,ASSOCIATED|ASSOCIATED
Have,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C101282,39-42,PREF,HAVE
Activity,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43431,70-77,PREF,ACTIVITY
Interference,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C72886,79-90,PREF,INTERFERENCE
Behavior,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16326,111-118,PREF,BEHAVIOR
Severity,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25676,126-133|151-158|781-788,PREF|PREF|PREF,SEVERITY|SEVERITY|SEVERITY
Depression,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C124639,140-149,PREF,DEPRESSION
Depression,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C2982,140-149,PREF,DEPRESSION
Notable,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126374,169-175,PREF,NOTABLE
Fear,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C77960,189-192|604-607|944-947,PREF|PREF|PREF,FEAR|FEAR|FEAR
Movement,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37994,197-204,PREF,MOVEMENT
Cognition,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16446,239-247,PREF,COGNITION
Capability,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C74979,263-272,PREF,CAPABILITY
Function,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25518,277-284,PREF,FUNCTION
Self-Efficacy,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C88184,363-375,PREF,SELF-EFFICACY
Self,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25200,363-366,PREF,SELF
Efficacy,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C88183,368-375,PREF,EFFICACY
Ability,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C78209,420-426,PREF,ABILITY
And/Or,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48928,438-443,PREF,AND/OR
Confidence,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43367,464-473|591-600|651-660|719-728,PREF|PREF|PREF|PREF,CONFIDENCE|CONFIDENCE|CONFIDENCE|CONFIDENCE
Coping Skills,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C19382,513-525,PREF,COPING SKILLS
Coping,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C78176,513-518,PREF,COPING
