prefLabel,id,from_to,matchType,text
Personality,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38002,1-11|239-249|882-892|1328-1338,PREF|PREF|PREF|PREF,PERSONALITY|PERSONALITY|PERSONALITY|PERSONALITY
People,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C95553,28-33,PREF,PEOPLE
Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3303,79-82|124-127|223-226|347-350|390-393|783-786|847-850,PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
Coping,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C78176,149-154|672-677|1229-1234,PREF|PREF|PREF,COPING|COPING|COPING
Cognitive,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37926,167-175,PREF,COGNITIVE
Emotional,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25495,178-186|1102-1110,PREF|PREF,EMOTIONAL|EMOTIONAL
Influence,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C121660,213-221|299-307,PREF|PREF,INFLUENCE|INFLUENCE
Perception,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16967,228-237,PREF,PERCEPTION
Pattern,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25336,270-276,PREF,PATTERN
Thinking,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C54226,281-288,PREF,THINKING
Processing,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48177,309-318,PREF,PROCESSING
Interpretation,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C41255,324-337,PREF,INTERPRETATION
Experience,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C54627,352-361,PREF,EXPERIENCE
Characteristic,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25447,363-370|894-907,SYN|PREF,FEATURES|CHARACTERISTIC
Chronic Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26940,382-393,PREF,CHRONIC PAIN
Chronic,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14141,382-388,PREF,CHRONIC
Include,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C74521,405-411|1059-1065,PREF|PREF,INCLUDE|INCLUDE
High,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25227,413-418|504-507|921-924,SYN|PREF|PREF,HIGHER|HIGH|HIGH
Avoidance,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C54264,425-433,PREF,AVOIDANCE
Lower,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C86568,537-541,PREF,LOWER
Lower,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25309,537-541,PREF,LOWER
Self,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25200,543-546,PREF,SELF
Difficulty,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62189,576-585,PREF,DIFFICULTY
Low,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C54722,629-631,PREF,LOW
Motivation,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28495,633-642,PREF,MOTIVATION
Trait,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85496,680-684|863-867,PREF|PREF,TRAIT|TRAIT
Known,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C80137,701-705,PREF,KNOWN
Increase,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25533,710-717,PREF,INCREASE
Depression,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C124639,744-753,PREF,DEPRESSION
Depression,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C2982,744-753,PREF,DEPRESSION
Anxiety,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26696,756-762|869-875,PREF|PREF,ANXIETY|ANXIETY
Associated,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25281,826-835,PREF,ASSOCIATED
Constant,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C64638,912-919,PREF,CONSTANT
Tension,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C95502,950-956,PREF,TENSION
Worry,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C86941,959-963,PREF,WORRY
Relative,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C21480,981-988,PREF,RELATIVE
