prefLabel,id,from_to,matchType,text
personality,http://sbmi.uth.tmc.edu/ontology/ochv#9541,1-11|239-249|882-892|1328-1338,PREF|PREF|PREF|PREF,PERSONALITY|PERSONALITY|PERSONALITY|PERSONALITY
personality,http://sbmi.uth.tmc.edu/ontology/ochv#C0031208,1-11|239-249|882-892|1328-1338,PREF|PREF|PREF|PREF,PERSONALITY|PERSONALITY|PERSONALITY|PERSONALITY
people,http://sbmi.uth.tmc.edu/ontology/ochv#C0027361,28-33,PREF,PEOPLE
pain,http://sbmi.uth.tmc.edu/ontology/ochv#C0030193,79-82|124-127|223-226|347-350|390-393|783-786|847-850,PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
pain,http://sbmi.uth.tmc.edu/ontology/ochv#9185,79-82|124-127|223-226|347-350|390-393|783-786|847-850,PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
adoption,http://sbmi.uth.tmc.edu/ontology/ochv#760,93-100,PREF,ADOPTION
adoption,http://sbmi.uth.tmc.edu/ontology/ochv#C0001593,93-100,PREF,ADOPTION
types,http://sbmi.uth.tmc.edu/ontology/ochv#C0449470,115-119,PREF,TYPES
types,http://sbmi.uth.tmc.edu/ontology/ochv#C0332307,115-119,PREF,TYPES
related,http://sbmi.uth.tmc.edu/ontology/ochv#C0163712,129-135,PREF,RELATED
beliefs,http://sbmi.uth.tmc.edu/ontology/ochv#1764,137-143,PREF,BELIEFS
emotional,http://sbmi.uth.tmc.edu/ontology/ochv#C0849912,178-186|1102-1110,PREF|PREF,EMOTIONAL|EMOTIONAL
pain perception,http://sbmi.uth.tmc.edu/ontology/ochv#49233,223-237,PREF,PAIN PERCEPTION
pain perception,http://sbmi.uth.tmc.edu/ontology/ochv#C0814071,223-237,PREF,PAIN PERCEPTION
perception,http://sbmi.uth.tmc.edu/ontology/ochv#9468,228-237,PREF,PERCEPTION
perception,http://sbmi.uth.tmc.edu/ontology/ochv#C0030971,228-237,PREF,PERCEPTION
personality traits,http://sbmi.uth.tmc.edu/ontology/ochv#23217,239-256|1328-1345,PREF|PREF,PERSONALITY TRAITS|PERSONALITY TRAITS
