prefLabel,id,from_to,matchType,text
Past,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25609,12-15,PREF,PAST
Have,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C101282,51-54|559-562,PREF|PREF,HAVE|HAVE
Influence,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C121660,66-74,PREF,INFLUENCE
Psychological,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94316,79-91|162-174,PREF|PREF,PSYCHOLOGICAL|PSYCHOLOGICAL
Development,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C18732,111-121,PREF,DEVELOPMENT
Development,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C84377,111-121,PREF,DEVELOPMENT
Defined,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C165683,191-197,PREF,DEFINED
Patient,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16960,226-232,PREF,PATIENT
Prior,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25629,251-255,PREF,PRIOR
Future,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C67527,273-278,PREF,FUTURE
Personality,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38002,331-341,PREF,PERSONALITY
Coping,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C78176,362-367,PREF,COPING
Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3303,416-419,PREF,PAIN
Self-Efficacy,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C88184,422-434,PREF,SELF-EFFICACY
Self,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25200,422-425,PREF,SELF
Efficacy,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C88183,427-434,PREF,EFFICACY
Entry,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43381,579-583,PREF,ENTRY
Possible,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C82490,610-617,PREF,POSSIBLE
