prefLabel,id,from_to,matchType,text
Coping,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C78176,1-6,PREF,COPING
Style,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C71598,8-12,PREF,STYLE
Psychological,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94316,45-57|196-208|432-444|555-567,PREF|PREF|PREF|PREF,PSYCHOLOGICAL|PSYCHOLOGICAL|PSYCHOLOGICAL|PSYCHOLOGICAL
Limited,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C142988,80-86,PREF,LIMITED
Have,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C101282,136-139|279-282,PREF|PREF,HAVE|HAVE
Associated,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25281,221-230,PREF,ASSOCIATED
Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3303,268-271|333-336|347-350|639-642,PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN
Strong,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62223,290-295,PREF,STRONG
Self-Efficacy,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C88184,352-364,PREF,SELF-EFFICACY
Self,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25200,352-355|395-398,PREF|PREF,SELF|SELF
Efficacy,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C88183,357-364,PREF,EFFICACY
Capacity,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25443,383-390,PREF,CAPACITY
Awareness,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C54070,490-498,PREF,AWARENESS
Study,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63536,504-508,PREF,STUDY
Data,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25474,519-522,PREF,DATA
Negative,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25247,546-553,PREF,NEGATIVE
Little,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76350,588-593,PREF,LITTLE
Confidence,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43367,599-608,PREF,CONFIDENCE
Work,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C74299,626-629,PREF,WORK
Status,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25688,631-636,PREF,STATUS
