prefLabel,id,from_to,matchType,text
Main,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25562,5-8,PREF,MAIN
Spinal Cord,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12464,67-77,PREF,SPINAL CORD
Spinal,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38026,67-72,PREF,SPINAL
Cord,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61540,74-77,PREF,CORD
Support,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37902,83-89,PREF,SUPPORT
Upper,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25355,91-95,PREF,UPPER
Body,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13041,97-100,PREF,BODY
Trunk,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C33816,127-131,PREF,TRUNK
Complex,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C47881,180-186,PREF,COMPLEX
Complex,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C19398,180-186,PREF,COMPLEX
Integration,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48038,188-198,PREF,INTEGRATION
Active,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45329,259-264,PREF,ACTIVE
Neuromuscular,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C148418,293-305,PREF,NEUROMUSCULAR
Control,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61299,307-313,PREF,CONTROL
System,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25700,315-320,PREF,SYSTEM
Disruption,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25486,327-336,PREF,DISRUPTION
Injury,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3671,378-383,PREF,INJURY
Aging,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16269,398-402,PREF,AGING
Lead,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25552,408-411,PREF,LEAD
Pathology,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C18189,427-435,PREF,PATHOLOGY
Painful,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25271,451-457,PREF,PAINFUL
Stress,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C35041,459-464,PREF,STRESS
