prefLabel,id,from_to,matchType,text
Physical Activity,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17708,1-17|217-233|343-359|553-569,PREF|PREF|PREF|PREF,PHYSICAL ACTIVITY|PHYSICAL ACTIVITY|PHYSICAL ACTIVITY|PHYSICAL ACTIVITY
Physical,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25618,1-8|217-224|343-350|553-560|673-680,PREF|PREF|PREF|PREF|PREF,PHYSICAL|PHYSICAL|PHYSICAL|PHYSICAL|PHYSICAL
Activity,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43431,10-17|226-233|352-359|562-569|735-742,PREF|PREF|PREF|PREF|PREF,ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY
Dose-dependent,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28029,104-117,PREF,DOSE-DEPENDENT
Dose,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25488,104-107,PREF,DOSE
Influence,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C121660,119-127,PREF,INFLUENCE
Loading,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48174,132-138,PREF,LOADING
Strenuous,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C174145,166-174,PREF,STRENUOUS
Include,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C74521,250-256|923-929,PREF|PREF,INCLUDE|INCLUDE
Occupational,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25600,258-269,PREF,OCCUPATIONAL
World Health Organization,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C75419,309-333,PREF,WORLD HEALTH ORGANIZATION
World,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C77972,309-313,PREF,WORLD
Health,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25178,315-320,PREF,HEALTH
Organization,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C92453,322-333,PREF,ORGANIZATION
Movement,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37994,375-382,PREF,MOVEMENT
Muscle,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13056,405-410,PREF,MUSCLE
Increase,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25533,442-449,PREF,INCREASE
Resting,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28185,460-466,PREF,RESTING
Energy Expenditure,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C147491,468-485,PREF,ENERGY EXPENDITURE
Energy,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48058,468-473,PREF,ENERGY
Disability,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C21007,493-502|862-871|1101-1110,PREF|PREF|PREF,DISABILITY|DISABILITY|DISABILITY
People,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C95553,520-525|587-592,PREF|PREF,PEOPLE|PEOPLE
Cannot Do,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C121744,527-535,PREF,CANNOT DO
Concept,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45728,542-548,PREF,CONCEPT
Daily Living,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C142468,627-638|682-692,PREF|SYN,DAILY LIVING|FUNCTIONING
Daily,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25473,627-631,PREF,DAILY
Data,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25474,664-667,PREF,DATA
Little,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76350,708-713|758-763,PREF|PREF,LITTLE|LITTLE
Confidence,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43367,719-728|777-786,PREF|PREF,CONFIDENCE|CONFIDENCE
Questionnaire,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17048,803-815,PREF,QUESTIONNAIRE
Accelerometry,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C176739,820-832,PREF,ACCELEROMETRY
Work,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C74299,849-852,PREF,WORK
Status,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25688,854-859,PREF,STATUS
Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3303,878-881,PREF,PAIN
Severity,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25676,883-890,PREF,SEVERITY
Potential,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62230,892-900,PREF,POTENTIAL
Fear,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C77960,935-938|1033-1036,PREF|PREF,FEAR|FEAR
Avoidance,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C54264,940-948|953-961,PREF|PREF,AVOIDANCE|AVOIDANCE
Endurance,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C89276,963-971,PREF,ENDURANCE
Due To,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C89272,1026-1031,PREF,DUE TO
