prefLabel,id,from_to,matchType,text
physical activity,http://sbmi.uth.tmc.edu/ontology/ochv#C0221187,1-17|217-233|343-359|553-569,PREF|PREF|PREF|PREF,PHYSICAL ACTIVITY|PHYSICAL ACTIVITY|PHYSICAL ACTIVITY|PHYSICAL ACTIVITY
physical activity,http://sbmi.uth.tmc.edu/ontology/ochv#21326,1-17|10-17|217-233|226-233|343-359|352-359|553-569|562-569|735-742,PREF|SYN|PREF|SYN|PREF|SYN|PREF|SYN|SYN,PHYSICAL ACTIVITY|ACTIVITY|PHYSICAL ACTIVITY|ACTIVITY|PHYSICAL ACTIVITY|ACTIVITY|PHYSICAL ACTIVITY|ACTIVITY|ACTIVITY
physical activity,http://sbmi.uth.tmc.edu/ontology/ochv#C0026606,1-17|217-233|343-359|553-569,PREF|PREF|PREF|PREF,PHYSICAL ACTIVITY|PHYSICAL ACTIVITY|PHYSICAL ACTIVITY|PHYSICAL ACTIVITY
physical,http://sbmi.uth.tmc.edu/ontology/ochv#20620,1-8|217-224|343-350|553-560|673-680,PREF|PREF|PREF|PREF|PREF,PHYSICAL|PHYSICAL|PHYSICAL|PHYSICAL|PHYSICAL
physical,http://sbmi.uth.tmc.edu/ontology/ochv#C0205485,1-8|217-224|343-350|553-560|673-680,PREF|PREF|PREF|PREF|PREF,PHYSICAL|PHYSICAL|PHYSICAL|PHYSICAL|PHYSICAL
activity,http://sbmi.uth.tmc.edu/ontology/ochv#C0439167,10-17|226-233|352-359|562-569|735-742,PREF|PREF|PREF|PREF|PREF,ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY
activity,http://sbmi.uth.tmc.edu/ontology/ochv#C0441655,10-17|226-233|352-359|562-569|735-742,PREF|PREF|PREF|PREF|PREF,ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY
activities,http://sbmi.uth.tmc.edu/ontology/ochv#34879,10-17|176-185|226-233|352-359|562-569|735-742|1015-1024,SYN|PREF|SYN|SYN|SYN|SYN|PREF,ACTIVITY|ACTIVITIES|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITIES
fluctuating,http://sbmi.uth.tmc.edu/ontology/ochv#C0231241,27-37,PREF,FLUCTUATING
movement,http://sbmi.uth.tmc.edu/ontology/ochv#8292,49-57|375-382,SYN|PREF,MOVEMENTS|MOVEMENT
spine,http://sbmi.uth.tmc.edu/ontology/ochv#C0037949,68-72,PREF,SPINE
literature,http://sbmi.uth.tmc.edu/ontology/ochv#7488,74-83,PREF,LITERATURE
literature,http://sbmi.uth.tmc.edu/ontology/ochv#C0023866,74-83,PREF,LITERATURE
dependent,http://sbmi.uth.tmc.edu/ontology/ochv#C0851827,109-117,PREF,DEPENDENT
sedentary,http://sbmi.uth.tmc.edu/ontology/ochv#C0205254,152-160,PREF,SEDENTARY
categories,http://sbmi.uth.tmc.edu/ontology/ochv#43758,235-244,PREF,CATEGORIES
occupational,http://sbmi.uth.tmc.edu/ontology/ochv#C0521127,258-269,PREF,OCCUPATIONAL
sports,http://sbmi.uth.tmc.edu/ontology/ochv#C0038039,290-295,PREF,SPORTS
sports,http://sbmi.uth.tmc.edu/ontology/ochv#11664,290-295,PREF,SPORTS
related,http://sbmi.uth.tmc.edu/ontology/ochv#C0163712,297-303,PREF,RELATED
world health,http://sbmi.uth.tmc.edu/ontology/ochv#13193,309-320,PREF,WORLD HEALTH
world health,http://sbmi.uth.tmc.edu/ontology/ochv#C0043236,309-320,PREF,WORLD HEALTH
health organization,http://sbmi.uth.tmc.edu/ontology/ochv#52601,315-333,PREF,HEALTH ORGANIZATION
health organization,http://sbmi.uth.tmc.edu/ontology/ochv#C0920545,315-333,PREF,HEALTH ORGANIZATION
health,http://sbmi.uth.tmc.edu/ontology/ochv#C0018684,315-320,PREF,HEALTH
health,http://sbmi.uth.tmc.edu/ontology/ochv#5822,315-320,PREF,HEALTH
organization,http://sbmi.uth.tmc.edu/ontology/ochv#C0029246,322-333,PREF,ORGANIZATION
skeletal muscle,http://sbmi.uth.tmc.edu/ontology/ochv#C0242692,396-410,PREF,SKELETAL MUSCLE
skeletal,http://sbmi.uth.tmc.edu/ontology/ochv#C0521324,396-403,PREF,SKELETAL
skeletal,http://sbmi.uth.tmc.edu/ontology/ochv#37923,396-403,PREF,SKELETAL
muscle,http://sbmi.uth.tmc.edu/ontology/ochv#C0026845,405-410,PREF,MUSCLE
muscle,http://sbmi.uth.tmc.edu/ontology/ochv#8358,405-410,PREF,MUSCLE
increase,http://sbmi.uth.tmc.edu/ontology/ochv#C0442805,442-449,PREF,INCREASE
energy expenditure,http://sbmi.uth.tmc.edu/ontology/ochv#C0014272,468-485,PREF,ENERGY EXPENDITURE
energy,http://sbmi.uth.tmc.edu/ontology/ochv#C0424589,468-473,PREF,ENERGY
expenditure,http://sbmi.uth.tmc.edu/ontology/ochv#C0015316,475-485,PREF,EXPENDITURE
disability,http://sbmi.uth.tmc.edu/ontology/ochv#C0231170,493-502|862-871|1101-1110,PREF|PREF|PREF,DISABILITY|DISABILITY|DISABILITY
people,http://sbmi.uth.tmc.edu/ontology/ochv#C0027361,520-525|587-592,PREF|PREF,PEOPLE|PEOPLE
Concept,http://www.w3.org/2004/02/skos/core#Concept,542-548,PREF,CONCEPT
concept,http://sbmi.uth.tmc.edu/ontology/ochv#18319,542-548,PREF,CONCEPT
concept,http://sbmi.uth.tmc.edu/ontology/ochv#C0178566,542-548,PREF,CONCEPT
able,http://sbmi.uth.tmc.edu/ontology/ochv#C1299581,598-601,PREF,ABLE
daily,http://sbmi.uth.tmc.edu/ontology/ochv#C0332173,627-631,PREF,DAILY
confidence,http://sbmi.uth.tmc.edu/ontology/ochv#C0237529,719-728|777-786,PREF|PREF,CONFIDENCE|CONFIDENCE
questionnaire,http://sbmi.uth.tmc.edu/ontology/ochv#C0034394,803-815,PREF,QUESTIONNAIRE
relation,http://sbmi.uth.tmc.edu/ontology/ochv#C0869014,837-844,PREF,RELATION
work,http://sbmi.uth.tmc.edu/ontology/ochv#C0043227,849-852,PREF,WORK
work,http://sbmi.uth.tmc.edu/ontology/ochv#13188,849-852,PREF,WORK
