prefLabel,id,from_to,matchType,text
Cartilage,http://purl.bioontology.org/ontology/MESH/D002356,111-119,PREF,CARTILAGE
Ligaments,http://purl.bioontology.org/ontology/MESH/D008022,122-130,PREF,LIGAMENTS
Intervertebral Disc,http://purl.bioontology.org/ontology/MESH/D007403,133-151,PREF,INTERVERTEBRAL DISC
Paraspinal Muscles,http://purl.bioontology.org/ontology/MESH/D064170,192-209,PREF,PARASPINAL MUSCLES
Muscles,http://purl.bioontology.org/ontology/MESH/D009132,203-209|378-383|761-766|1056-1061|1105-1110,PREF|SYN|SYN|SYN|SYN,MUSCLES|MUSCLE|MUSCLE|MUSCLE|MUSCLE
Feedback,http://purl.bioontology.org/ontology/MESH/D005246,435-442,PREF,FEEDBACK
Proprioception,http://purl.bioontology.org/ontology/MESH/D011434,479-492|1421-1434,PREF|PREF,PROPRIOCEPTION|PROPRIOCEPTION
Movement,http://purl.bioontology.org/ontology/MESH/D009068,658-665|887-894|1740-1747,PREF|PREF|PREF,MOVEMENT|MOVEMENT|MOVEMENT
Lead,http://purl.bioontology.org/ontology/MESH/D007854,700-703,PREF,LEAD
Muscle Spindles,http://purl.bioontology.org/ontology/MESH/D009470,761-775,PREF,MUSCLE SPINDLES
Tissue,http://purl.bioontology.org/ontology/STY/T024,929-934|1779-1784,PREF|PREF,TISSUE|TISSUE
Affect,http://purl.bioontology.org/ontology/MESH/D000339,985-990,PREF,AFFECT
Activity,http://purl.bioontology.org/ontology/STY/T052,1063-1070,PREF,ACTIVITY
Pain,http://purl.bioontology.org/ontology/MESH/D010146,1099-1102|1123-1126|1134-1137|1179-1182|1657-1660,PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN
Spasm,http://purl.bioontology.org/ontology/MESH/D013035,1128-1132,PREF,SPASM
Motion,http://purl.bioontology.org/ontology/MESH/D009038,1171-1176,PREF,MOTION
Classification,http://purl.bioontology.org/ontology/MESH/D002965,1628-1641,PREF,CLASSIFICATION
classification,http://purl.bioontology.org/ontology/MESH/Q000145,1628-1641,PREF,CLASSIFICATION
Classification,http://purl.bioontology.org/ontology/STY/T185,1628-1641,PREF,CLASSIFICATION
Spine,http://purl.bioontology.org/ontology/MESH/D013131,1773-1777,PREF,SPINE
Risk,http://purl.bioontology.org/ontology/MESH/D012306,1813-1816,PREF,RISK
