prefLabel,id,from_to,matchType,text
Spinal,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38026,5-10|1092-1097|1164-1169,PREF|PREF|PREF,SPINAL|SPINAL|SPINAL
Column,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43379,12-17,PREF,COLUMN
Column,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61516,12-17,PREF,COLUMN
Subsystem,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48692,81-89|164-172|238-246,PREF|PREF|PREF,SUBSYSTEM|SUBSYSTEM|SUBSYSTEM
Bone,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12366,105-108,PREF,BONE
Cartilage,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12373,111-119,PREF,CARTILAGE
Intervertebral Disc,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49571,133-151,PREF,INTERVERTEBRAL DISC
Disc,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62260,148-151,PREF,DISC
Active,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45329,157-162|1063-1070,PREF|SYN,ACTIVE|ACTIVITY
Paraspinal,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C129461,192-201,PREF,PARASPINAL
Neural,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25363,223-228,PREF,NEURAL
Control,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61299,230-236|349-355|468-474|599-605|671-677|1248-1254|1749-1755,PREF|PREF|PREF|PREF|PREF|PREF|PREF,CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL
Motor,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28367,343-347,PREF,MOTOR
Function,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25518,361-368,PREF,FUNCTION
Include,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C74521,370-376,PREF,INCLUDE
Muscle,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13056,378-383|761-766|1056-1061|1105-1110,PREF|PREF|PREF|PREF,MUSCLE|MUSCLE|MUSCLE|MUSCLE
Recruitment,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C78343,385-395,PREF,RECRUITMENT
Endurance,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C89276,412-420,PREF,ENDURANCE
Important,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C115916,425-433,PREF,IMPORTANT
Feedback,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C82652,435-442,PREF,FEEDBACK
Information,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48191,520-530,PREF,INFORMATION
Internal,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25234,545-552,PREF,INTERNAL
Peripheral,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25233,554-563,PREF,PERIPHERAL
Joint,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13044,608-612|781-785|844-848|919-923,PREF|PREF|PREF|PREF,JOINT|JOINT|JOINT|JOINT
Stability,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C54072,614-622,PREF,STABILITY
Movement,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37994,658-665|887-894|1740-1747,PREF|PREF|PREF,MOVEMENT|MOVEMENT|MOVEMENT
Lead,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25552,700-703,PREF,LEAD
Deficit,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37940,725-731,PREF,DEFICIT
Stress,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C35041,745-750|832-837,PREF|PREF,STRESS|STRESS
Local,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C67263,755-759|992-996,PREF|PREF,LOCAL|LOCAL
Painful,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25271,804-810,PREF,PAINFUL
Area,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25244,812-815,PREF,AREA
Abnormal,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25401,910-917,PREF,ABNORMAL
