prefLabel,id,from_to,matchType,text
Spinal,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38026,1-6,PREF,SPINAL
Loading,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48174,8-14|641-644,PREF|SYN,LOADING|LOAD
Magnitude,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49158,48-56,PREF,MAGNITUDE
Duration,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25330,62-69,PREF,DURATION
Exceed,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C175323,71-76|220-225,PREF|PREF,EXCEED|EXCEED
Tolerance,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43414,82-90|656-664,PREF|PREF,TOLERANCE|TOLERANCE
Active,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45329,99-104|304-311,PREF|SYN,ACTIVE|ACTIVITY
Cumulative,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25470,130-139,PREF,CUMULATIVE
Lead,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25552,152-155,PREF,LEAD
Accumulation,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C120860,164-175,PREF,ACCUMULATION
Damage,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61555,191-196|461-466,PREF|PREF,DAMAGE|DAMAGE
Tissue,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12801,227-232|269-274|314-319|454-459|649-654,PREF|PREF|PREF|PREF|PREF,TISSUE|TISSUE|TISSUE|TISSUE|TISSUE
Material,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48187,244-251,PREF,MATERIAL
Repair,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C53611,276-281,PREF,REPAIR
Capability,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C74979,283-292,PREF,CAPABILITY
Activity,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43431,304-311,PREF,ACTIVITY
Inflammation,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3137,321-332,PREF,INFLAMMATION
Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3303,355-358,PREF,PAIN
Biochemical,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25434,375-385,PREF,BIOCHEMICAL
Hyperglycemia,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26797,407-419,PREF,HYPERGLYCEMIA
Dyslipidemia,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C80385,425-436,PREF,DYSLIPIDEMIA
Tissue Damage,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C50773,454-466,PREF,TISSUE DAMAGE
Due To,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C89272,475-480,PREF,DUE TO
Blood,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12434,505-509|545-549,PREF|PREF,BLOOD|BLOOD
Reduced,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25640,530-536,PREF,REDUCED
Muscle,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13056,538-543,PREF,MUSCLE
Flow,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C41141,551-554,PREF,FLOW
Increased,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C164135,560-568,PREF,INCREASED
Disc,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62260,584-587,PREF,DISC
Degeneration,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61557,589-600,PREF,DEGENERATION
