prefLabel,id,from_to,matchType,text
History,http://purl.bioontology.org/ontology/MESH/D006664,15-21|146-152|319-325|515-521,PREF|PREF|PREF|PREF,HISTORY|HISTORY|HISTORY|HISTORY
history,http://purl.bioontology.org/ontology/MESH/Q000266,15-21|146-152|319-325|515-521,PREF|PREF|PREF|PREF,HISTORY|HISTORY|HISTORY|HISTORY
Life,http://purl.bioontology.org/ontology/MESH/D019369,44-47|944-947,PREF|PREF,LIFE|LIFE
Employment,http://purl.bioontology.org/ontology/MESH/D004651,59-68,PREF,EMPLOYMENT
Insurance,http://purl.bioontology.org/ontology/MESH/D007341,105-113,PREF,INSURANCE
Tobacco,http://purl.bioontology.org/ontology/MESH/D014026,171-177,PREF,TOBACCO
Substance,http://purl.bioontology.org/ontology/STY/T167,183-191,PREF,SUBSTANCE
Habits,http://purl.bioontology.org/ontology/MESH/D006184,248-253,PREF,HABITS
Sleep,http://purl.bioontology.org/ontology/MESH/D012890,263-267|592-596|901-905,PREF|PREF|PREF,SLEEP|SLEEP|SLEEP
Clothing,http://purl.bioontology.org/ontology/MESH/D003020,279-286,PREF,CLOTHING
Diet,http://purl.bioontology.org/ontology/MESH/D004032,301-304,PREF,DIET
Pain,http://purl.bioontology.org/ontology/MESH/D010146,429-432|718-721|895-898,PREF|PREF|PREF,PAIN|PAIN|PAIN
Vitamin D Deficiency,http://purl.bioontology.org/ontology/MESH/D014808,533-552,PREF,VITAMIN D DEFICIENCY
Vitamin D,http://purl.bioontology.org/ontology/MESH/D014807,533-541,PREF,VITAMIN D
Vitamin,http://purl.bioontology.org/ontology/STY/T127,533-539,PREF,VITAMIN
deficiency,http://purl.bioontology.org/ontology/MESH/Q000172,543-552,PREF,DEFICIENCY
Sleep Quality,http://purl.bioontology.org/ontology/MESH/D000089943,592-604,PREF,SLEEP QUALITY
Shoes,http://purl.bioontology.org/ontology/MESH/D012775,666-670,PREF,SHOES
surgery,http://purl.bioontology.org/ontology/MESH/Q000601,886-892,PREF,SURGERY
Work,http://purl.bioontology.org/ontology/MESH/D014937,920-923,PREF,WORK
Quality of Life,http://purl.bioontology.org/ontology/MESH/D011788,933-947,PREF,QUALITY OF LIFE
