prefLabel,id,from_to,matchType,text
History,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C54625,15-21|146-152|319-325|515-521,PREF|PREF|PREF|PREF,HISTORY|HISTORY|HISTORY|HISTORY
Life,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C142142,44-47|944-947,PREF|PREF,LIFE|LIFE
Employment Status,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C179143,59-75,PREF,EMPLOYMENT STATUS
Status,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25688,70-75|115-120|925-930,PREF|PREF|PREF,STATUS|STATUS|STATUS
Occupation,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25193,81-90,PREF,OCCUPATION
Insurance,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16745,105-113,PREF,INSURANCE
Social History,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C81292,139-152,PREF,SOCIAL HISTORY
Social,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62650,139-144,PREF,SOCIAL
Alcohol,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C2190,162-168,PREF,ALCOHOL
Tobacco,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C891,171-177,PREF,TOBACCO
Substance,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45306,183-191,PREF,SUBSTANCE
Use,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25340,193-195,PREF,USE
Use,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C95018,193-195,PREF,USE
Sleep,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C73425,263-267|592-596|901-905,PREF|PREF|PREF,SLEEP|SLEEP|SLEEP
Schedule,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25211,269-276,PREF,SCHEDULE
Schedule,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C172421,269-276,PREF,SCHEDULE
Clothing,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C86930,279-286,PREF,CLOTHING
Diet,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C15222,301-304,PREF,DIET
Medical,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25261,311-317|772-778,PREF|PREF,MEDICAL|MEDICAL
Chronic,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14141,343-349,PREF,CHRONIC
Important,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C115916,364-372,PREF,IMPORTANT
Likely,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85550,404-409,PREF,LIKELY
Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3303,429-432|718-721|895-898,PREF|PREF|PREF,PAIN|PAIN|PAIN
Data,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25474,490-493,PREF,DATA
Vitamin D Deficiency,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C114830,533-552,PREF,VITAMIN D DEFICIENCY
Vitamin,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C944,533-539,PREF,VITAMIN
Deficiency,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94372,543-552,PREF,DEFICIENCY
Little,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76350,568-573|694-699|748-753|802-807|849-854,PREF|PREF|PREF|PREF|PREF,LITTLE|LITTLE|LITTLE|LITTLE|LITTLE
Confidence,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43367,579-588|642-651|705-714|759-768|813-822|860-869,PREF|PREF|PREF|PREF|PREF|PREF,CONFIDENCE|CONFIDENCE|CONFIDENCE|CONFIDENCE|CONFIDENCE|CONFIDENCE
Sleep Quality,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C121705,592-604|610-617,PREF|SYN,SLEEP QUALITY|INSOMNIA
Quality,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25283,598-604|933-939,PREF|PREF,QUALITY|QUALITY
Insomnia,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28286,610-617,PREF,INSOMNIA
Medication,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C459,723-732,PREF,MEDICATION
Surgery,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17173,886-892,PREF,SURGERY
Disability,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C21007,908-917,PREF,DISABILITY
Work,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C74299,920-923,PREF,WORK
Quality of Life,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17047,933-947,PREF,QUALITY OF LIFE
Balance,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C73497,998-1004,PREF,BALANCE
