prefLabel,id,from_to,matchType,text
personal history,http://sbmi.uth.tmc.edu/ontology/ochv#C0424945,6-21|506-521,PREF|PREF,PERSONAL HISTORY|PERSONAL HISTORY
medical history,http://sbmi.uth.tmc.edu/ontology/ochv#25495,15-21|146-152|311-325|319-328|319-325|515-521,SYN|SYN|PREF|SYN|SYN|SYN,HISTORY|HISTORY|MEDICAL HISTORY|HISTORY OF|HISTORY|HISTORY
history,http://sbmi.uth.tmc.edu/ontology/ochv#C1321503,15-21|146-152|319-325|515-521,PREF|PREF|PREF|PREF,HISTORY|HISTORY|HISTORY|HISTORY
history,http://sbmi.uth.tmc.edu/ontology/ochv#C0262512,15-21|146-152|319-325|515-521,PREF|PREF|PREF|PREF,HISTORY|HISTORY|HISTORY|HISTORY
life,http://sbmi.uth.tmc.edu/ontology/ochv#C0376558,44-47|944-947,PREF|PREF,LIFE|LIFE
life,http://sbmi.uth.tmc.edu/ontology/ochv#31817,44-47|944-947,PREF|PREF,LIFE|LIFE
including,http://sbmi.uth.tmc.edu/ontology/ochv#C0332257,49-57|523-531|980-988,PREF|PREF|PREF,INCLUDING|INCLUDING|INCLUDING
employment,http://sbmi.uth.tmc.edu/ontology/ochv#4401,59-68,PREF,EMPLOYMENT
employment,http://sbmi.uth.tmc.edu/ontology/ochv#C0014003,59-68,PREF,EMPLOYMENT
status,http://sbmi.uth.tmc.edu/ontology/ochv#C0449438,70-75|115-120|925-930,PREF|PREF|PREF,STATUS|STATUS|STATUS
insurance,http://sbmi.uth.tmc.edu/ontology/ochv#C0021672,105-113,PREF,INSURANCE
insurance,http://sbmi.uth.tmc.edu/ontology/ochv#6790,105-113,PREF,INSURANCE
social,http://sbmi.uth.tmc.edu/ontology/ochv#46637,139-144,PREF,SOCIAL
social,http://sbmi.uth.tmc.edu/ontology/ochv#C0728831,139-144,PREF,SOCIAL
tobacco,http://sbmi.uth.tmc.edu/ontology/ochv#12323,171-177,PREF,TOBACCO
tobacco,http://sbmi.uth.tmc.edu/ontology/ochv#C0040329,171-177,PREF,TOBACCO
substance use,http://sbmi.uth.tmc.edu/ontology/ochv#C0237123,183-195,PREF,SUBSTANCE USE
substance,http://sbmi.uth.tmc.edu/ontology/ochv#C0439861,183-191,PREF,SUBSTANCE
expectations,http://sbmi.uth.tmc.edu/ontology/ochv#C0679138,234-245,PREF,EXPECTATIONS
habits,http://sbmi.uth.tmc.edu/ontology/ochv#C0018464,248-253,PREF,HABITS
