prefLabel,id,from_to,matchType,text
Chronic Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26940,5-16,PREF,CHRONIC PAIN
Chronic,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14141,5-11,PREF,CHRONIC
Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3303,13-16|186-189,PREF|PREF,PAIN|PAIN
Experience,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C54627,18-27,PREF,EXPERIENCE
Social,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62650,50-55|96-101,PREF|PREF,SOCIAL|SOCIAL
Context,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63325,57-63,PREF,CONTEXT
Quality,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25283,70-76,PREF,QUALITY
Family,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45290,146-151,PREF,FAMILY
Family,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25173,146-151,PREF,FAMILY
Therapeutic,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25277,154-164,PREF,THERAPEUTIC
