prefLabel,id,from_to,matchType,text
chronic pain,http://sbmi.uth.tmc.edu/ontology/ochv#C0150055,5-16,PREF,CHRONIC PAIN
chronic,http://sbmi.uth.tmc.edu/ontology/ochv#C0205191,5-11,PREF,CHRONIC
pain,http://sbmi.uth.tmc.edu/ontology/ochv#C0030193,13-16|186-189,PREF|PREF,PAIN|PAIN
pain,http://sbmi.uth.tmc.edu/ontology/ochv#9185,13-16|186-189,PREF|PREF,PAIN|PAIN
experience,http://sbmi.uth.tmc.edu/ontology/ochv#41569,18-27,PREF,EXPERIENCE
experience,http://sbmi.uth.tmc.edu/ontology/ochv#C0237607,18-27,PREF,EXPERIENCE
experience,http://sbmi.uth.tmc.edu/ontology/ochv#C0596545,18-27,PREF,EXPERIENCE
social context,http://sbmi.uth.tmc.edu/ontology/ochv#C0037414,50-63,PREF,SOCIAL CONTEXT
social,http://sbmi.uth.tmc.edu/ontology/ochv#46637,50-55|96-101,PREF|PREF,SOCIAL|SOCIAL
social,http://sbmi.uth.tmc.edu/ontology/ochv#C0728831,50-55|96-101,PREF|PREF,SOCIAL|SOCIAL
context,http://sbmi.uth.tmc.edu/ontology/ochv#C0449255,57-63,PREF,CONTEXT
context,http://sbmi.uth.tmc.edu/ontology/ochv#35774,57-63,PREF,CONTEXT
family,http://sbmi.uth.tmc.edu/ontology/ochv#4879,146-151,PREF,FAMILY
family,http://sbmi.uth.tmc.edu/ontology/ochv#C0015576,146-151,PREF,FAMILY
therapeutic,http://sbmi.uth.tmc.edu/ontology/ochv#C0302350,154-164,PREF,THERAPEUTIC
therapeutic,http://sbmi.uth.tmc.edu/ontology/ochv#27954,154-164,PREF,THERAPEUTIC
responses,http://sbmi.uth.tmc.edu/ontology/ochv#51316,167-175,PREF,RESPONSES
