prefLabel,id,from_to,matchType,text
Social,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62650,9-14|203-208|429-434|471-476|673-678|700-705|1189-1194,PREF|PREF|PREF|PREF|PREF|PREF|PREF,SOCIAL|SOCIAL|SOCIAL|SOCIAL|SOCIAL|SOCIAL|SOCIAL
Influence,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C121660,37-45,PREF,INFLUENCE
Experience,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C54627,52-61|368-377,PREF|PREF,EXPERIENCE|EXPERIENCE
Status,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25688,86-91|1269-1274,PREF|PREF,STATUS|STATUS
Function,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25518,104-111|1287-1296,PREF|SYN,FUNCTION|FUNCTIONAL
Education,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16529,116-124,PREF,EDUCATION
Income,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C41150,127-132,PREF,INCOME
Occupation,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25193,138-147,PREF,OCCUPATION
Access to Care,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C15244,150-163,PREF,ACCESS TO CARE
Access,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25396,150-155,PREF,ACCESS
Care,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61488,160-163|531-534,PREF|PREF,CARE|CARE
Race,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17049,166-169|193-196,PREF|PREF,RACE|RACE
Gender,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17357,176-181|267-272,PREF|PREF,GENDER|GENDER
Construct,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C84378,210-218,PREF,CONSTRUCT
Person,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25190,283-288,PREF,PERSON
Health,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25178,382-387|618-623,PREF|PREF,HEALTH|HEALTH
Culture,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16478,440-447|479-486|601-607,SYN|SYN|PREF,CULTURAL|CULTURAL|CULTURE
Context,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63325,449-455|503-509,PREF|PREF,CONTEXT|CONTEXT
Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3303,536-539|1277-1280,PREF|PREF,PAIN|PAIN
Environment,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16551,680-690,PREF,ENVIRONMENT
Include,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C74521,692-698,PREF,INCLUDE
Support,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37902,707-713|1196-1202,PREF|PREF,SUPPORT|SUPPORT
Coping,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C78176,786-791|1110-1115,PREF|PREF,COPING|COPING
Like,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C77969,847-850,PREF,LIKE
Cognitive,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37926,902-910,PREF,COGNITIVE
Process,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C29862,912-918,PREF,PROCESS
Self,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25200,923-926|1055-1058,PREF|PREF,SELF|SELF
Management,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61372,928-937,PREF,MANAGEMENT
Effect,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25492,974-979,PREF,EFFECT
Stress,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C35041,1036-1041,PREF,STRESS
Self-Report,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C74528,1055-1065,PREF,SELF-REPORT
Report,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25375,1060-1065|1150-1157,PREF|SYN,REPORT|REPORTED
Objective,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C88181,1068-1076,PREF,OBJECTIVE
Objective,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49155,1068-1076,PREF,OBJECTIVE
Axis,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25154,1083-1086,PREF,AXIS
Study,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63536,1144-1148,PREF,STUDY
Data,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25474,1159-1162,PREF,DATA
Emotional,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25495,1175-1183,PREF,EMOTIONAL
Little,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76350,1226-1231,PREF,LITTLE
Confidence,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43367,1237-1246,PREF,CONFIDENCE
Work,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C74299,1264-1267,PREF,WORK
