prefLabel,id,from_to,matchType,text
chronic inflammation,http://sbmi.uth.tmc.edu/ontology/ochv#C0021376,1-20|176-195,PREF|PREF,CHRONIC INFLAMMATION|CHRONIC INFLAMMATION
chronic,http://sbmi.uth.tmc.edu/ontology/ochv#C0205191,1-7|176-182,PREF|PREF,CHRONIC|CHRONIC
inflammation,http://sbmi.uth.tmc.edu/ontology/ochv#C0021368,9-20|184-195|499-510|1132-1143,PREF|PREF|PREF|PREF,INFLAMMATION|INFLAMMATION|INFLAMMATION|INFLAMMATION
inflammation,http://sbmi.uth.tmc.edu/ontology/ochv#6703,9-20|184-195|499-510|1132-1143,PREF|PREF|PREF|PREF,INFLAMMATION|INFLAMMATION|INFLAMMATION|INFLAMMATION
associated,http://sbmi.uth.tmc.edu/ontology/ochv#C0332281,25-34|263-272|453-462,PREF|PREF|PREF,ASSOCIATED|ASSOCIATED|ASSOCIATED
increased,http://sbmi.uth.tmc.edu/ontology/ochv#C0205217,45-53|600-608|683-691,PREF|PREF|PREF,INCREASED|INCREASED|INCREASED
production,http://sbmi.uth.tmc.edu/ontology/ochv#10150,55-64|619-628|693-702,PREF|PREF|PREF,PRODUCTION|PRODUCTION|PRODUCTION
production,http://sbmi.uth.tmc.edu/ontology/ochv#C0033268,55-64|619-628|693-702,PREF|PREF|PREF,PRODUCTION|PRODUCTION|PRODUCTION
cytokine,http://sbmi.uth.tmc.edu/ontology/ochv#15126,69-77|610-617,SYN|PREF,CYTOKINES|CYTOKINE
inflammatory,http://sbmi.uth.tmc.edu/ontology/ochv#29703,101-112|413-424,PREF|PREF,INFLAMMATORY|INFLAMMATORY
inflammatory,http://sbmi.uth.tmc.edu/ontology/ochv#C0333348,101-112|413-424,PREF|PREF,INFLAMMATORY|INFLAMMATORY
low back pain,http://sbmi.uth.tmc.edu/ontology/ochv#7549,157-169,PREF,LOW BACK PAIN
low,http://sbmi.uth.tmc.edu/ontology/ochv#C0205251,157-159|480-482,PREF|PREF,LOW|LOW
back pain,http://sbmi.uth.tmc.edu/ontology/ochv#1662,161-169|426-434,PREF|PREF,BACK PAIN|BACK PAIN
back pain,http://sbmi.uth.tmc.edu/ontology/ochv#C0004604,161-169|426-434,PREF|PREF,BACK PAIN|BACK PAIN
pain,http://sbmi.uth.tmc.edu/ontology/ochv#C0030193,166-169|431-434,PREF|PREF,PAIN|PAIN
pain,http://sbmi.uth.tmc.edu/ontology/ochv#9185,166-169|431-434,PREF|PREF,PAIN|PAIN
tissue,http://sbmi.uth.tmc.edu/ontology/ochv#C0040300,216-221,PREF,TISSUE
systemic,http://sbmi.uth.tmc.edu/ontology/ochv#C0205373,227-234|490-497|1123-1130,PREF|PREF|PREF,SYSTEMIC|SYSTEMIC|SYSTEMIC
joint,http://sbmi.uth.tmc.edu/ontology/ochv#C0392905,292-296,PREF,JOINT
joint,http://sbmi.uth.tmc.edu/ontology/ochv#C0022417,292-296,PREF,JOINT
osteoarthritis,http://sbmi.uth.tmc.edu/ontology/ochv#C0029408,298-311,PREF,OSTEOARTHRITIS
intervertebral,http://sbmi.uth.tmc.edu/ontology/ochv#C0442106,359-372,PREF,INTERVERTEBRAL
spinal,http://sbmi.uth.tmc.edu/ontology/ochv#37924,384-389,PREF,SPINAL
spinal,http://sbmi.uth.tmc.edu/ontology/ochv#C0521329,384-389,PREF,SPINAL
ligaments,http://sbmi.uth.tmc.edu/ontology/ochv#7416,391-399,PREF,LIGAMENTS
obesity,http://sbmi.uth.tmc.edu/ontology/ochv#8861,436-442,PREF,OBESITY
obesity,http://sbmi.uth.tmc.edu/ontology/ochv#C0028754,436-442,PREF,OBESITY
metabolic,http://sbmi.uth.tmc.edu/ontology/ochv#28406,469-477,PREF,METABOLIC
metabolic,http://sbmi.uth.tmc.edu/ontology/ochv#C0311400,469-477,PREF,METABOLIC
grade,http://sbmi.uth.tmc.edu/ontology/ochv#C0441800,484-488,PREF,GRADE
grade,http://sbmi.uth.tmc.edu/ontology/ochv#34921,484-488,PREF,GRADE
interleukin,http://sbmi.uth.tmc.edu/ontology/ochv#C0021764,535-545,PREF,INTERLEUKIN
tumor necrosis factor,http://sbmi.uth.tmc.edu/ontology/ochv#12659,566-592|566-586|589-591|845-847,SYN|PREF|SYN|SYN,TUMOR NECROSIS FACTOR (TNF)|TUMOR NECROSIS FACTOR|TNF|TNF
tumor necrosis factor (TNF),http://sbmi.uth.tmc.edu/ontology/ochv#C0041368,566-592,PREF,TUMOR NECROSIS FACTOR (TNF)
tumor necrosis,http://sbmi.uth.tmc.edu/ontology/ochv#C0333516,566-579,PREF,TUMOR NECROSIS
tumor,http://sbmi.uth.tmc.edu/ontology/ochv#C0027651,566-570,PREF,TUMOR
necrosis,http://sbmi.uth.tmc.edu/ontology/ochv#8537,572-579,PREF,NECROSIS
alpha,http://sbmi.uth.tmc.edu/ontology/ochv#C0439095,594-598,PREF,ALPHA
cytokine,http://sbmi.uth.tmc.edu/ontology/ochv#C0079189,610-617,PREF,CYTOKINE
leads,http://sbmi.uth.tmc.edu/ontology/ochv#C0181586,630-634,PREF,LEADS
leads,http://sbmi.uth.tmc.edu/ontology/ochv#18733,630-634,PREF,LEADS
downstream,http://sbmi.uth.tmc.edu/ontology/ochv#C0522506,707-716,PREF,DOWNSTREAM
substance p,http://sbmi.uth.tmc.edu/ontology/ochv#C0038585,736-746,PREF,SUBSTANCE P
substance p,http://sbmi.uth.tmc.edu/ontology/ochv#11823,736-746,PREF,SUBSTANCE P
substance,http://sbmi.uth.tmc.edu/ontology/ochv#C0439861,736-744,PREF,SUBSTANCE
prostaglandin,http://sbmi.uth.tmc.edu/ontology/ochv#C0033554,749-761,PREF,PROSTAGLANDIN
nitrous oxide,http://sbmi.uth.tmc.edu/ontology/ochv#8748,764-776,PREF,NITROUS OXIDE
oxide,http://sbmi.uth.tmc.edu/ontology/ochv#C0030015,772-776,PREF,OXIDE
matrix metalloproteinases,http://sbmi.uth.tmc.edu/ontology/ochv#42407,783-807,PREF,MATRIX METALLOPROTEINASES
matrix,http://sbmi.uth.tmc.edu/ontology/ochv#29225,783-788,PREF,MATRIX
matrix,http://sbmi.uth.tmc.edu/ontology/ochv#C0331858,783-788,PREF,MATRIX
confidence,http://sbmi.uth.tmc.edu/ontology/ochv#C0237529,875-884|922-931|991-1000|1046-1055,PREF|PREF|PREF|PREF,CONFIDENCE|CONFIDENCE|CONFIDENCE|CONFIDENCE
diabetes,http://sbmi.uth.tmc.edu/ontology/ochv#C0011849,1007-1014,PREF,DIABETES
self-report,http://sbmi.uth.tmc.edu/ontology/ochv#43564,1070-1080,PREF,SELF-REPORT
self,http://sbmi.uth.tmc.edu/ontology/ochv#11168,1070-1073,PREF,SELF
self,http://sbmi.uth.tmc.edu/ontology/ochv#C0036588,1070-1073,PREF,SELF
report,http://sbmi.uth.tmc.edu/ontology/ochv#C0684224,1075-1080,PREF,REPORT
potential,http://sbmi.uth.tmc.edu/ontology/ochv#C0237399,1099-1107,PREF,POTENTIAL
potential,http://sbmi.uth.tmc.edu/ontology/ochv#23799,1099-1107,PREF,POTENTIAL
central,http://sbmi.uth.tmc.edu/ontology/ochv#20304,1149-1155,PREF,CENTRAL
central,http://sbmi.uth.tmc.edu/ontology/ochv#C0205099,1149-1155,PREF,CENTRAL
