prefLabel,id,from_to,matchType,text
Physical,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25618,1-8,PREF,PHYSICAL
Include,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C74521,25-31,PREF,INCLUDE
Osteoarthritis,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3293,38-51|58-83,PREF|SYN,OSTEOARTHRITIS|DEGENERATIVE JOINT DISEASE
Joint,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13044,71-75,PREF,JOINT
Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3303,116-119,PREF,PAIN
Experience,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C54627,121-130,PREF,EXPERIENCE
Biomechanics,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16346,133-144,PREF,BIOMECHANICS
Overall,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25605,151-157,PREF,OVERALL
Stress,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C35041,159-164,PREF,STRESS
Body,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13041,170-173,PREF,BODY
Direct,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62254,197-202,PREF,DIRECT
Observed,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25599,225-232,PREF,OBSERVED
Obesity,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3283,239-245,PREF,OBESITY
Age,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25150,257-259,PREF,AGE
Study,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63536,288-292,PREF,STUDY
Data,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25474,303-306,PREF,DATA
Lower,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25309,320-324,PREF,LOWER
Lower,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C86568,320-324,PREF,LOWER
Little,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76350,344-349,PREF,LITTLE
Confidence,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43367,355-364,PREF,CONFIDENCE
Improved,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C125459,372-379,PREF,IMPROVED
Exercise,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16567,395-402,PREF,EXERCISE
