prefLabel,id,from_to,matchType,text
physical,http://sbmi.uth.tmc.edu/ontology/ochv#C0205485,1-8,PREF,PHYSICAL
physical,http://sbmi.uth.tmc.edu/ontology/ochv#20620,1-8,PREF,PHYSICAL
osteoarthritis,http://sbmi.uth.tmc.edu/ontology/ochv#C0029408,38-51,PREF,OSTEOARTHRITIS
degenerative,http://sbmi.uth.tmc.edu/ontology/ochv#C0333430,58-69,PREF,DEGENERATIVE
degenerative,http://sbmi.uth.tmc.edu/ontology/ochv#29719,58-69,PREF,DEGENERATIVE
joint disease,http://sbmi.uth.tmc.edu/ontology/ochv#C0022408,71-83,PREF,JOINT DISEASE
joint,http://sbmi.uth.tmc.edu/ontology/ochv#C0392905,71-75,PREF,JOINT
joint,http://sbmi.uth.tmc.edu/ontology/ochv#C0022417,71-75,PREF,JOINT
disease,http://sbmi.uth.tmc.edu/ontology/ochv#C0012634,77-83,PREF,DISEASE
disease,http://sbmi.uth.tmc.edu/ontology/ochv#4014,77-83,PREF,DISEASE
pain,http://sbmi.uth.tmc.edu/ontology/ochv#C0030193,116-119,PREF,PAIN
pain,http://sbmi.uth.tmc.edu/ontology/ochv#9185,116-119,PREF,PAIN
experience,http://sbmi.uth.tmc.edu/ontology/ochv#41569,121-130,PREF,EXPERIENCE
experience,http://sbmi.uth.tmc.edu/ontology/ochv#C0237607,121-130,PREF,EXPERIENCE
experience,http://sbmi.uth.tmc.edu/ontology/ochv#C0596545,121-130,PREF,EXPERIENCE
biomechanics,http://sbmi.uth.tmc.edu/ontology/ochv#C0005537,133-144,PREF,BIOMECHANICS
biomechanics,http://sbmi.uth.tmc.edu/ontology/ochv#1899,133-144,PREF,BIOMECHANICS
overall,http://sbmi.uth.tmc.edu/ontology/ochv#C0282416,151-157,PREF,OVERALL
stress,http://sbmi.uth.tmc.edu/ontology/ochv#C0038435,159-164,PREF,STRESS
stress,http://sbmi.uth.tmc.edu/ontology/ochv#11770,159-164,PREF,STRESS
body,http://sbmi.uth.tmc.edu/ontology/ochv#C0242821,170-173,PREF,BODY
obesity,http://sbmi.uth.tmc.edu/ontology/ochv#8861,239-245,PREF,OBESITY
obesity,http://sbmi.uth.tmc.edu/ontology/ochv#C0028754,239-245,PREF,OBESITY
age,http://sbmi.uth.tmc.edu/ontology/ochv#C0001779,257-259,PREF,AGE
lower,http://sbmi.uth.tmc.edu/ontology/ochv#C0441994,320-324,PREF,LOWER
confidence,http://sbmi.uth.tmc.edu/ontology/ochv#C0237529,355-364,PREF,CONFIDENCE
improved,http://sbmi.uth.tmc.edu/ontology/ochv#C0184511,372-379,PREF,IMPROVED
exercise,http://sbmi.uth.tmc.edu/ontology/ochv#4762,395-402,PREF,EXERCISE
exercise,http://sbmi.uth.tmc.edu/ontology/ochv#C0015259,395-402,PREF,EXERCISE
interventions,http://sbmi.uth.tmc.edu/ontology/ochv#52243,404-416,PREF,INTERVENTIONS
