prefLabel,id,from_to,matchType,text
Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3303,6-9,PREF,PAIN
Experience,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C54627,11-20,PREF,EXPERIENCE
Systemic,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13310,57-64,PREF,SYSTEMIC
Include,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C74521,97-103,PREF,INCLUDE
Nutritional Status,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17993,105-122,PREF,NUTRITIONAL STATUS
Nutritional,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25597,105-115,PREF,NUTRITIONAL
Status,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25688,117-122,PREF,STATUS
Metabolic,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28240,125-133,PREF,METABOLIC
Endocrine,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C41064,171-179,PREF,ENDOCRINE
Sleep,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C73425,195-199,PREF,SLEEP
Lead,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25552,237-240,PREF,LEAD
Inflammatory,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25535,275-286,PREF,INFLAMMATORY
Clinical,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25398,289-296,PREF,CLINICAL
Physical,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25618,299-306,PREF,PHYSICAL
