prefLabel,id,from_to,matchType,text
Associate,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C51802,28-36,PREF,ASSOCIATE
Include,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C74521,48-54,PREF,INCLUDE
Age,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25150,56-58|551-553,PREF|PREF,AGE|AGE
Sex,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28421,61-63|495-500,PREF|SYN,SEX|GENDER
Assignment,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25426,78-87,PREF,ASSIGNMENT
Birth,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25155,92-96,PREF,BIRTH
Inherited,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28018,119-127,PREF,INHERITED
Family,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25173,137-142,PREF,FAMILY
Family,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45290,137-142,PREF,FAMILY
Culture,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16478,148-154,PREF,CULTURE
Race,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17049,187-190,PREF,RACE
Main,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25562,222-225,PREF,MAIN
Prevalence,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17010,323-332|362-371,PREF|PREF,PREVALENCE|PREVALENCE
Low,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C54722,429-431,PREF,LOW
Income,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C41150,433-438,PREF,INCOME
Lower,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25309,444-448,PREF,LOWER
Lower,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C86568,444-448,PREF,LOWER
Level,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25554,450-454,PREF,LEVEL
Education,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16529,459-467,PREF,EDUCATION
Study,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63536,474-478,PREF,STUDY
Gender,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17357,495-500,PREF,GENDER
Little,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76350,516-521|569-574,PREF|PREF,LITTLE|LITTLE
Confidence,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43367,535-544|588-597,PREF|PREF,CONFIDENCE|CONFIDENCE
Associated,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25281,604-613,PREF,ASSOCIATED
Lifting,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C86567,620-626,PREF,LIFTING
Carrying,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C81005,632-639,PREF,CARRYING
Capacity,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25443,641-648,PREF,CAPACITY
