prefLabel,id,from_to,matchType,text
associate,http://sbmi.uth.tmc.edu/ontology/ochv#C0750490,28-36,PREF,ASSOCIATE
age,http://sbmi.uth.tmc.edu/ontology/ochv#C0001779,56-58|551-553,PREF|PREF,AGE|AGE
gender,http://sbmi.uth.tmc.edu/ontology/ochv#15165,61-63|495-500,SYN|PREF,SEX|GENDER
birth,http://sbmi.uth.tmc.edu/ontology/ochv#C0005615,92-96,PREF,BIRTH
family,http://sbmi.uth.tmc.edu/ontology/ochv#C0015576,137-142,PREF,FAMILY
family,http://sbmi.uth.tmc.edu/ontology/ochv#4879,137-142,PREF,FAMILY
culture,http://sbmi.uth.tmc.edu/ontology/ochv#C0010453,148-154,PREF,CULTURE
lack,http://sbmi.uth.tmc.edu/ontology/ochv#C0332268,250-253,PREF,LACK
generations,http://sbmi.uth.tmc.edu/ontology/ochv#15166,286-296,PREF,GENERATIONS
prevalence,http://sbmi.uth.tmc.edu/ontology/ochv#C0033105,323-332|362-371,PREF|PREF,PREVALENCE|PREVALENCE
men,http://sbmi.uth.tmc.edu/ontology/ochv#C0025266,350-352,PREF,MEN
Hispanics,http://sbmi.uth.tmc.edu/ontology/ochv#C0086409,397-405,PREF,HISPANICS
Hispanics,http://sbmi.uth.tmc.edu/ontology/ochv#15913,397-405,PREF,HISPANICS
low income,http://sbmi.uth.tmc.edu/ontology/ochv#C0302604,429-438,PREF,LOW INCOME
low,http://sbmi.uth.tmc.edu/ontology/ochv#C0205251,429-431,PREF,LOW
income,http://sbmi.uth.tmc.edu/ontology/ochv#C0021162,433-438,PREF,INCOME
income,http://sbmi.uth.tmc.edu/ontology/ochv#6643,433-438,PREF,INCOME
lower,http://sbmi.uth.tmc.edu/ontology/ochv#C0441994,444-448,PREF,LOWER
gender,http://sbmi.uth.tmc.edu/ontology/ochv#C0079399,495-500,PREF,GENDER
confidence,http://sbmi.uth.tmc.edu/ontology/ochv#C0237529,535-544|588-597,PREF|PREF,CONFIDENCE|CONFIDENCE
associated,http://sbmi.uth.tmc.edu/ontology/ochv#C0332281,604-613,PREF,ASSOCIATED
lifting,http://sbmi.uth.tmc.edu/ontology/ochv#C0206244,620-626,PREF,LIFTING
lifting,http://sbmi.uth.tmc.edu/ontology/ochv#20877,620-626,PREF,LIFTING
carrying capacity,http://sbmi.uth.tmc.edu/ontology/ochv#2492,632-648,PREF,CARRYING CAPACITY
carrying capacity,http://sbmi.uth.tmc.edu/ontology/ochv#C0007296,632-648,PREF,CARRYING CAPACITY
carrying,http://sbmi.uth.tmc.edu/ontology/ochv#20876,632-639,PREF,CARRYING
carrying,http://sbmi.uth.tmc.edu/ontology/ochv#C0206243,632-639,PREF,CARRYING
