prefLabel,id,from_to,matchType,text
genetic,http://sbmi.uth.tmc.edu/ontology/ochv#28472,1-7,PREF,GENETIC
maintenance,http://sbmi.uth.tmc.edu/ontology/ochv#C0024501,95-105,PREF,MAINTENANCE
maintenance,http://sbmi.uth.tmc.edu/ontology/ochv#7677,95-105,PREF,MAINTENANCE
chronic pain,http://sbmi.uth.tmc.edu/ontology/ochv#C0150055,110-121,PREF,CHRONIC PAIN
chronic,http://sbmi.uth.tmc.edu/ontology/ochv#C0205191,110-116,PREF,CHRONIC
pain,http://sbmi.uth.tmc.edu/ontology/ochv#9185,118-121|209-212,PREF|PREF,PAIN|PAIN
pain,http://sbmi.uth.tmc.edu/ontology/ochv#C0030193,118-121|209-212,PREF|PREF,PAIN|PAIN
cellular,http://sbmi.uth.tmc.edu/ontology/ochv#18314,136-143,PREF,CELLULAR
cellular,http://sbmi.uth.tmc.edu/ontology/ochv#C0178539,136-143,PREF,CELLULAR
mechanisms,http://sbmi.uth.tmc.edu/ontology/ochv#C0441712,145-154,PREF,MECHANISMS
Link,http://sbmi.uth.tmc.edu/ontology/ochv#C0208973,161-164,PREF,LINK
inflammation,http://sbmi.uth.tmc.edu/ontology/ochv#C0021368,166-177,PREF,INFLAMMATION
inflammation,http://sbmi.uth.tmc.edu/ontology/ochv#6703,166-177,PREF,INFLAMMATION
peripheral,http://sbmi.uth.tmc.edu/ontology/ochv#C0205100,180-189,PREF,PERIPHERAL
modified,http://sbmi.uth.tmc.edu/ontology/ochv#C0205349,221-228,PREF,MODIFIED
complex,http://sbmi.uth.tmc.edu/ontology/ochv#C0439855,233-239,PREF,COMPLEX
genome,http://sbmi.uth.tmc.edu/ontology/ochv#C0017428,266-271,PREF,GENOME
genome,http://sbmi.uth.tmc.edu/ontology/ochv#5450,266-271,PREF,GENOME
environment,http://sbmi.uth.tmc.edu/ontology/ochv#C0014406,277-287,PREF,ENVIRONMENT
environment,http://sbmi.uth.tmc.edu/ontology/ochv#4515,277-287,PREF,ENVIRONMENT
