prefLabel,id,from_to,matchType,text
Significant,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C41130,21-31,PREF,SIGNIFICANT
Role,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48835,33-36,PREF,ROLE
Back Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C41830,65-73,PREF,BACK PAIN
Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3303,70-73|383-386|403-406|507-510,PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN
Risk,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17102,75-78,PREF,RISK
Genetic,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17938,80-86|301-307|601-607|633-639,PREF|PREF|PREF|PREF,GENETIC|GENETIC|GENETIC|GENETIC
Disc,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62260,149-152|168-171|185-188,PREF|PREF|PREF,DISC|DISC|DISC
Degeneration,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61557,154-165,PREF,DEGENERATION
Height,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25347,190-195,PREF,HEIGHT
Loss,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25559,197-200,PREF,LOSS
Stenosis,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C50754,223-230,PREF,STENOSIS
Evidence,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43583,281-288|588-595,PREF|PREF,EVIDENCE|EVIDENCE
Expression,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C80488,331-340,PREF,EXPRESSION
Matrix,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45805,356-361,PREF,MATRIX
Matrix,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45802,356-361,PREF,MATRIX
Perception,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16967,388-397,PREF,PERCEPTION
Sensitivity,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25201,408-418,PREF,SENSITIVITY
Sensitivity,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68816,408-418,PREF,SENSITIVITY
Personality,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38002,430-440,PREF,PERSONALITY
Experience,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C54627,466-475,PREF,EXPERIENCE
Certain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C107561,477-483,PREF,CERTAIN
Emotional,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25495,485-493,PREF,EMOTIONAL
Have,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C101282,527-530,PREF,HAVE
Increase,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25533,655-662,PREF,INCREASE
Susceptibility,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16505,664-677,PREF,SUSCEPTIBILITY
Little,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76350,705-710|765-770,PREF|PREF,LITTLE|LITTLE
Confidence,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43367,716-725|776-785,PREF|PREF,CONFIDENCE|CONFIDENCE
Self,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25200,732-735,PREF,SELF
