prefLabel,id,from_to,matchType,text
heredity,http://sbmi.uth.tmc.edu/ontology/ochv#6077,1-8,PREF,HEREDITY
heredity,http://sbmi.uth.tmc.edu/ontology/ochv#C0019266,1-8,PREF,HEREDITY
play,http://sbmi.uth.tmc.edu/ontology/ochv#C0032214,14-17,PREF,PLAY
play,http://sbmi.uth.tmc.edu/ontology/ochv#9844,14-17,PREF,PLAY
play,http://sbmi.uth.tmc.edu/ontology/ochv#C0600138,14-17,PREF,PLAY
significant,http://sbmi.uth.tmc.edu/ontology/ochv#C0750502,21-31,PREF,SIGNIFICANT
role,http://sbmi.uth.tmc.edu/ontology/ochv#10933,33-36,PREF,ROLE
back pain,http://sbmi.uth.tmc.edu/ontology/ochv#1662,65-73,PREF,BACK PAIN
back pain,http://sbmi.uth.tmc.edu/ontology/ochv#C0004604,65-73,PREF,BACK PAIN
pain,http://sbmi.uth.tmc.edu/ontology/ochv#C0030193,70-73|383-386|403-406|507-510,PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN
pain,http://sbmi.uth.tmc.edu/ontology/ochv#9185,70-73|383-386|403-406|507-510,PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN
risk,http://sbmi.uth.tmc.edu/ontology/ochv#10909,75-78,PREF,RISK
risk,http://sbmi.uth.tmc.edu/ontology/ochv#C0035647,75-78,PREF,RISK
genetic,http://sbmi.uth.tmc.edu/ontology/ochv#28472,80-86|301-307|601-607|633-639,PREF|PREF|PREF|PREF,GENETIC|GENETIC|GENETIC|GENETIC
disc degeneration,http://sbmi.uth.tmc.edu/ontology/ochv#C0850554,149-165,PREF,DISC DEGENERATION
disc degeneration,http://sbmi.uth.tmc.edu/ontology/ochv#49893,149-165,PREF,DISC DEGENERATION
height,http://sbmi.uth.tmc.edu/ontology/ochv#C0489786,190-195,PREF,HEIGHT
height,http://sbmi.uth.tmc.edu/ontology/ochv#37294,190-195,PREF,HEIGHT
stenosis,http://sbmi.uth.tmc.edu/ontology/ochv#C0947637,223-230,PREF,STENOSIS
related,http://sbmi.uth.tmc.edu/ontology/ochv#C0163712,320-326,PREF,RELATED
expression,http://sbmi.uth.tmc.edu/ontology/ochv#C0185117,331-340,PREF,EXPRESSION
matrix,http://sbmi.uth.tmc.edu/ontology/ochv#29225,356-361,PREF,MATRIX
matrix,http://sbmi.uth.tmc.edu/ontology/ochv#C0331858,356-361,PREF,MATRIX
proteins,http://sbmi.uth.tmc.edu/ontology/ochv#10250,363-370,PREF,PROTEINS
pain perception,http://sbmi.uth.tmc.edu/ontology/ochv#49233,383-397,PREF,PAIN PERCEPTION
pain perception,http://sbmi.uth.tmc.edu/ontology/ochv#C0814071,383-397,PREF,PAIN PERCEPTION
perception,http://sbmi.uth.tmc.edu/ontology/ochv#9468,388-397,PREF,PERCEPTION
perception,http://sbmi.uth.tmc.edu/ontology/ochv#C0030971,388-397,PREF,PERCEPTION
personality traits,http://sbmi.uth.tmc.edu/ontology/ochv#23217,430-447,PREF,PERSONALITY TRAITS
personality traits,http://sbmi.uth.tmc.edu/ontology/ochv#C0233849,430-447,PREF,PERSONALITY TRAITS
personality,http://sbmi.uth.tmc.edu/ontology/ochv#9541,430-440,PREF,PERSONALITY
personality,http://sbmi.uth.tmc.edu/ontology/ochv#C0031208,430-440,PREF,PERSONALITY
experience,http://sbmi.uth.tmc.edu/ontology/ochv#41569,466-475,PREF,EXPERIENCE
experience,http://sbmi.uth.tmc.edu/ontology/ochv#C0237607,466-475,PREF,EXPERIENCE
experience,http://sbmi.uth.tmc.edu/ontology/ochv#C0596545,466-475,PREF,EXPERIENCE
certain,http://sbmi.uth.tmc.edu/ontology/ochv#C0205423,477-483,PREF,CERTAIN
emotional,http://sbmi.uth.tmc.edu/ontology/ochv#C0849912,485-493,PREF,EMOTIONAL
evidence for,http://sbmi.uth.tmc.edu/ontology/ochv#C0332120,588-599,PREF,EVIDENCE FOR
mechanisms,http://sbmi.uth.tmc.edu/ontology/ochv#C0441712,609-618,PREF,MECHANISMS
increase,http://sbmi.uth.tmc.edu/ontology/ochv#C0442805,655-662,PREF,INCREASE
susceptibility,http://sbmi.uth.tmc.edu/ontology/ochv#C1264642,664-677,PREF,SUSCEPTIBILITY
sciatica,http://sbmi.uth.tmc.edu/ontology/ochv#C0036396,682-689,PREF,SCIATICA
sciatica,http://sbmi.uth.tmc.edu/ontology/ochv#11108,682-689,PREF,SCIATICA
confidence,http://sbmi.uth.tmc.edu/ontology/ochv#C0237529,716-725|776-785,PREF|PREF,CONFIDENCE|CONFIDENCE
self,http://sbmi.uth.tmc.edu/ontology/ochv#11168,732-735,PREF,SELF
self,http://sbmi.uth.tmc.edu/ontology/ochv#C0036588,732-735,PREF,SELF
