prefLabel,id,from_to,matchType,text
Anatomy,http://purl.bioontology.org/ontology/MESH/D000715,1-7,PREF,ANATOMY
Brain,http://purl.bioontology.org/ontology/MESH/D001921,57-61|333-337|500-504,PREF|PREF|PREF,BRAIN|BRAIN|BRAIN
Joints,http://purl.bioontology.org/ontology/MESH/D007596,167-172,PREF,JOINTS
Muscles,http://purl.bioontology.org/ontology/MESH/D009132,175-181,PREF,MUSCLES
Ligaments,http://purl.bioontology.org/ontology/MESH/D008022,184-192,PREF,LIGAMENTS
Pelvis,http://purl.bioontology.org/ontology/MESH/D010388,199-204,PREF,PELVIS
Spine,http://purl.bioontology.org/ontology/MESH/D013131,237-241|308-312|490-494,PREF|PREF|PREF,SPINE|SPINE|SPINE
Prefrontal Cortex,http://purl.bioontology.org/ontology/MESH/D017397,381-397,PREF,PREFRONTAL CORTEX
Basal Ganglia,http://purl.bioontology.org/ontology/MESH/D001479,428-440,PREF,BASAL GANGLIA
Ganglia,http://purl.bioontology.org/ontology/MESH/D005724,434-440,PREF,GANGLIA
Thalamus,http://purl.bioontology.org/ontology/MESH/D013788,443-450,PREF,THALAMUS
abnormalities,http://purl.bioontology.org/ontology/MESH/Q000002,467-479,PREF,ABNORMALITIES
Risk,http://purl.bioontology.org/ontology/MESH/D012306,530-533,PREF,RISK
Activity,http://purl.bioontology.org/ontology/STY/T052,596-603,PREF,ACTIVITY
Association,http://purl.bioontology.org/ontology/MESH/D001244,658-668,PREF,ASSOCIATION
Pain,http://purl.bioontology.org/ontology/MESH/D010146,760-763,PREF,PAIN
