prefLabel,id,from_to,matchType,text
shape,http://sbmi.uth.tmc.edu/ontology/ochv#C0522512,23-27|78-82,PREF|PREF,SHAPE|SHAPE
shape,http://sbmi.uth.tmc.edu/ontology/ochv#C0348078,23-27|78-82,PREF|PREF,SHAPE|SHAPE
shape,http://sbmi.uth.tmc.edu/ontology/ochv#C0332479,23-27|78-82,PREF|PREF,SHAPE|SHAPE
size,http://sbmi.uth.tmc.edu/ontology/ochv#C0702146,33-36|88-91|713-716,PREF|PREF|PREF,SIZE|SIZE|SIZE
lumbosacral,http://sbmi.uth.tmc.edu/ontology/ochv#C0450206,41-51,PREF,LUMBOSACRAL
brain,http://sbmi.uth.tmc.edu/ontology/ochv#2128,53-61|57-72|57-61|333-337|496-504|500-515|500-504,SYN|SYN|PREF|PREF|SYN|SYN|PREF,AND BRAIN|BRAIN STRUCTURES|BRAIN|BRAIN|AND BRAIN|BRAIN STRUCTURES|BRAIN
brain,http://sbmi.uth.tmc.edu/ontology/ochv#C0006104,57-61|333-337|500-504,PREF|PREF|PREF,BRAIN|BRAIN|BRAIN
spinal,http://sbmi.uth.tmc.edu/ontology/ochv#37924,96-101,PREF,SPINAL
spinal,http://sbmi.uth.tmc.edu/ontology/ochv#C0521329,96-101,PREF,SPINAL
intervertebral,http://sbmi.uth.tmc.edu/ontology/ochv#C0442106,134-147,PREF,INTERVERTEBRAL
sacroiliac,http://sbmi.uth.tmc.edu/ontology/ochv#C0555898,156-165,PREF,SACROILIAC
joints,http://sbmi.uth.tmc.edu/ontology/ochv#7022,167-172,PREF,JOINTS
ligaments,http://sbmi.uth.tmc.edu/ontology/ochv#7416,184-192,PREF,LIGAMENTS
pelvis,http://sbmi.uth.tmc.edu/ontology/ochv#C0030797,199-204,PREF,PELVIS
pelvis,http://sbmi.uth.tmc.edu/ontology/ochv#9406,199-204,PREF,PELVIS
spine,http://sbmi.uth.tmc.edu/ontology/ochv#C0037949,237-241|308-312|490-494,PREF|PREF|PREF,SPINE|SPINE|SPINE
Support,http://sbmi.uth.tmc.edu/ontology/ochv#C1171411,246-252,PREF,SUPPORT
stability,http://sbmi.uth.tmc.edu/ontology/ochv#C1317741,291-299,PREF,STABILITY
stability,http://sbmi.uth.tmc.edu/ontology/ochv#58043,291-299,PREF,STABILITY
prefrontal cortex,http://sbmi.uth.tmc.edu/ontology/ochv#17981,381-397,PREF,PREFRONTAL CORTEX
prefrontal cortex,http://sbmi.uth.tmc.edu/ontology/ochv#C0162783,381-397,PREF,PREFRONTAL CORTEX
insula,http://sbmi.uth.tmc.edu/ontology/ochv#C0021640,420-425,PREF,INSULA
basal ganglia,http://sbmi.uth.tmc.edu/ontology/ochv#C0004781,428-440,PREF,BASAL GANGLIA
basal ganglia,http://sbmi.uth.tmc.edu/ontology/ochv#1716,428-440,PREF,BASAL GANGLIA
basal,http://sbmi.uth.tmc.edu/ontology/ochv#C0205112,428-432,PREF,BASAL
ganglia,http://sbmi.uth.tmc.edu/ontology/ochv#5339,434-440,PREF,GANGLIA
thalamus,http://sbmi.uth.tmc.edu/ontology/ochv#C0039729,443-450,PREF,THALAMUS
increase,http://sbmi.uth.tmc.edu/ontology/ochv#C0442805,521-528,PREF,INCREASE
risk,http://sbmi.uth.tmc.edu/ontology/ochv#10909,530-533,PREF,RISK
risk,http://sbmi.uth.tmc.edu/ontology/ochv#C0035647,530-533,PREF,RISK
transverse,http://sbmi.uth.tmc.edu/ontology/ochv#C0205106,559-568,PREF,TRANSVERSE
morphology,http://sbmi.uth.tmc.edu/ontology/ochv#C0332437,585-594,PREF,MORPHOLOGY
morphology,http://sbmi.uth.tmc.edu/ontology/ochv#29421,585-594,PREF,MORPHOLOGY
activity,http://sbmi.uth.tmc.edu/ontology/ochv#C0439167,596-603,PREF,ACTIVITY
activity,http://sbmi.uth.tmc.edu/ontology/ochv#C0441655,596-603,PREF,ACTIVITY
clinical,http://sbmi.uth.tmc.edu/ontology/ochv#C0205210,610-617,PREF,CLINICAL
confidence,http://sbmi.uth.tmc.edu/ontology/ochv#C0237529,674-683|831-840,PREF|PREF,CONFIDENCE|CONFIDENCE
area,http://sbmi.uth.tmc.edu/ontology/ochv#C0205146,754-757,PREF,AREA
pain,http://sbmi.uth.tmc.edu/ontology/ochv#C0030193,760-763,PREF,PAIN
pain,http://sbmi.uth.tmc.edu/ontology/ochv#9185,760-763,PREF,PAIN
CONTROL,http://sbmi.uth.tmc.edu/ontology/ochv#C0308718,772-778,PREF,CONTROL
