prefLabel,id,from_to,matchType,text
Pain,http://purl.bioontology.org/ontology/MESH/D010146,30-33|80-83|95-98|127-130|195-198|258-261|326-329|367-370|689-692|753-756|955-958|1087-1090|1153-1156|1426-1429|1548-1551,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
Chronic Pain,http://purl.bioontology.org/ontology/MESH/D059350,72-83|1540-1551,PREF|PREF,CHRONIC PAIN|CHRONIC PAIN
Hypersensitivity,http://purl.bioontology.org/ontology/MESH/D006967,555-570|1092-1107,PREF|PREF,HYPERSENSITIVITY|HYPERSENSITIVITY
Hyperalgesia,http://purl.bioontology.org/ontology/MESH/D006930,619-630,PREF,HYPERALGESIA
Tissue,http://purl.bioontology.org/ontology/STY/T024,790-795,PREF,TISSUE
Patients,http://purl.bioontology.org/ontology/MESH/D010361,888-895,PREF,PATIENTS
Pain Perception,http://purl.bioontology.org/ontology/MESH/D058748,955-969,PREF,PAIN PERCEPTION
Perception,http://purl.bioontology.org/ontology/MESH/D010465,960-969,PREF,PERCEPTION
Brain,http://purl.bioontology.org/ontology/MESH/D001921,1180-1184,PREF,BRAIN
Anatomy,http://purl.bioontology.org/ontology/MESH/D000715,1186-1192,PREF,ANATOMY
Association,http://purl.bioontology.org/ontology/MESH/D001244,1349-1359,PREF,ASSOCIATION
classification,http://purl.bioontology.org/ontology/MESH/Q000145,1401-1414,PREF,CLASSIFICATION
Classification,http://purl.bioontology.org/ontology/MESH/D002965,1401-1414,PREF,CLASSIFICATION
Classification,http://purl.bioontology.org/ontology/STY/T185,1401-1414,PREF,CLASSIFICATION
