prefLabel,id,from_to,matchType,text
sensory,http://sbmi.uth.tmc.edu/ontology/ochv#C0445254,1-7|1005-1011|1041-1047|1278-1284,PREF|PREF|PREF|PREF,SENSORY|SENSORY|SENSORY|SENSORY
pain,http://sbmi.uth.tmc.edu/ontology/ochv#9185,30-33|80-83|95-98|127-130|195-198|258-261|326-329|367-370|689-692|753-756|955-958|1087-1090|1153-1156|1426-1429|1548-1551,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
pain,http://sbmi.uth.tmc.edu/ontology/ochv#C0030193,30-33|80-83|95-98|127-130|195-198|258-261|326-329|367-370|689-692|753-756|955-958|1087-1090|1153-1156|1426-1429|1548-1551,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
frequent,http://sbmi.uth.tmc.edu/ontology/ochv#C0332183,51-58,PREF,FREQUENT
chronic pain,http://sbmi.uth.tmc.edu/ontology/ochv#C0150055,72-83|1540-1551,PREF|PREF,CHRONIC PAIN|CHRONIC PAIN
chronic,http://sbmi.uth.tmc.edu/ontology/ochv#C0205191,72-78|1540-1546,PREF|PREF,CHRONIC|CHRONIC
increased,http://sbmi.uth.tmc.edu/ontology/ochv#C0205217,85-93,PREF,INCREASED
primary,http://sbmi.uth.tmc.edu/ontology/ochv#20418,119-125|250-256,PREF|PREF,PRIMARY|PRIMARY
primary,http://sbmi.uth.tmc.edu/ontology/ochv#C0205225,119-125|250-256,PREF|PREF,PRIMARY|PRIMARY
area,http://sbmi.uth.tmc.edu/ontology/ochv#C0205146,132-135|263-266,PREF|PREF,AREA|AREA
peripheral,http://sbmi.uth.tmc.edu/ontology/ochv#C0205100,161-170|422-431|779-788|1671-1680,PREF|PREF|PREF|PREF,PERIPHERAL|PERIPHERAL|PERIPHERAL|PERIPHERAL
remote,http://sbmi.uth.tmc.edu/ontology/ochv#C0205157,234-239,PREF,REMOTE
central,http://sbmi.uth.tmc.edu/ontology/ochv#C0205099,284-290|411-417|681-687|1145-1151|1692-1698|1711-1717,PREF|PREF|PREF|PREF|PREF|PREF,CENTRAL|CENTRAL|CENTRAL|CENTRAL|CENTRAL|CENTRAL
central,http://sbmi.uth.tmc.edu/ontology/ochv#20304,284-290|411-417|681-687|1145-1151|1692-1698|1711-1717,PREF|PREF|PREF|PREF|PREF|PREF,CENTRAL|CENTRAL|CENTRAL|CENTRAL|CENTRAL|CENTRAL
people,http://sbmi.uth.tmc.edu/ontology/ochv#C0027361,303-308,PREF,PEOPLE
heightened,http://sbmi.uth.tmc.edu/ontology/ochv#C0442803,315-324,PREF,HEIGHTENED
report,http://sbmi.uth.tmc.edu/ontology/ochv#C0684224,343-348|1122-1127,PREF|PREF,REPORT|REPORT
levels,http://sbmi.uth.tmc.edu/ontology/ochv#C0441889,357-362,PREF,LEVELS
disability,http://sbmi.uth.tmc.edu/ontology/ochv#C0231170,372-381|1445-1454,PREF|PREF,DISABILITY|DISABILITY
due to,http://sbmi.uth.tmc.edu/ontology/ochv#C0678226,383-388,PREF,DUE TO
due to,http://sbmi.uth.tmc.edu/ontology/ochv#42785,383-388,PREF,DUE TO
reorganization,http://sbmi.uth.tmc.edu/ontology/ochv#43340,459-472,PREF,REORGANIZATION
reorganization,http://sbmi.uth.tmc.edu/ontology/ochv#C0680829,459-472,PREF,REORGANIZATION
neuronal,http://sbmi.uth.tmc.edu/ontology/ochv#37942,475-482,PREF,NEURONAL
neuronal,http://sbmi.uth.tmc.edu/ontology/ochv#C0521390,475-482,PREF,NEURONAL
hyperexcitability,http://sbmi.uth.tmc.edu/ontology/ochv#C0856984,498-514,PREF,HYPEREXCITABILITY
hyperexcitability,http://sbmi.uth.tmc.edu/ontology/ochv#C0814034,498-514,PREF,HYPEREXCITABILITY
hypersensitivity,http://sbmi.uth.tmc.edu/ontology/ochv#C1306443,555-570|1092-1107,PREF|PREF,HYPERSENSITIVITY|HYPERSENSITIVITY
hypersensitivity,http://sbmi.uth.tmc.edu/ontology/ochv#6439,555-570|1092-1107,PREF|PREF,HYPERSENSITIVITY|HYPERSENSITIVITY
hyperalgesia,http://sbmi.uth.tmc.edu/ontology/ochv#6400,619-630,PREF,HYPERALGESIA
hyperalgesia,http://sbmi.uth.tmc.edu/ontology/ochv#C0020429,619-630,PREF,HYPERALGESIA
allodynia,http://sbmi.uth.tmc.edu/ontology/ochv#C0458247,633-641,PREF,ALLODYNIA
fmri,http://sbmi.uth.tmc.edu/ontology/ochv#C0376335,644-647,PREF,FMRI
central pain,http://sbmi.uth.tmc.edu/ontology/ochv#C0234243,681-692|1145-1156,PREF|PREF,CENTRAL PAIN|CENTRAL PAIN
clear,http://sbmi.uth.tmc.edu/ontology/ochv#C0205305,773-777,PREF,CLEAR
tissue,http://sbmi.uth.tmc.edu/ontology/ochv#C0040300,790-795,PREF,TISSUE
quantitative,http://sbmi.uth.tmc.edu/ontology/ochv#C0392762,829-840|1028-1039|1265-1276,PREF|PREF|PREF,QUANTITATIVE|QUANTITATIVE|QUANTITATIVE
measures,http://sbmi.uth.tmc.edu/ontology/ochv#15235,842-849,PREF,MEASURES
volume,http://sbmi.uth.tmc.edu/ontology/ochv#C0449468,866-871,PREF,VOLUME
patients,http://sbmi.uth.tmc.edu/ontology/ochv#9372,888-895,PREF,PATIENTS
related,http://sbmi.uth.tmc.edu/ontology/ochv#C0163712,944-950|1134-1140,PREF|PREF,RELATED|RELATED
pain perception,http://sbmi.uth.tmc.edu/ontology/ochv#49233,955-969,PREF,PAIN PERCEPTION
pain perception,http://sbmi.uth.tmc.edu/ontology/ochv#C0814071,955-969,PREF,PAIN PERCEPTION
perception,http://sbmi.uth.tmc.edu/ontology/ochv#9468,960-969,PREF,PERCEPTION
perception,http://sbmi.uth.tmc.edu/ontology/ochv#C0030971,960-969,PREF,PERCEPTION
function,http://sbmi.uth.tmc.edu/ontology/ochv#38604,1013-1020|1613-1623,PREF|SYN,FUNCTION|FUNCTIONING
function,http://sbmi.uth.tmc.edu/ontology/ochv#C0542341,1013-1020,PREF,FUNCTION
function,http://sbmi.uth.tmc.edu/ontology/ochv#C0422812,1013-1020,PREF,FUNCTION
sensory testing,http://sbmi.uth.tmc.edu/ontology/ochv#C0200116,1041-1055|1278-1292,PREF|PREF,SENSORY TESTING|SENSORY TESTING
testing,http://sbmi.uth.tmc.edu/ontology/ochv#12118,1049-1055|1286-1292,PREF|PREF,TESTING|TESTING
provide,http://sbmi.uth.tmc.edu/ontology/ochv#C0359589,1067-1073,PREF,PROVIDE
including,http://sbmi.uth.tmc.edu/ontology/ochv#C0332257,1170-1178,PREF,INCLUDING
brain,http://sbmi.uth.tmc.edu/ontology/ochv#C0006104,1180-1184,PREF,BRAIN
brain,http://sbmi.uth.tmc.edu/ontology/ochv#2128,1180-1184,PREF,BRAIN
functional,http://sbmi.uth.tmc.edu/ontology/ochv#C0205245,1198-1207,PREF,FUNCTIONAL
confidence,http://sbmi.uth.tmc.edu/ontology/ochv#C0237529,1251-1260|1319-1328|1365-1374,PREF|PREF|PREF,CONFIDENCE|CONFIDENCE|CONFIDENCE
relationship,http://sbmi.uth.tmc.edu/ontology/ochv#C0439849,1380-1391,PREF,RELATIONSHIP
classification,http://sbmi.uth.tmc.edu/ontology/ochv#3021,1401-1414,PREF,CLASSIFICATION
classification,http://sbmi.uth.tmc.edu/ontology/ochv#C0008902,1401-1414,PREF,CLASSIFICATION
severity,http://sbmi.uth.tmc.edu/ontology/ochv#C0449294,1431-1438,PREF,SEVERITY
questionnaire,http://sbmi.uth.tmc.edu/ontology/ochv#C0034394,1459-1471,PREF,QUESTIONNAIRE
neuroplasticity,http://sbmi.uth.tmc.edu/ontology/ochv#C0027880,1509-1523,PREF,NEUROPLASTICITY
associate,http://sbmi.uth.tmc.edu/ontology/ochv#C0750490,1564-1572,PREF,ASSOCIATE
disrupted,http://sbmi.uth.tmc.edu/ontology/ochv#C0332454,1579-1587,PREF,DISRUPTED
disrupted,http://sbmi.uth.tmc.edu/ontology/ochv#29426,1579-1587|1630-1637,PREF|SYN,DISRUPTED|DISRUPTS
emotional,http://sbmi.uth.tmc.edu/ontology/ochv#C0849912,1589-1597,PREF,EMOTIONAL
cognitive functioning,http://sbmi.uth.tmc.edu/ontology/ochv#C0392334,1603-1623,PREF,COGNITIVE FUNCTIONING
complex,http://sbmi.uth.tmc.edu/ontology/ochv#C0439855,1643-1649,PREF,COMPLEX
