prefLabel,id,from_to,matchType,text
nociception,http://sbmi.uth.tmc.edu/ontology/ochv#C0234194,1-11|825-835,PREF|PREF,NOCICEPTION|NOCICEPTION
specific,http://sbmi.uth.tmc.edu/ontology/ochv#C0205369,51-58,PREF,SPECIFIC
nociceptors,http://sbmi.uth.tmc.edu/ontology/ochv#C0028246,60-70|264-274,PREF|PREF,NOCICEPTORS|NOCICEPTORS
nociceptors,http://sbmi.uth.tmc.edu/ontology/ochv#8753,60-70|264-274,PREF|PREF,NOCICEPTORS|NOCICEPTORS
pain,http://sbmi.uth.tmc.edu/ontology/ochv#9185,79-82|169-172|401-404|564-567,PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN
pain,http://sbmi.uth.tmc.edu/ontology/ochv#C0030193,79-82|169-172|401-404|564-567,PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN
peripheral,http://sbmi.uth.tmc.edu/ontology/ochv#C0205100,100-109|363-372,PREF|PREF,PERIPHERAL|PERIPHERAL
neural pathways,http://sbmi.uth.tmc.edu/ontology/ochv#8615,111-125,PREF,NEURAL PATHWAYS
neural,http://sbmi.uth.tmc.edu/ontology/ochv#42098,111-116|222-227,PREF|PREF,NEURAL|NEURAL
neural,http://sbmi.uth.tmc.edu/ontology/ochv#C0599851,111-116|222-227,PREF|PREF,NEURAL|NEURAL
central,http://sbmi.uth.tmc.edu/ontology/ochv#C0205099,134-140,PREF,CENTRAL
central,http://sbmi.uth.tmc.edu/ontology/ochv#20304,134-140,PREF,CENTRAL
nervous system,http://sbmi.uth.tmc.edu/ontology/ochv#C0027763,142-155,PREF,NERVOUS SYSTEM
actual,http://sbmi.uth.tmc.edu/ontology/ochv#C0237400,190-195,PREF,ACTUAL
actual,http://sbmi.uth.tmc.edu/ontology/ochv#23800,190-195,PREF,ACTUAL
damage,http://sbmi.uth.tmc.edu/ontology/ochv#C0010957,208-213|474-479,PREF|PREF,DAMAGE|DAMAGE
spine,http://sbmi.uth.tmc.edu/ontology/ochv#C0037949,229-233,PREF,SPINE
tissues,http://sbmi.uth.tmc.edu/ontology/ochv#12321,235-241,PREF,TISSUES
due to,http://sbmi.uth.tmc.edu/ontology/ochv#C0678226,243-248|300-305|409-414,PREF|PREF|PREF,DUE TO|DUE TO|DUE TO
due to,http://sbmi.uth.tmc.edu/ontology/ochv#42785,243-248|300-305|409-414,PREF|PREF|PREF,DUE TO|DUE TO|DUE TO
mechanical,http://sbmi.uth.tmc.edu/ontology/ochv#C0443254,324-333,PREF,MECHANICAL
neuropathic pain,http://sbmi.uth.tmc.edu/ontology/ochv#C0423716,389-404|552-567,PREF|PREF,NEUROPATHIC PAIN|NEUROPATHIC PAIN
clinical,http://sbmi.uth.tmc.edu/ontology/ochv#C0205210,416-423,PREF,CLINICAL
nerve,http://sbmi.uth.tmc.edu/ontology/ochv#8592,452-457|468-472,SYN|PREF,NERVES|NERVE
nerve,http://sbmi.uth.tmc.edu/ontology/ochv#C0027740,468-472,PREF,NERVE
compression,http://sbmi.uth.tmc.edu/ontology/ochv#C0728907,486-496,PREF,COMPRESSION
compression,http://sbmi.uth.tmc.edu/ontology/ochv#46656,486-496,PREF,COMPRESSION
inflammation,http://sbmi.uth.tmc.edu/ontology/ochv#C0021368,499-510,PREF,INFLAMMATION
inflammation,http://sbmi.uth.tmc.edu/ontology/ochv#6703,499-510,PREF,INFLAMMATION
confidence,http://sbmi.uth.tmc.edu/ontology/ochv#C0237529,594-603,PREF,CONFIDENCE
present,http://sbmi.uth.tmc.edu/ontology/ochv#16843,609-615,PREF,PRESENT
present,http://sbmi.uth.tmc.edu/ontology/ochv#C0150312,609-615,PREF,PRESENT
radiculopathy,http://sbmi.uth.tmc.edu/ontology/ochv#C0700594,692-704,PREF,RADICULOPATHY
radiculopathy,http://sbmi.uth.tmc.edu/ontology/ochv#44834,692-704,PREF,RADICULOPATHY
disease,http://sbmi.uth.tmc.edu/ontology/ochv#C0012634,716-722|759-765,PREF|PREF,DISEASE|DISEASE
disease,http://sbmi.uth.tmc.edu/ontology/ochv#4014,716-722|759-765,PREF|PREF,DISEASE|DISEASE
