prefLabel,id,from_to,matchType,text
Have,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C101282,21-24,PREF,HAVE
Evaluation,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25214,44-51|416-425,SYN|PREF,EVALUATE|EVALUATION
Key,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C46002,61-63|243-245,PREF|PREF,KEY|KEY
Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3303,83-86|100-103|145-148|207-210|227-230|260-263|360-363|390-393|430-433|465-468|550-553|597-600|738-741|767-770|831-834,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
Experience,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C54627,88-97|265-274|310-319|395-404|743-752,PREF|PREF|PREF|PREF|PREF,EXPERIENCE|EXPERIENCE|EXPERIENCE|EXPERIENCE|EXPERIENCE
Intensity,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25539,105-113|772-780,PREF|PREF,INTENSITY|INTENSITY
Much,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126287,120-123|162-165,PREF|PREF,MUCH|MUCH
Person,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25190,127-132|169-174,PREF|PREF,PERSON|PERSON
Include,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C74521,199-205,PREF,INCLUDE
Location,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25341,232-239,PREF,LOCATION
Element,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48792,247-253,PREF,ELEMENT
Element,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C1940,247-253,PREF,ELEMENT
Perception,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16967,279-288,PREF,PERCEPTION
Bias,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28232,290-293,PREF,BIAS
Prior,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25629,304-308,PREF,PRIOR
Expectancy,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25359,325-334,PREF,EXPECTANCY
Cognitive,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37926,336-344|406-414|613-621,PREF|PREF|PREF,COGNITIVE|COGNITIVE|COGNITIVE
Processing,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48177,346-355,PREF,PROCESSING
Information,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48191,365-375,PREF,INFORMATION
Sensation,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C19989,470-478|555-563,PREF|PREF,SENSATION|SENSATION
Coping,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C78176,501-506,PREF,COPING
Theory,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C84379,508-513,PREF,THEORY
Emotional,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25495,524-532,PREF,EMOTIONAL
Reaction,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25637,534-541,PREF,REACTION
Chronicity,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C123936,602-611,PREF,CHRONICITY
Fatigue,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3036,623-629,PREF,FATIGUE
Concentration,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C41185,642-654,PREF,CONCENTRATION
Memory,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37992,660-665,PREF,MEMORY
Difficulty,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62189,680-689,PREF,DIFFICULTY
Data,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25474,730-733,PREF,DATA
Little,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76350,796-801|861-866,PREF|PREF,LITTLE|LITTLE
Confidence,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43367,815-824|880-889,PREF|PREF,CONFIDENCE|CONFIDENCE
Duration,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25330,836-843,PREF,DURATION
Lifting,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C86567,897-903,PREF,LIFTING
Carrying,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C81005,909-916,PREF,CARRYING
Capacity,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25443,918-925,PREF,CAPACITY
Physical Activity,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17708,934-950,PREF,PHYSICAL ACTIVITY
Physical,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25618,934-941,PREF,PHYSICAL
Activity,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43431,943-950,PREF,ACTIVITY
Sick Leave,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C148251,953-962,PREF,SICK LEAVE
Disability,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C21007,971-980,PREF,DISABILITY
