prefLabel,id,from_to,matchType,text
pain,http://sbmi.uth.tmc.edu/ontology/ochv#C0030193,83-86|100-103|145-148|207-210|227-230|260-263|360-363|390-393|430-433|465-468|550-553|597-600|738-741|767-770|831-834,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
pain,http://sbmi.uth.tmc.edu/ontology/ochv#9185,83-86|100-103|145-148|207-210|227-230|260-263|360-363|390-393|430-433|465-468|550-553|597-600|738-741|767-770|831-834,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
experience,http://sbmi.uth.tmc.edu/ontology/ochv#41569,88-97|265-274|310-319|395-404|743-752,PREF|PREF|PREF|PREF|PREF,EXPERIENCE|EXPERIENCE|EXPERIENCE|EXPERIENCE|EXPERIENCE
experience,http://sbmi.uth.tmc.edu/ontology/ochv#C0237607,88-97|265-274|310-319|395-404|743-752,PREF|PREF|PREF|PREF|PREF,EXPERIENCE|EXPERIENCE|EXPERIENCE|EXPERIENCE|EXPERIENCE
experience,http://sbmi.uth.tmc.edu/ontology/ochv#C0596545,88-97|265-274|310-319|395-404|743-752,PREF|PREF|PREF|PREF|PREF,EXPERIENCE|EXPERIENCE|EXPERIENCE|EXPERIENCE|EXPERIENCE
pain intensity,http://sbmi.uth.tmc.edu/ontology/ochv#C1320357,100-113|767-780,PREF|PREF,PAIN INTENSITY|PAIN INTENSITY
intensity,http://sbmi.uth.tmc.edu/ontology/ochv#C0522510,105-113|772-780,PREF|PREF,INTENSITY|INTENSITY
location,http://sbmi.uth.tmc.edu/ontology/ochv#C0450429,232-239,PREF,LOCATION
perception,http://sbmi.uth.tmc.edu/ontology/ochv#9468,279-288,PREF,PERCEPTION
perception,http://sbmi.uth.tmc.edu/ontology/ochv#C0030971,279-288,PREF,PERCEPTION
bias,http://sbmi.uth.tmc.edu/ontology/ochv#C0242568,290-293,PREF,BIAS
expectancy,http://sbmi.uth.tmc.edu/ontology/ochv#41568,325-334,PREF,EXPECTANCY
expectancy,http://sbmi.uth.tmc.edu/ontology/ochv#C0596544,325-334,PREF,EXPECTANCY
information,http://sbmi.uth.tmc.edu/ontology/ochv#51185,365-375,PREF,INFORMATION
