prefLabel,id,from_to,matchType,text
Patients,http://purl.bioontology.org/ontology/MESH/D010361,1-8,PREF,PATIENTS
Perception,http://purl.bioontology.org/ontology/MESH/D010465,10-19|263-272|693-702,PREF|PREF|PREF,PERCEPTION|PERCEPTION|PERCEPTION
Pain,http://purl.bioontology.org/ontology/MESH/D010146,24-27|158-161|258-261|688-691|779-782|864-867,PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
Neural Pathways,http://purl.bioontology.org/ontology/MESH/D009434,113-127,PREF,NEURAL PATHWAYS
Attention,http://purl.bioontology.org/ontology/MESH/D001288,133-141,PREF,ATTENTION
Pain Perception,http://purl.bioontology.org/ontology/MESH/D058748,258-272|688-702,PREF|PREF,PAIN PERCEPTION|PAIN PERCEPTION
Interoception,http://purl.bioontology.org/ontology/MESH/D065812,277-289,PREF,INTEROCEPTION
Nervous System,http://purl.bioontology.org/ontology/MESH/D009420,317-330,PREF,NERVOUS SYSTEM
Activity,http://purl.bioontology.org/ontology/STY/T052,436-443,PREF,ACTIVITY
Anxiety,http://purl.bioontology.org/ontology/MESH/D001007,530-536,PREF,ANXIETY
Hypochondriasis,http://purl.bioontology.org/ontology/MESH/D006998,572-586,PREF,HYPOCHONDRIASIS
Awareness,http://purl.bioontology.org/ontology/MESH/D001364,615-623,PREF,AWARENESS
Work,http://purl.bioontology.org/ontology/MESH/D014937,824-827,PREF,WORK
