prefLabel,id,from_to,matchType,text
patients,http://sbmi.uth.tmc.edu/ontology/ochv#9372,1-8,PREF,PATIENTS
pain perception,http://sbmi.uth.tmc.edu/ontology/ochv#49233,10-27|258-272|688-702,SYN|PREF|PREF,PERCEPTION OF PAIN|PAIN PERCEPTION|PAIN PERCEPTION
perception,http://sbmi.uth.tmc.edu/ontology/ochv#9468,10-19|263-272|693-702,PREF|PREF|PREF,PERCEPTION|PERCEPTION|PERCEPTION
perception,http://sbmi.uth.tmc.edu/ontology/ochv#C0030971,10-19|263-272|693-702,PREF|PREF|PREF,PERCEPTION|PERCEPTION|PERCEPTION
pain,http://sbmi.uth.tmc.edu/ontology/ochv#9185,24-27|158-161|258-261|688-691|779-782|864-867,PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
pain,http://sbmi.uth.tmc.edu/ontology/ochv#C0030193,24-27|158-161|258-261|688-691|779-782|864-867,PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
differentiated,http://sbmi.uth.tmc.edu/ontology/ochv#C0205615,32-45,PREF,DIFFERENTIATED
neural pathways,http://sbmi.uth.tmc.edu/ontology/ochv#8615,113-127,PREF,NEURAL PATHWAYS
neural,http://sbmi.uth.tmc.edu/ontology/ochv#42098,113-118|429-434,PREF|PREF,NEURAL|NEURAL
neural,http://sbmi.uth.tmc.edu/ontology/ochv#C0599851,113-118|429-434,PREF|PREF,NEURAL|NEURAL
attention,http://sbmi.uth.tmc.edu/ontology/ochv#1577,133-141,PREF,ATTENTION
attention,http://sbmi.uth.tmc.edu/ontology/ochv#C0004268,133-141,PREF,ATTENTION
immediate,http://sbmi.uth.tmc.edu/ontology/ochv#C0205253,210-218,PREF,IMMEDIATE
sensory,http://sbmi.uth.tmc.edu/ontology/ochv#C0445254,220-226,PREF,SENSORY
pain perception,http://sbmi.uth.tmc.edu/ontology/ochv#C0814071,258-272|688-702,PREF|PREF,PAIN PERCEPTION|PAIN PERCEPTION
nervous system,http://sbmi.uth.tmc.edu/ontology/ochv#C0027763,317-330,PREF,NERVOUS SYSTEM
interprets,http://sbmi.uth.tmc.edu/ontology/ochv#C1285553,340-349,PREF,INTERPRETS
modulated,http://sbmi.uth.tmc.edu/ontology/ochv#C0443264,393-401,PREF,MODULATED
activity,http://sbmi.uth.tmc.edu/ontology/ochv#C0439167,436-443,PREF,ACTIVITY
activity,http://sbmi.uth.tmc.edu/ontology/ochv#C0441655,436-443,PREF,ACTIVITY
increased,http://sbmi.uth.tmc.edu/ontology/ochv#C0205217,445-453,PREF,INCREASED
physical,http://sbmi.uth.tmc.edu/ontology/ochv#20620,476-483,PREF,PHYSICAL
physical,http://sbmi.uth.tmc.edu/ontology/ochv#C0205485,476-483,PREF,PHYSICAL
associated,http://sbmi.uth.tmc.edu/ontology/ochv#C0332281,514-523,PREF,ASSOCIATED
anxiety,http://sbmi.uth.tmc.edu/ontology/ochv#1342,530-536,PREF,ANXIETY
anxiety,http://sbmi.uth.tmc.edu/ontology/ochv#C0003467,530-536,PREF,ANXIETY
hypervigilance,http://sbmi.uth.tmc.edu/ontology/ochv#23433,539-552,PREF,HYPERVIGILANCE
hypervigilance,http://sbmi.uth.tmc.edu/ontology/ochv#C0235013,539-552,PREF,HYPERVIGILANCE
somatization,http://sbmi.uth.tmc.edu/ontology/ochv#16694,555-566,PREF,SOMATIZATION
somatization,http://sbmi.uth.tmc.edu/ontology/ochv#C0149779,555-566,PREF,SOMATIZATION
hypochondriasis,http://sbmi.uth.tmc.edu/ontology/ochv#6470,572-586,PREF,HYPOCHONDRIASIS
awareness,http://sbmi.uth.tmc.edu/ontology/ochv#1627,615-623,PREF,AWARENESS
awareness,http://sbmi.uth.tmc.edu/ontology/ochv#C0004448,615-623,PREF,AWARENESS
adaptive,http://sbmi.uth.tmc.edu/ontology/ochv#C0231193,649-656,PREF,ADAPTIVE
adaptive,http://sbmi.uth.tmc.edu/ontology/ochv#22627,649-656,PREF,ADAPTIVE
including,http://sbmi.uth.tmc.edu/ontology/ochv#C0332257,704-712,PREF,INCLUDING
confidence,http://sbmi.uth.tmc.edu/ontology/ochv#C0237529,752-761|809-818,PREF|PREF,CONFIDENCE|CONFIDENCE
work,http://sbmi.uth.tmc.edu/ontology/ochv#C0043227,824-827,PREF,WORK
work,http://sbmi.uth.tmc.edu/ontology/ochv#13188,824-827,PREF,WORK
status,http://sbmi.uth.tmc.edu/ontology/ochv#C0449438,829-834,PREF,STATUS
functional,http://sbmi.uth.tmc.edu/ontology/ochv#C0205245,837-846,PREF,FUNCTIONAL
limitation,http://sbmi.uth.tmc.edu/ontology/ochv#C0449295,848-857,PREF,LIMITATION
