prefLabel,id,from_to,matchType,text
Anatomic,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25421,47-54,PREF,ANATOMIC
Lumbar Spine,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C69314,90-101|90-95,PREF|SYN,LUMBAR SPINE|LUMBAR
Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3303,103-106|834-837,PREF|PREF,PAIN|PAIN
Associated,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25281,131-140,PREF,ASSOCIATED
Pathologic,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25610,147-158|329-340|408-417,SYN|SYN|PREF,PATHOLOGICAL|PATHOLOGICAL|PATHOLOGIC
Intervertebral Disc,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49571,179-197,PREF,INTERVERTEBRAL DISC
Disc,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62260,194-197|660-663,PREF|PREF,DISC|DISC
Vertebral,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25715,233-241|254-262,PREF|PREF,VERTEBRAL|VERTEBRAL
And/Or,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48928,272-277,PREF,AND/OR
Paraspinal,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C129461,283-292,PREF,PARASPINAL
True,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68850,395-398,PREF,TRUE
Painful,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25271,400-406,PREF,PAINFUL
Include,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C74521,438-444,PREF,INCLUDE
Matrix,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45805,446-451,PREF,MATRIX
Matrix,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45802,446-451,PREF,MATRIX
Damage,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61555,453-458,PREF,DAMAGE
Neovascularization,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16900,461-478,PREF,NEOVASCULARIZATION
Inflammation,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3137,501-512,PREF,INFLAMMATION
Detectable,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C111567,544-553,PREF,DETECTABLE
Advanced,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25411,561-568,PREF,ADVANCED
Data,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25474,611-614,PREF,DATA
Peripheral,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25233,620-629,PREF,PERIPHERAL
Tissue,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12801,631-636,PREF,TISSUE
Dysfunction,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C53526,638-648,PREF,DYSFUNCTION
Little,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76350,679-684|726-731|775-780,PREF|PREF|PREF,LITTLE|LITTLE|LITTLE
Confidence,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43367,690-699|737-746|786-795,PREF|PREF|PREF,CONFIDENCE|CONFIDENCE|CONFIDENCE
Vertebra,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12933,703-710,PREF,VERTEBRA
Classification,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25161,818-831,PREF,CLASSIFICATION
Severity,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25676,839-846,PREF,SEVERITY
Disability,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C21007,852-861,PREF,DISABILITY
Questionnaire,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17048,866-878,PREF,QUESTIONNAIRE
Local,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C67263,880-884,PREF,LOCAL
Inflammatory,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25535,886-897,PREF,INFLAMMATORY
Loading,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48174,911-917,PREF,LOADING
Potential,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62230,949-957,PREF,POTENTIAL
