Year,PMID
1980,7204643
1980,7458622
1980,7441335
1980,7441334
1980,7288224
1980,7288222
1980,7233623
1980,6970162
1980,6452078
1980,6255377
1980,7417830
1980,7442992
1980,7441512
1980,7283595
1980,7452290
1980,7442978
1980,6159186
1980,7464785
1980,7420154
1980,7420153
1980,6252296
1980,6158707
1980,7191553
1980,7008328
1980,6448569
1980,6248997
1980,7455764
1980,7455763
1980,7222293
1980,6779381
1980,7459450
1980,7431861
1980,7410924
1980,7381536
1980,6776424
1980,6776423
1980,7380715
1980,7382734
1980,7385009
1980,7385002
1980,7384998
1980,6245191
1980,7393423
1980,7391630
1980,7388174
1980,7374113
1980,7373372
1980,6768496
1980,6246648
1980,6153554
1980,7381277
1980,7366573
1980,7359188
1980,7391622
1980,7384780
1980,7370506
1980,7355381
1980,7351559
1980,7351558
1980,6996283
1980,6766574
1980,6101307
1980,7433233
1980,7394907
1980,7387409
1980,7383318
1980,7381551
1980,7360307
1980,7350283
1980,7350282
1980,7027837
1980,7008465
1980,6995994
1980,6939309
1980,6157162
1980,6153812
1980,6107880
1980,6107873
1980,6107872
1980,6101285
1981,7343765
1981,7334258
1981,7316719
1981,6915678
1981,7310494
1981,7294409
1981,6977881
1981,6123957
1981,6792542
1981,6116193
1981,7276997
1981,6274252
1981,7302676
1981,7302554
1981,6266861
1981,6171743
1981,7268404
1981,6268246
1981,7310208
1981,7299410
1981,7252544
1981,7252543
1981,7303896
1981,7291469
1981,7279171
1981,7271031
1981,7260512
1981,7025250
1981,7280961
1981,7238718
1981,6165810
1981,7237138
1981,7241484
1981,7022308
1981,7206118
1981,7271386
1981,7267749
1981,7242896
1981,7283623
1981,7226615
1981,7011100
1981,7262004
1981,7206001
1981,6971519
1981,7455690
1981,7449897
1981,7345995
1981,7301837
1981,7234534
1981,7220052
1981,7211553
1981,6798636
1981,6798220
1981,6276721
1981,6114617
1982,6295547
1982,6295546
1982,7170062
1982,7154213
1982,7154714
1982,7151009
1982,7131067
1982,6811967
1982,6288438
1982,6126002
1982,7139775
1982,7109547
1982,7089581
1982,6283042
1982,7127850
1982,7121684
1982,7112391
1982,7103208
1982,7093970
1982,6896709
1982,6980214
1982,7201101
1982,7082157
1982,6281401
1982,6211367
1982,7069484
1982,6181489
1982,6176699
1982,7186886
1982,7115225
1982,7079940
1982,7075420
1982,7070637
1982,7060695
1982,6799619
1982,6799827
1982,7070619
1982,7061319
1982,7186520
1982,7183588
1982,7137484
1982,7113869
1982,7090743
1982,7054403
1982,6812392
1983,6662981
1983,6320404
1983,6674937
1983,6664497
1983,6643266
1983,6606236
1983,6420759
1983,6317425
1983,6679848
1983,6679846
1983,6631457
1983,6640291
1983,6640952
1983,6633870
1983,6619847
1983,6420895
1983,6196708
1983,6886762
1983,6657511
1983,6640733
1983,6636463
1983,6359471
1983,6616241
1983,6872803
1983,6864294
1983,6864293
1983,6864292
1983,6616346
1983,6616261
1983,6616260
1983,6604564
1983,6350805
1983,6884265
1983,6655318
1983,6624633
1983,6624357
1983,6616889
1983,6614870
1983,6311975
1983,6863059
1983,6852152
1983,6852150
1983,6619623
1983,6406256
1983,6850099
1983,6834123
1983,6406411
1983,6339688
1983,6871047
1983,6682195
1983,6338168
1983,6866207
1983,6858108
1983,6853755
1983,6842262
1983,6827328
1983,6299300
1983,6880963
1983,6880960
1983,6880491
1983,6850760
1983,6576713
1983,6576696
1983,6576695
1983,6576694
1983,6405676
1983,6402609
1983,6350537
1983,6307129
1983,6306678
1983,6304770
1983,6229152
1983,6149484
1983,6139763
1984,6520248
1984,6525501
1984,6525048
1984,6525008
1984,6511536
1984,6511535
1984,6502217
1984,6498478
1984,6097764
1984,6528294
1984,6511632
1984,6498504
1984,6436448
1984,6521958
1984,6505835
1984,6498313
1984,6435011
1984,6433052
1984,6747691
1984,6544776
1984,6540402
1984,6485214
1984,6237276
1984,6207271
1984,6092301
1984,6504733
1984,6479224
1984,6540379
1984,6539814
1984,6504261
1984,6501987
1984,6744055
1984,6726387
1984,6536709
1984,6536708
1984,6536707
1984,6536706
1984,6536705
1984,6483099
1984,6481354
1984,6381847
1984,6374068
1984,6152632
1984,6735877
1984,6204205
1984,6726372
1984,6462738
1984,6372956
1984,6370713
1984,6707740
1984,6701775
1984,6374035
1984,6699704
1984,6321421
1984,6692135
1984,6741741
1984,6713569
1984,6702265
1984,6594971
1984,6545682
1984,6534146
1984,6510209
1984,6496037
1984,6466137
1984,6462321
1984,6383610
1984,6373138
1984,6371833
1984,6336296
1984,6336248
1984,6322673
1984,6320234
1984,6151214
1984,6100389
1984,6097276
1984,6084865
1985,4075123
1985,4065313
1985,4052791
1985,2996710
1985,4084993
1985,4064390
1985,4053922
1985,3831165
1985,2999639
1985,2415868
1985,4086890
1985,4081878
1985,4069737
1985,4056823
1985,3863139
1985,4022377
1985,3933305
1985,3927187
1985,4047489
1985,4052887
1985,4012578
1985,3927795
1985,3926963
1985,4067371
1985,4010314
1985,3892363
1985,4005531
1985,4005525
1985,4005093
1985,3998842
1985,2410810
1985,4017791
1985,4016595
1985,4005514
1985,3990330
1985,3989546
1985,2985770
1985,2861626
1985,4000690
1985,4000399
1985,3990926
1985,3979515
1985,3979507
1985,3979506
1985,3979505
1985,3979504
1985,3975840
1985,3888350
1985,2860844
1985,3975624
1985,3991061
1985,4069060
1985,3982610
1985,3895020
1985,2990364
1985,3972699
1985,3917942
1985,2984632
1985,2860614
1985,4092240
1985,4092239
1985,4072794
1985,4025022
1985,4020899
1985,3964842
1985,3938344
1985,3913531
1985,3913366
1985,3884261
1985,3858886
1985,3837882
1985,3836014
1985,3836012
1985,3830405
1985,3830404
1985,3004747
1985,2995941
1985,2991158
1985,2940621
1985,2865764
1985,2420480
1985,2418983
1986,3808240
1986,3808239
1986,3827776
1986,3808748
1986,3785622
1986,3785621
1986,3772401
1986,3772400
1986,3763906
1986,3762702
1986,3785589
1986,3100161
1986,3096488
1986,3785669
1986,3774243
1986,3097992
1986,3017745
1986,3745509
1986,3489013
1986,3775345
1986,3768192
1986,3530860
1986,3089833
1986,3090448
1986,3772215
1986,3748343
1986,3732453
1986,3715707
1986,3715694
1986,3525758
1986,3519891
1986,3744961
1986,3816435
1986,3746053
1986,3718381
1986,3709741
1986,3460562
1986,3719321
1986,3719472
1986,3013077
1986,3012406
1986,3010180
1986,2870700
1986,2425054
1986,3716004
1986,3703213
1986,3703212
1986,3084558
1986,3697704
1986,3516303
1986,3511558
1986,3007059
1986,3947986
1986,3950092
1986,3944641
1986,2419804
1986,3954600
1986,3941970
1986,3941325
1986,3822031
1986,3802222
1986,3802221
1986,3788235
1986,3555850
1986,3542248
1986,3542247
1986,3533279
1986,3108686
1986,3081828
1986,3026830
1986,2884046
1986,2420237
1987,3431898
1987,3324081
1987,3318742
1987,2831307
1987,2827851
1987,3690308
1987,3660213
1987,3655837
1987,3443786
1987,3127616
1987,3127506
1987,3116691
1987,3661757
1987,3683171
1987,3682103
1987,3674565
1987,3498231
1987,3437178
1987,3428211
1987,3124256
1987,3663212
1987,3670591
1987,3499582
1987,3321803
1987,3121485
1987,3627821
1987,3620991
1987,3497697
1987,3447074
1987,3328837
1987,3328835
1987,3607501
1987,3608398
1987,3598657
1987,3597535
1987,3429029
1987,3332210
1987,3108455
1987,2961105
1987,3617406
1987,3629394
1987,3614567
1987,3614565
1987,3601430
1987,3600032
1987,3497357
1987,3107749
1987,3033150
1987,2885800
1987,3594239
1987,3601035
1987,3601017
1987,3449730
1987,3039400
1987,2439939
1987,3829882
1987,3587543
1987,3556519
1987,3509135
1987,3115692
1987,3104553
1987,3105816
1987,3819838
1987,3817079
1987,3817078
1987,3574614
1987,3545886
1987,3494585
1987,3295658
1987,3108865
1987,2434632
1987,2433780
1987,3815167
1987,3803530
1987,3106881
1987,3819017
1987,3808254
1987,3808253
1987,3808252
1987,3687500
1987,3607898
1987,3604563
1987,3595346
1987,3595345
1987,3595337
1987,3595336
1987,3595334
1987,3588944
1987,3480080
1987,3474958
1987,3446374
1987,3446373
1987,3442815
1987,3442814
1987,3437471
1987,3327345
1987,3327343
1987,3128405
1987,3127060
1987,3101470
1988,3264248
1988,3223233
1988,3223232
1988,3212570
1988,3208060
1988,3067196
1988,2907111
