prefLabel,id,from_to,matchType,text
Consensus,http://purl.bioontology.org/ontology/MESH/D032921,18-26|1755-1763,PREF|PREF,CONSENSUS|CONSENSUS
Role,http://purl.bioontology.org/ontology/MESH/D012380,61-64|1856-1859|11067-11070|11821-11824,PREF|PREF|PREF|PREF,ROLE|ROLE|ROLE|ROLE
Aged,http://purl.bioontology.org/ontology/MESH/D000368,176-179|7289-7292|9819-9822,PREF|PREF|PREF,AGED|AGED|AGED
Men,http://purl.bioontology.org/ontology/MESH/D008571,181-183|503-505|6861-6863|7377-7379|7439-7441|7728-7730|7905-7907|8520-8522|8606-8608|9215-9217|9405-9407|9824-9826|10474-10476|11409-11411|11526-11528|11562-11564|12191-12193|16267-16269,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,MEN|MEN|MEN|MEN|MEN|MEN|MEN|MEN|MEN|MEN|MEN|MEN|MEN|MEN|MEN|MEN|MEN|MEN
Women,http://purl.bioontology.org/ontology/MESH/D014930,189-193|844-848|6869-6873|7283-7287|7912-7916|8825-8829|9223-9227|9438-9442|9832-9836|11440-11444|11570-11574|12170-12174|16179-16183,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,WOMEN|WOMEN|WOMEN|WOMEN|WOMEN|WOMEN|WOMEN|WOMEN|WOMEN|WOMEN|WOMEN|WOMEN|WOMEN
Time,http://purl.bioontology.org/ontology/MESH/D013995,357-360|2973-2976|3003-3006|3148-3151|9934-9937|14140-14143|14355-14358,PREF|PREF|PREF|PREF|PREF|PREF|PREF,TIME|TIME|TIME|TIME|TIME|TIME|TIME
Risk,http://purl.bioontology.org/ontology/MESH/D012306,422-426|827-831|965-969|1416-1419|1712-1716|2596-2599|5171-5174|7423-7426|8233-8236|8484-8488|8504-8507|8595-8598|8809-8812|9244-9247|9767-9770|10211-10215|10355-10358|10840-10843|12688-12691|14374-14377|15627-15630|15819-15822|15989-15993|16118-16121,SYN|SYN|SYN|PREF|SYN|PREF|PREF|PREF|PREF|SYN|PREF|PREF|PREF|PREF|PREF|SYN|PREF|PREF|PREF|PREF|PREF|PREF|SYN|PREF,RISKS|RISKS|RISKS|RISK|RISKS|RISK|RISK|RISK|RISK|RISKS|RISK|RISK|RISK|RISK|RISK|RISKS|RISK|RISK|RISK|RISK|RISK|RISK|RISKS|RISK
Back Pain,http://purl.bioontology.org/ontology/MESH/D001416,450-458|1003-1011|6554-6562|7207-7215|8145-8153|10286-10294|10601-10609|13550-13558|13798-13806|15854-15862|16153-16161,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN
Pain,http://purl.bioontology.org/ontology/MESH/D010146,455-458|1008-1011|6559-6562|7212-7215|8150-8153|10291-10294|10606-10609|13555-13558|13803-13806|15859-15862|16158-16161,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
Prevalence,http://purl.bioontology.org/ontology/MESH/D015995,477-486|2720-2729|7066-7075|9892-9901|11278-11287,PREF|PREF|PREF|PREF|PREF,PREVALENCE|PREVALENCE|PREVALENCE|PREVALENCE|PREVALENCE
Social Support,http://purl.bioontology.org/ontology/MESH/D012944,574-587|7579-7592|10494-10507|10650-10663|10803-10816|11391-11404|12470-12483,PREF|PREF|PREF|PREF|PREF|PREF|PREF,SOCIAL SUPPORT|SOCIAL SUPPORT|SOCIAL SUPPORT|SOCIAL SUPPORT|SOCIAL SUPPORT|SOCIAL SUPPORT|SOCIAL SUPPORT
Work,http://purl.bioontology.org/ontology/MESH/D014937,592-595|690-693|760-763|914-917|1226-1229|1555-1558|1586-1589|1804-1807|1828-1831|1888-1891|2005-2008|2068-2071|3718-3721|4317-4320|4362-4365|5521-5524|5908-5911|6798-6801|7597-7600|7650-7653|7874-7877|8682-8685|8959-8962|9578-9581|10392-10395|10512-10515|10724-10727|11328-11331|11476-11479|11554-11557|11717-11720|11777-11780|12087-12090|14228-14231|14273-14276|15246-15249|15646-15649|15918-15921|16199-16202,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,WORK|WORK|WORK|WORK|WORK|WORK|WORK|WORK|WORK|WORK|WORK|WORK|WORK|WORK|WORK|WORK|WORK|WORK|WORK|WORK|WORK|WORK|WORK|WORK|WORK|WORK|WORK|WORK|WORK|WORK|WORK|WORK|WORK|WORK|WORK|WORK|WORK|WORK|WORK
