prefLabel,id,from_to,matchType,text
Consensus,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C64197,18-26|1755-1763,PREF|PREF,CONSENSUS|CONSENSUS
Role,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48835,61-64|1856-1859|11067-11070|11821-11824,PREF|PREF|PREF|PREF,ROLE|ROLE|ROLE|ROLE
Development,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C18732,73-83|979-989|1456-1466|11833-11843,PREF|PREF|PREF|PREF,DEVELOPMENT|DEVELOPMENT|DEVELOPMENT|DEVELOPMENT
Development,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C84377,73-83|979-989|1456-1466|11833-11843,PREF|PREF|PREF|PREF,DEVELOPMENT|DEVELOPMENT|DEVELOPMENT|DEVELOPMENT
Consistent,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85901,118-127|10557-10566,PREF|PREF,CONSISTENT|CONSISTENT
Middle,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25569,169-174|9812-9817,PREF|PREF,MIDDLE|MIDDLE
Age,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25150,176-179|6492-6494|6928-6930|7289-7292|9819-9822|15029-15031,SYN|PREF|PREF|SYN|SYN|PREF,AGED|AGE|AGE|AGED|AGED|AGE
Study,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63536,214-218|880-884|2392-2396|2475-2479|2626-2630|2760-2764|2900-2904|3425-3429|4066-4070|7973-7977|9719-9723|10114-10118|10158-10162|11267-11271|12058-12062|12549-12553|12761-12765|13096-13100|13924-13928|14079-14083|14587-14591|14778-14782|14805-14809|15216-15220|15906-15910,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,STUDY|STUDY|STUDY|STUDY|STUDY|STUDY|STUDY|STUDY|STUDY|STUDY|STUDY|STUDY|STUDY|STUDY|STUDY|STUDY|STUDY|STUDY|STUDY|STUDY|STUDY|STUDY|STUDY|STUDY|STUDY
Baseline,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25213,221-228|463-470|535-542|2929-2936|3892-3899|4401-4408|4905-4912|6149-6156|6231-6238|6949-6956|7009-7016|7220-7227|7482-7489|7549-7556|8028-8035|8158-8165|8554-8561|9161-9168|9863-9870|10299-10306|10481-10488|13376-13383|13484-13491|13563-13570|13688-13695|13811-13818|14030-14037|15468-15475|15867-15874|16166-16173,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,BASELINE|BASELINE|BASELINE|BASELINE|BASELINE|BASELINE|BASELINE|BASELINE|BASELINE|BASELINE|BASELINE|BASELINE|BASELINE|BASELINE|BASELINE|BASELINE|BASELINE|BASELINE|BASELINE|BASELINE|BASELINE|BASELINE|BASELINE|BASELINE|BASELINE|BASELINE|BASELINE|BASELINE|BASELINE|BASELINE
Measured,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C44473,256-263|3906-3913|3968-3975|4137-4144,PREF|PREF|PREF|PREF,MEASURED|MEASURED|MEASURED|MEASURED
Self-Administered,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25670,273-289|3923-3939,PREF|PREF,SELF-ADMINISTERED|SELF-ADMINISTERED
Self,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25200,273-276|3923-3926,PREF|PREF,SELF|SELF
Administered,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25382,278-289|3928-3939,PREF|PREF,ADMINISTERED|ADMINISTERED
Questionnaire,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17048,291-304|3941-3954|4184-4196|4224-4236|4410-4423|4662-4674|8056-8068|13037-13049|13338-13350|13385-13397,SYN|SYN|PREF|PREF|SYN|PREF|PREF|PREF|PREF|PREF,QUESTIONNAIRES|QUESTIONNAIRES|QUESTIONNAIRE|QUESTIONNAIRE|QUESTIONNAIRES|QUESTIONNAIRE|QUESTIONNAIRE|QUESTIONNAIRE|QUESTIONNAIRE|QUESTIONNAIRE
Relationship,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25648,310-316|524-530|931-937|1231-1237|1893-1899|2276-2286|2416-2422|2704-2710|3802-3808|7673-7683|8636-8646|9877-9883|10067-10078|11174-11184|11304-11310|11695-11701|11962-11968|15663-15669|15935-15941,SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|PREF|SYN|SYN|SYN|SYN|SYN|SYN,RELATED|RELATED|RELATED|RELATED|RELATED|ASSOCIATION|RELATED|RELATED|RELATED|ASSOCIATION|ASSOCIATION|RELATED|RELATIONSHIP|ASSOCIATION|RELATED|RELATED|RELATED|RELATED|RELATED
Prevalent,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C159688,321-329|1216-1224,PREF|PREF,PREVALENT|PREVALENT
Time,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25207,357-360|2973-2976|3003-3006|3148-3151|9934-9937|14140-14143|14355-14358,PREF|PREF|PREF|PREF|PREF|PREF|PREF,TIME|TIME|TIME|TIME|TIME|TIME|TIME
Interval,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25543,362-369|3008-3015|3153-3160|9939-9946|14145-14152,PREF|PREF|PREF|PREF|PREF,INTERVAL|INTERVAL|INTERVAL|INTERVAL|INTERVAL
Adjustment,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49157,383-392|8426-8435|9278-9287|12667-12676,PREF|PREF|PREF|PREF,ADJUSTMENT|ADJUSTMENT|ADJUSTMENT|ADJUSTMENT
Physical,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25618,413-420|1577-1584|1795-1802|2142-2149|2587-2594|4692-4699|4735-4742|4779-4786|5696-5703|5792-5799|5836-5843|6121-6128|6284-6291|6645-6652|6663-6670|6682-6689|6726-6733|6981-6988|7261-7268|8224-8231|8400-8407|8475-8482|9170-9177|9512-9519|9569-9576|10346-10353|12713-12720|12883-12890|15810-15817|16109-16116,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PHYSICAL|PHYSICAL|PHYSICAL|PHYSICAL|PHYSICAL|PHYSICAL|PHYSICAL|PHYSICAL|PHYSICAL|PHYSICAL|PHYSICAL|PHYSICAL|PHYSICAL|PHYSICAL|PHYSICAL|PHYSICAL|PHYSICAL|PHYSICAL|PHYSICAL|PHYSICAL|PHYSICAL|PHYSICAL|PHYSICAL|PHYSICAL|PHYSICAL|PHYSICAL|PHYSICAL|PHYSICAL|PHYSICAL|PHYSICAL
Back Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C41830,450-458|1003-1011|6554-6562|7207-7215|8145-8153|10286-10294|10601-10609|13550-13558|13798-13806|15854-15862|16153-16161,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN
Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3303,455-458|1008-1011|6559-6562|7212-7215|8150-8153|10291-10294|10606-10609|13555-13558|13803-13806|15859-15862|16158-16161,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
Prevalence,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17010,477-486|2720-2729|7066-7075|9892-9901|11278-11287,PREF|PREF|PREF|PREF|PREF,PREVALENCE|PREVALENCE|PREVALENCE|PREVALENCE|PREVALENCE
Rate,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25636,488-491,PREF,RATE
Low,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C54722,544-546|570-572|639-641|999-1001|1284-1286|5295-5297|5344-5346|7491-7493|7575-7577|7603-7605|7704-7706|7806-7808|8563-8565|8742-8744|10490-10492|10799-10801|11075-11077|11095-11097|11361-11363|11387-11389|11493-11495,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW
Decision,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C53285,548-555|5299-5306|7495-7502|7810-7817|8567-8574|11365-11372,PREF|PREF|PREF|PREF|PREF|PREF,DECISION|DECISION|DECISION|DECISION|DECISION|DECISION
Latitude,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68642,557-564|5308-5315|7504-7511|7819-7826|8576-8583|11374-11381,PREF|PREF|PREF|PREF|PREF|PREF,LATITUDE|LATITUDE|LATITUDE|LATITUDE|LATITUDE|LATITUDE
Social,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62650,574-579|4442-4447|7579-7584|10494-10499|10650-10655|10803-10808|11391-11396|12470-12475,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,SOCIAL|SOCIAL|SOCIAL|SOCIAL|SOCIAL|SOCIAL|SOCIAL|SOCIAL
Support,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37902,581-587|3702-3708|7586-7592|10501-10507|10657-10663|10810-10816|11151-11157|11398-11404|12477-12483|15575-15581,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,SUPPORT|SUPPORT|SUPPORT|SUPPORT|SUPPORT|SUPPORT|SUPPORT|SUPPORT|SUPPORT|SUPPORT
Work,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C74299,592-595|690-693|760-763|914-917|1226-1229|1555-1558|1586-1589|1804-1807|1828-1831|1888-1891|2005-2008|2068-2071|3718-3721|4317-4320|4362-4365|5521-5524|5908-5911|6798-6801|7597-7600|7650-7653|7874-7877|8682-8685|8959-8962|9578-9581|10392-10395|10512-10515|10724-10727|11328-11331|11476-11479|11554-11557|11717-11720|11777-11780|12087-12090|14228-14231|14273-14276|15246-15249|15646-15649|15918-15921|16199-16202,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,WORK|WORK|WORK|WORK|WORK|WORK|WORK|WORK|WORK|WORK|WORK|WORK|WORK|WORK|WORK|WORK|WORK|WORK|WORK|WORK|WORK|WORK|WORK|WORK|WORK|WORK|WORK|WORK|WORK|WORK|WORK|WORK|WORK|WORK|WORK|WORK|WORK|WORK|WORK
