prefLabel,id,from_to,matchType,text
low,http://sbmi.uth.tmc.edu/ontology/ochv#C0205251,1-3|91-93|247-249|654-656|8335-8337|11705-11707|12259-12261|14586-14588|14864-14866|17256-17258|17325-17327|17477-17479|17590-17592|17879-17881|17945-17947|18002-18004,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW
back pain,http://sbmi.uth.tmc.edu/ontology/ochv#C0004604,5-13|95-103|251-259|658-666|3192-3200|17260-17268|17329-17337|17481-17489|17594-17602|17883-17891|17949-17957,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN
back pain,http://sbmi.uth.tmc.edu/ontology/ochv#1662,5-13|95-103|251-259|658-666|3192-3200|17260-17268|17329-17337|17481-17489|17594-17602|17883-17891|17949-17957,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN
pain,http://sbmi.uth.tmc.edu/ontology/ochv#9185,10-13|100-103|256-259|335-338|373-376|663-666|905-908|2317-2320|2577-2580|3197-3200|3310-3313|3473-3476|4767-4770|5425-5428|5669-5672|5755-5758|7311-7314|9264-9267|9281-9284|9356-9359|9443-9446|9790-9793|9865-9868|10505-10508|11075-11078|11152-11155|11209-11212|11402-11405|11475-11478|11892-11895|12759-12762|12960-12963|13079-13082|13152-13155|13482-13485|13498-13501|13704-13707|14005-14008|14125-14128|14406-14409|14669-14672|16278-16281|16798-16801|17265-17268|17334-17337|17486-17489|17599-17602|17888-17891|17954-17957,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
pain,http://sbmi.uth.tmc.edu/ontology/ochv#C0030193,10-13|100-103|256-259|335-338|373-376|663-666|905-908|2317-2320|2577-2580|3197-3200|3310-3313|3473-3476|4767-4770|5425-5428|5669-5672|5755-5758|7311-7314|9264-9267|9281-9284|9356-9359|9443-9446|9790-9793|9865-9868|10505-10508|11075-11078|11152-11155|11209-11212|11402-11405|11475-11478|11892-11895|12759-12762|12960-12963|13079-13082|13152-13155|13482-13485|13498-13501|13704-13707|14005-14008|14125-14128|14406-14409|14669-14672|16278-16281|16798-16801|17265-17268|17334-17337|17486-17489|17599-17602|17888-17891|17954-17957,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
patients,http://sbmi.uth.tmc.edu/ontology/ochv#9372,15-22|105-112|2975-2982|3919-3926|14522-14529|14921-14928|17931-17938,PREF|PREF|PREF|PREF|PREF|PREF|PREF,PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS
learning,http://sbmi.uth.tmc.edu/ontology/ochv#7260,24-28|114-118|363-370|1839-1846|2023-2029|2084-2091|3723-3730|6071-6078|6960-6967|9628-9635|10868-10875|13963-13970,SYN|SYN|PREF|PREF|SYN|PREF|PREF|PREF|PREF|PREF|PREF|PREF,LEARN|LEARN|LEARNING|LEARNING|LEARNED|LEARNING|LEARNING|LEARNING|LEARNING|LEARNING|LEARNING|LEARNING
adapt,http://sbmi.uth.tmc.edu/ontology/ochv#C0050728,33-37|123-127|6795-6799,PREF|PREF|PREF,ADAPT|ADAPT|ADAPT
adapt,http://sbmi.uth.tmc.edu/ontology/ochv#13431,33-37|123-127|6307-6313|6638-6644|6795-6799|12965-12971,PREF|PREF|SYN|SYN|PREF|SYN,ADAPT|ADAPT|ADAPTED|ADAPTED|ADAPT|ADAPTED
behavior,http://sbmi.uth.tmc.edu/ontology/ochv#C0004927,45-52|135-142|218-225|434-441|690-697|1988-1995|3296-3303|3750-3757|3907-3914|4286-4293|4837-4844|4861-4868|5287-5294|10823-10830|13831-13838|13913-13920|14187-14194|14332-14339|16206-16213,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR
behavior,http://sbmi.uth.tmc.edu/ontology/ochv#1751,45-52|135-142|218-225|434-441|690-697|1988-1995|3296-3303|3750-3757|3907-3914|4286-4293|4837-4844|4861-4868|5287-5294|10823-10830|13831-13838|13913-13920|14187-14194|14332-14339|16206-16213,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR
secondary,http://sbmi.uth.tmc.edu/ontology/ochv#C1290850,67-75|157-165|3116-3124|4146-4154|4882-4890|16811-16819,PREF|PREF|PREF|PREF|PREF|PREF,SECONDARY|SECONDARY|SECONDARY|SECONDARY|SECONDARY|SECONDARY
changing,http://sbmi.uth.tmc.edu/ontology/ochv#32151,201-207|677-682|918-924|996-1002|1077-1083|1363-1369|3279-3285|3370-3376|4035-4041|4826-4832|5134-5140|5442-5448|5707-5713|8381-8388|9706-9711|10806-10812|11093-11099|11227-11232|11508-11514|13896-13902|15499-15505|15606-15612|15909-15915|17203-17209|17667-17673,SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|PREF|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN,CHANGES|CHANGE|CHANGES|CHANGES|CHANGES|CHANGED|CHANGES|CHANGES|CHANGES|CHANGES|CHANGES|CHANGES|CHANGES|CHANGING|CHANGE|CHANGES|CHANGES|CHANGE|CHANGES|CHANGES|CHANGES|CHANGES|CHANGES|CHANGES|CHANGES
adaptation,http://sbmi.uth.tmc.edu/ontology/ochv#32127,265-275|393-403|5266-5276|6103-6112|10457-10466|10580-10589|13122-13131|15361-15371,SYN|SYN|SYN|PREF|PREF|PREF|PREF|SYN,ADAPTATIONS|ADAPTATIONS|ADAPTATIONS|ADAPTATION|ADAPTATION|ADAPTATION|ADAPTATION|ADAPTATIONS
perceived risk,http://sbmi.uth.tmc.edu/ontology/ochv#49238,309-322,PREF,PERCEIVED RISK
risk,http://sbmi.uth.tmc.edu/ontology/ochv#10909,319-325|319-322|844-850|844-847|974-977|6515-6521|6515-6518|6872-6878|6872-6875|7240-7246|7240-7243,SYN|PREF|SYN|PREF|PREF|SYN|PREF|SYN|PREF|SYN|PREF,RISK OF|RISK|RISK OF|RISK|RISK|RISK OF|RISK|RISK OF|RISK|RISK OF|RISK
