prefLabel,id,from_to,matchType,text
Result,http://psink.de/scio/Result,405-410,PREF,RESULT
Change,http://psink.de/scio/Change,677-682|9706-9711|11227-11232,PREF|PREF|PREF,CHANGE|CHANGE|CHANGE
Treatment,http://psink.de/scio/Treatment,1199-1207,PREF,TREATMENT
Increase,http://psink.de/scio/Increase,1741-1748|2594-2601|4598-4605|4812-4819|5146-5153|6823-6830|6859-6866,PREF|PREF|PREF|PREF|PREF|PREF|PREF,INCREASE|INCREASE|INCREASE|INCREASE|INCREASE|INCREASE|INCREASE
Decrease,http://psink.de/scio/Decrease,1756-1763,PREF,DECREASE
Hypothesis,http://psink.de/scio/Hypothesis,3644-3653|3807-3816|9569-9578|13539-13548|13880-13889|16412-16421,PREF|PREF|PREF|PREF|PREF|PREF,HYPOTHESIS|HYPOTHESIS|HYPOTHESIS|HYPOTHESIS|HYPOTHESIS|HYPOTHESIS
Left,http://psink.de/scio/Left,4344-4347,PREF,LEFT
Force,http://psink.de/scio/Force,7639-7643|12833-12837|12988-12992,PREF|PREF|PREF,FORCE|FORCE|FORCE
Function,http://psink.de/scio/Function,8559-8566|8698-8705|9064-9071|9343-9350|9523-9530|10278-10285|12680-12687,PREF|PREF|PREF|PREF|PREF|PREF|PREF,FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION
Right,http://psink.de/scio/Right,10193-10197,PREF,RIGHT
Compression,http://psink.de/scio/Compression,14968-14978,PREF,COMPRESSION
Tissue,http://psink.de/scio/Tissue,15258-15263|15301-15306,PREF|PREF,TISSUE|TISSUE
Cell,http://psink.de/scio/Cell,17713-17716,PREF,CELL
Duration,http://psink.de/scio/Duration,17758-17765,PREF,DURATION
