prefLabel,id,from_to,matchType,text
Spine,http://purl.bioontology.org/ontology/MESH/D013131,26-30|318-322|439-443|522-526|669-673|1399-1403|1578-1582|2001-2005|2243-2247|2410-2414|2619-2623|3010-3014|4820-4824|5377-5381|5408-5412|8249-8253|8971-8975|9839-9843|10020-10024|10236-10240|10379-10383|10592-10596|11214-11218|11713-11717|12356-12360|12598-12602|12819-12823|14001-14005|14914-14918|15097-15101|15752-15756,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE
Lower Extremity,http://purl.bioontology.org/ontology/MESH/D035002,36-52|328-342|701-715|2253-2267|2629-2643|2983-2997|3053-3069|3170-3184|5541-5555|8446-8460|12157-12171|12234-12248|12366-12380|12608-12624|12783-12797|14011-14025|15150-15164,SYN|PREF|PREF|PREF|PREF|PREF|SYN|PREF|PREF|PREF|PREF|PREF|PREF|SYN|PREF|PREF|PREF,LOWER EXTREMITIES|LOWER EXTREMITY|LOWER EXTREMITY|LOWER EXTREMITY|LOWER EXTREMITY|LOWER EXTREMITY|LOWER EXTREMITIES|LOWER EXTREMITY|LOWER EXTREMITY|LOWER EXTREMITY|LOWER EXTREMITY|LOWER EXTREMITY|LOWER EXTREMITY|LOWER EXTREMITIES|LOWER EXTREMITY|LOWER EXTREMITY|LOWER EXTREMITY
Extremities,http://purl.bioontology.org/ontology/MESH/D005121,42-52|3059-3069|12614-12624,PREF|PREF|PREF,EXTREMITIES|EXTREMITIES|EXTREMITIES
Motion Capture,http://purl.bioontology.org/ontology/MESH/D000092682,77-90|6390-6403|6820-6833|14798-14811,PREF|PREF|PREF|PREF,MOTION CAPTURE|MOTION CAPTURE|MOTION CAPTURE|MOTION CAPTURE
Motion,http://purl.bioontology.org/ontology/MESH/D009038,77-82|6390-6395|6820-6825|6916-6921|7153-7158|7878-7883|8288-8293|11220-11225|11380-11385|12571-12576|14319-14324|14406-14411|14798-14803|15166-15171,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,MOTION|MOTION|MOTION|MOTION|MOTION|MOTION|MOTION|MOTION|MOTION|MOTION|MOTION|MOTION|MOTION|MOTION
Movement,http://purl.bioontology.org/ontology/MESH/D009068,189-196|569-576|687-694|717-724|1029-1036|1071-1079|1199-1206|1784-1791|2509-2516|3635-3642|6541-6548|6638-6645|6748-6755|6962-6969|7040-7047|7118-7125|7294-7301|7334-7341|7629-7636|7696-7703|7722-7729|7944-7951|8108-8115|8296-8303|8512-8519|9155-9162|9467-9474|9811-9818|10026-10033|10097-10104|10242-10249|10385-10392|11257-11264|11559-11566|11719-11726|11983-11990|12054-12061|12382-12389|12538-12545|12645-12652|12825-12832|12959-12966|13052-13059|13162-13169|13637-13644|14620-14627|14737-14744|15136-15143|15189-15196|15255-15262,PREF|PREF|PREF|PREF|PREF|SYN|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENTS|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT
Group,http://purl.bioontology.org/ontology/STY/T096,291-295|471-475|4265-4269|8192-8196|8413-8417|8625-8629|8663-8667|9432-9436|10336-10340|10791-10795|11300-11304|14701-14705|14858-14862,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,GROUP|GROUP|GROUP|GROUP|GROUP|GROUP|GROUP|GROUP|GROUP|GROUP|GROUP|GROUP|GROUP
secondary,http://purl.bioontology.org/ontology/MESH/Q000556,358-366,PREF,SECONDARY
analysis,http://purl.bioontology.org/ontology/MESH/Q000032,368-375|2090-2097|3644-3651|8585-8592|8702-8709,PREF|PREF|PREF|PREF|PREF,ANALYSIS|ANALYSIS|ANALYSIS|ANALYSIS|ANALYSIS
Low Back Pain,http://purl.bioontology.org/ontology/MESH/D017116,727-739|9180-9192|13491-13503|15856-15868,PREF|PREF|PREF|PREF,LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN
Back Pain,http://purl.bioontology.org/ontology/MESH/D001416,731-739|9184-9192|13495-13503|15860-15868,PREF|PREF|PREF|PREF,BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN
Pain,http://purl.bioontology.org/ontology/MESH/D010146,736-739|4978-4981|5005-5008|9189-9192|13292-13295|13500-13503|13877-13880|13949-13952|13973-13976|15865-15868,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
Population,http://purl.bioontology.org/ontology/MESH/D011153,824-833|2445-2454|10897-10906|13751-13760,PREF|PREF|PREF|PREF,POPULATION|POPULATION|POPULATION|POPULATION
Time,http://purl.bioontology.org/ontology/MESH/D013995,857-860|6971-6974|7731-7734|8117-8120|8804-8807|9164-9167|12443-12446,PREF|PREF|PREF|PREF|PREF|PREF|PREF,TIME|TIME|TIME|TIME|TIME|TIME|TIME
Diagnosis,http://purl.bioontology.org/ontology/MESH/D003933,1157-1165,PREF,DIAGNOSIS
diagnosis,http://purl.bioontology.org/ontology/MESH/Q000175,1157-1165|10659-10666|11416-11423|11481-11488|14491-14498,PREF|SYN|SYN|SYN|SYN,DIAGNOSIS|FINDINGS|FINDINGS|FINDINGS|FINDINGS
therapy,http://purl.bioontology.org/ontology/MESH/Q000628,1171-1179|1332-1340|3851-3859|4092-4098|4100-4108|4147-4155|10960-10966|10968-10976|12723-12729|13799-13805|15399-15405,SYN|SYN|SYN|PREF|SYN|SYN|PREF|SYN|PREF|PREF|PREF,TREATMENT|TREATMENT|TREATMENT|THERAPY|TREATMENT|TREATMENT|THERAPY|TREATMENT|THERAPY|THERAPY|THERAPY
Control Groups,http://purl.bioontology.org/ontology/MESH/D035061,1691-1704|8043-8056,PREF|PREF,CONTROL GROUPS|CONTROL GROUPS
classification,http://purl.bioontology.org/ontology/MESH/Q000145,1829-1842|6574-6587,PREF|PREF,CLASSIFICATION|CLASSIFICATION
Classification,http://purl.bioontology.org/ontology/MESH/D002965,1829-1842|6574-6587,PREF|PREF,CLASSIFICATION|CLASSIFICATION
Classification,http://purl.bioontology.org/ontology/STY/T185,1829-1842|6574-6587,PREF|PREF,CLASSIFICATION|CLASSIFICATION
Hip,http://purl.bioontology.org/ontology/MESH/D006615,2011-2013|5745-5747|8432-8434|11859-11861,PREF|PREF|PREF|PREF,HIP|HIP|HIP|HIP
Research,http://purl.bioontology.org/ontology/MESH/D012106,2056-2063|2769-2776|3420-3427|10144-10151|14101-14108|15407-15414|15550-15557,PREF|PREF|PREF|PREF|PREF|PREF|PREF,RESEARCH|RESEARCH|RESEARCH|RESEARCH|RESEARCH|RESEARCH|RESEARCH
Lifting,http://purl.bioontology.org/ontology/MESH/D017770,2163-2169,PREF,LIFTING
Knowledge,http://purl.bioontology.org/ontology/MESH/D019359,2193-2201,PREF,KNOWLEDGE
Rotation,http://purl.bioontology.org/ontology/MESH/D012399,2884-2891|6664-6671|6689-6696|6712-6719|7600-7607|8903-8910|8913-8920|8938-8945|9515-9522|9649-9656|9845-9852|10598-10605,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,ROTATION|ROTATION|ROTATION|ROTATION|ROTATION|ROTATION|ROTATION|ROTATION|ROTATION|ROTATION|ROTATION|ROTATION
Human,http://purl.bioontology.org/ontology/STY/T016,3405-3409,PREF,HUMAN
Informed Consent,http://purl.bioontology.org/ontology/MESH/D007258,3505-3520,PREF,INFORMED CONSENT
Physicians,http://purl.bioontology.org/ontology/MESH/D010820,3965-3974,PREF,PHYSICIANS
History,http://purl.bioontology.org/ontology/MESH/D006664,4208-4214|4372-4378|10067-10073,PREF|PREF|PREF,HISTORY|HISTORY|HISTORY
history,http://purl.bioontology.org/ontology/MESH/Q000266,4208-4214|4372-4378|10067-10073,PREF|PREF|PREF,HISTORY|HISTORY|HISTORY
Pregnancy,http://purl.bioontology.org/ontology/MESH/D011247,4454-4462,PREF,PREGNANCY
Form,http://purl.bioontology.org/ontology/MESH/D020478,4582-4585,PREF,FORM
Index,http://purl.bioontology.org/ontology/MESH/D020481,4617-4621|7096-7100,PREF|PREF,INDEX|INDEX
Fear,http://purl.bioontology.org/ontology/MESH/D005239,4630-4633,PREF,FEAR
Pelvis,http://purl.bioontology.org/ontology/MESH/D010388,5304-5309|5425-5430,PREF|PREF,PELVIS|PELVIS
Thigh,http://purl.bioontology.org/ontology/MESH/D013848,5496-5500,PREF,THIGH
Leg,http://purl.bioontology.org/ontology/MESH/D007866,5512-5514,PREF,LEG
Calibration,http://purl.bioontology.org/ontology/MESH/D002138,5567-5577,PREF,CALIBRATION
Joints,http://purl.bioontology.org/ontology/MESH/D007596,5658-5662|5749-5753|5816-5820|12173-12178,SYN|SYN|SYN|PREF,JOINT|JOINT|JOINT|JOINTS
Hip Joint,http://purl.bioontology.org/ontology/MESH/D006621,5745-5753,PREF,HIP JOINT
Knee Joint,http://purl.bioontology.org/ontology/MESH/D007719,5811-5820,PREF,KNEE JOINT
Knee,http://purl.bioontology.org/ontology/MESH/D007717,5811-5814|8437-8440|11867-11870|11999-12002|12049-12052,PREF|PREF|PREF|PREF|PREF,KNEE|KNEE|KNEE|KNEE|KNEE
Hand,http://purl.bioontology.org/ontology/MESH/D006225,6103-6106|6150-6153|7365-7368,PREF|PREF|PREF,HAND|HAND|HAND
Nexus,http://purl.bioontology.org/ontology/MESH/C433206,6863-6867,PREF,NEXUS
Activity,http://purl.bioontology.org/ontology/STY/T052,11642-11649,PREF,ACTIVITY
Literature,http://purl.bioontology.org/ontology/MESH/D008091,11811-11820,PREF,LITERATURE
Risk,http://purl.bioontology.org/ontology/MESH/D012306,12226-12229,PREF,RISK
Tissue,http://purl.bioontology.org/ontology/STY/T024,12491-12496,PREF,TISSUE
Mechanics,http://purl.bioontology.org/ontology/MESH/D019563,12498-12506,PREF,MECHANICS
Patients,http://purl.bioontology.org/ontology/MESH/D010361,13765-13772|15885-15892,PREF|PREF,PATIENTS|PATIENTS
Skin,http://purl.bioontology.org/ontology/MESH/D012867,14314-14317|14401-14404,PREF|PREF,SKIN|SKIN
New York,http://purl.bioontology.org/ontology/MESH/D009518,15381-15388,PREF,NEW YORK
Faculty,http://purl.bioontology.org/ontology/MESH/D005178,15478-15484,PREF,FACULTY
Work,http://purl.bioontology.org/ontology/MESH/D014937,15616-15619,PREF,WORK
