prefLabel,id,from_to,matchType,text
Lumbar Spine,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C69314,19-30|19-24|311-322|311-316|432-443|432-437|515-526|515-520|662-673|662-667|1571-1582|1571-1576|1994-2005|1994-1999|2403-2414|2403-2408|2612-2623|2612-2617|2839-2844|2877-2882|3003-3014|3003-3008|5022-5027|5166-5171|7682-7687|8217-8222|8964-8975|8964-8969|9567-9572|9688-9693|9832-9843|9832-9837|9995-10000|10013-10024|10013-10018|10229-10240|10229-10234|10372-10383|10372-10377|10477-10482|10585-10596|10585-10590|11207-11218|11207-11212|11341-11346|11706-11717|11706-11711|12349-12360|12349-12354|12524-12529|12591-12602|12591-12596|12812-12823|12812-12817|13994-14005|13994-13999|14907-14918|14907-14912|14981-14986|15090-15101|15090-15095,PREF|SYN|PREF|SYN|PREF|SYN|PREF|SYN|PREF|SYN|PREF|SYN|PREF|SYN|PREF|SYN|PREF|SYN|SYN|SYN|PREF|SYN|SYN|SYN|SYN|SYN|PREF|SYN|SYN|SYN|PREF|SYN|SYN|PREF|SYN|PREF|SYN|PREF|SYN|SYN|PREF|SYN|PREF|SYN|SYN|PREF|SYN|PREF|SYN|SYN|PREF|SYN|PREF|SYN|PREF|SYN|PREF|SYN|SYN|PREF|SYN,LUMBAR SPINE|LUMBAR|LUMBAR SPINE|LUMBAR|LUMBAR SPINE|LUMBAR|LUMBAR SPINE|LUMBAR|LUMBAR SPINE|LUMBAR|LUMBAR SPINE|LUMBAR|LUMBAR SPINE|LUMBAR|LUMBAR SPINE|LUMBAR|LUMBAR SPINE|LUMBAR|LUMBAR|LUMBAR|LUMBAR SPINE|LUMBAR|LUMBAR|LUMBAR|LUMBAR|LUMBAR|LUMBAR SPINE|LUMBAR|LUMBAR|LUMBAR|LUMBAR SPINE|LUMBAR|LUMBAR|LUMBAR SPINE|LUMBAR|LUMBAR SPINE|LUMBAR|LUMBAR SPINE|LUMBAR|LUMBAR|LUMBAR SPINE|LUMBAR|LUMBAR SPINE|LUMBAR|LUMBAR|LUMBAR SPINE|LUMBAR|LUMBAR SPINE|LUMBAR|LUMBAR|LUMBAR SPINE|LUMBAR|LUMBAR SPINE|LUMBAR|LUMBAR SPINE|LUMBAR|LUMBAR SPINE|LUMBAR|LUMBAR|LUMBAR SPINE|LUMBAR
Lower,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C86568,36-40|328-332|701-705|1565-1569|1862-1866|2253-2257|2397-2401|2629-2633|2983-2987|3053-3057|3170-3174|5160-5164|5506-5510|5541-5545|8239-8243|8446-8450|9682-9686|9989-9993|10212-10216|10456-10460|12157-12161|12234-12238|12366-12370|12518-12522|12608-12612|12783-12787|14011-14015|15150-15154,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,LOWER|LOWER|LOWER|LOWER|LOWER|LOWER|LOWER|LOWER|LOWER|LOWER|LOWER|LOWER|LOWER|LOWER|LOWER|LOWER|LOWER|LOWER|LOWER|LOWER|LOWER|LOWER|LOWER|LOWER|LOWER|LOWER|LOWER|LOWER
Lower,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25309,36-40|328-332|701-705|1565-1569|1862-1866|2253-2257|2397-2401|2629-2633|2983-2987|3053-3057|3170-3174|5160-5164|5506-5510|5541-5545|8239-8243|8446-8450|9682-9686|9989-9993|10212-10216|10456-10460|12157-12161|12234-12238|12366-12370|12518-12522|12608-12612|12783-12787|14011-14015|15150-15154,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,LOWER|LOWER|LOWER|LOWER|LOWER|LOWER|LOWER|LOWER|LOWER|LOWER|LOWER|LOWER|LOWER|LOWER|LOWER|LOWER|LOWER|LOWER|LOWER|LOWER|LOWER|LOWER|LOWER|LOWER|LOWER|LOWER|LOWER|LOWER
Measured,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C44473,59-66,PREF,MEASURED
Motion,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C75602,77-82|6390-6395|6820-6825|6916-6921|7153-7158|7878-7883|8288-8293|11220-11225|11380-11385|12571-12576|14319-14324|14406-14411|14798-14803|15166-15171,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,MOTION|MOTION|MOTION|MOTION|MOTION|MOTION|MOTION|MOTION|MOTION|MOTION|MOTION|MOTION|MOTION|MOTION
Object,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45281,121-126|2731-2736|5870-5875|6021-6026|6170-6175|12853-12858,PREF|PREF|PREF|PREF|PREF|PREF,OBJECT|OBJECT|OBJECT|OBJECT|OBJECT|OBJECT
Floor,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C66795,136-140|2747-2751|5936-5940|12868-12872,PREF|PREF|PREF|PREF,FLOOR|FLOOR|FLOOR|FLOOR
People,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C95553,143-148|1258-1263|2459-2464|2479-2484|2659-2664|2800-2805|3132-3137|3346-3351|3570-3575|4318-4323|9635-9640|9774-9779|9879-9884|11527-11532|12260-12265|13588-13593|13679-13684|13842-13847|15225-15230,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE
Examined,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25500,164-171|1610-1617|1985-1992|2217-2224|6949-6956|10831-10838|11187-11194|11877-11884,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,EXAMINED|EXAMINED|EXAMINED|EXAMINED|EXAMINED|EXAMINED|EXAMINED|EXAMINED
Movement,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37994,189-196|569-576|687-694|717-724|1029-1036|1199-1206|1784-1791|2509-2516|3635-3642|6541-6548|6638-6645|6748-6755|6962-6969|7040-7047|7118-7125|7294-7301|7334-7341|7629-7636|7696-7703|7722-7729|7944-7951|8108-8115|8296-8303|8512-8519|9155-9162|9467-9474|9811-9818|10026-10033|10097-10104|10242-10249|10385-10392|11257-11264|11559-11566|11719-11726|11983-11990|12054-12061|12382-12389|12538-12545|12645-12652|12825-12832|12959-12966|13052-13059|13162-13169|13637-13644|14620-14627|14737-14744|15136-15143|15189-15196|15255-15262,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT
