prefLabel,id,from_to,matchType,text
non-specific,http://sbmi.uth.tmc.edu/ontology/ochv#C0205370,1-12,PREF,NON-SPECIFIC
specific,http://sbmi.uth.tmc.edu/ontology/ochv#C0205369,5-12|4101-4108|10084-10091,PREF|PREF|PREF,SPECIFIC|SPECIFIC|SPECIFIC
chronic low back pain,http://sbmi.uth.tmc.edu/ontology/ochv#C0457949,14-34|9939-9959|10041-10061,PREF|PREF|PREF,CHRONIC LOW BACK PAIN|CHRONIC LOW BACK PAIN|CHRONIC LOW BACK PAIN
chronic,http://sbmi.uth.tmc.edu/ontology/ochv#C0205191,14-20|1529-1535|9939-9945|10041-10047,PREF|PREF|PREF|PREF,CHRONIC|CHRONIC|CHRONIC|CHRONIC
low back pain,http://sbmi.uth.tmc.edu/ontology/ochv#7549,22-34|1364-1376|1379-1381|1482-1484|1825-1827|3479-3481|4110-4112|5021-5023|7623-7625|9947-9959|10049-10061|10144-10156|10306-10318|10434-10446|10598-10610,PREF|PREF|SYN|SYN|SYN|SYN|SYN|SYN|SYN|PREF|PREF|PREF|PREF|PREF|PREF,LOW BACK PAIN|LOW BACK PAIN|LBP|LBP|LBP|LBP|LBP|LBP|LBP|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN
low,http://sbmi.uth.tmc.edu/ontology/ochv#C0205251,22-24|1364-1366|9947-9949|10049-10051|10144-10146|10306-10308|10434-10436|10598-10600|10613-10615,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW
back pain,http://sbmi.uth.tmc.edu/ontology/ochv#C0004604,26-34|1368-1376|4476-4484|4801-4809|9951-9959|10053-10061|10148-10156|10310-10318|10438-10446|10602-10610|10617-10625,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN
back pain,http://sbmi.uth.tmc.edu/ontology/ochv#1662,26-34|1368-1376|4476-4484|4801-4809|9951-9959|10053-10061|10148-10156|10310-10318|10438-10446|10602-10610|10617-10625,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN
pain,http://sbmi.uth.tmc.edu/ontology/ochv#9185,31-34|144-147|618-621|1373-1376|1726-1729|3725-3728|4010-4013|4128-4131|4481-4484|4806-4809|4837-4840|4854-4857|6220-6223|7269-7272|8364-8367|9956-9959|10058-10061|10125-10128|10153-10156|10315-10318|10443-10446|10607-10610|10622-10625,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
pain,http://sbmi.uth.tmc.edu/ontology/ochv#C0030193,31-34|144-147|618-621|1373-1376|1726-1729|3725-3728|4010-4013|4128-4131|4481-4484|4806-4809|4837-4840|4854-4857|6220-6223|7269-7272|8364-8367|9956-9959|10058-10061|10125-10128|10153-10156|10315-10318|10443-10446|10607-10610|10622-10625,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
major,http://sbmi.uth.tmc.edu/ontology/ochv#C0205164,50-54|1389-1393,PREF|PREF,MAJOR|MAJOR
health,http://sbmi.uth.tmc.edu/ontology/ochv#C0018684,56-61|1402-1407|3378-3383,PREF|PREF|PREF,HEALTH|HEALTH|HEALTH
health,http://sbmi.uth.tmc.edu/ontology/ochv#5822,56-61|1402-1407|3378-3383,PREF|PREF|PREF,HEALTH|HEALTH|HEALTH
