prefLabel,id,from_to,matchType,text
Treatment,http://psink.de/scio/Treatment,966-974|2210-2218,PREF|PREF,TREATMENT|TREATMENT
Recovery,http://psink.de/scio/Recovery,1185-1192,PREF,RECOVERY
Left,http://psink.de/scio/Left,2651-2654|18280-18283,PREF|PREF,LEFT|LEFT
Right,http://psink.de/scio/Right,2808-2812|18285-18289,PREF|PREF,RIGHT|RIGHT
Increase,http://psink.de/scio/Increase,2891-2898|13544-13551|14024-14031|20633-20640,PREF|PREF|PREF|PREF,INCREASE|INCREASE|INCREASE|INCREASE
Brain,http://psink.de/scio/Brain,4568-4572,PREF,BRAIN
Result,http://psink.de/scio/Result,5123-5128,PREF,RESULT
Pressure,http://psink.de/scio/Pressure,6324-6331,PREF,PRESSURE
Decrease,http://psink.de/scio/Decrease,6863-6870|7113-7120,PREF|PREF,DECREASE|DECREASE
Thickness,http://psink.de/scio/Thickness,8827-8835|9089-9097,PREF|PREF,THICKNESS|THICKNESS
Trend,http://psink.de/scio/Trend,11256-11260|11282-11286,PREF|PREF,TREND|TREND
Direction,http://psink.de/scio/Direction,11528-11536,PREF,DIRECTION
Duration,http://psink.de/scio/Duration,14864-14871,PREF,DURATION
Experiment,http://psink.de/scio/Experiment,15551-15560,PREF,EXPERIMENT
Force,http://psink.de/scio/Force,20064-20068,PREF,FORCE
Significance,http://psink.de/scio/Significance,22051-22062,PREF,SIGNIFICANCE
Injury,http://psink.de/scio/Injury,22466-22471|25642-25647,PREF|PREF,INJURY|INJURY
Tissue,http://psink.de/scio/Tissue,22853-22858|25661-25666,PREF|PREF,TISSUE|TISSUE
Extremity,http://psink.de/scio/Extremity,24187-24195,PREF,EXTREMITY
Function,http://psink.de/scio/Function,25626-25633,PREF,FUNCTION
Current,http://psink.de/scio/Current,25765-25771,PREF,CURRENT
