prefLabel,id,from_to,matchType,text
Patients,http://purl.bioontology.org/ontology/MESH/D010361,1-8|234-241|537-544|866-873|1232-1239|1681-1688|2062-2069|2165-2172|2871-2878|3020-3027|3074-3081|3199-3206|3516-3523|4235-4242|8961-8968|10786-10793|10950-10957|11581-11588|12608-12615|12965-12972|13067-13074|13552-13559|14426-14433|14731-14738|14974-14981|15414-15421|15513-15520|15681-15688|16303-16310|16411-16418|16658-16665|16888-16895|16936-16943|17153-17160|17311-17318|17541-17548,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS
Low Back Pain,http://purl.bioontology.org/ontology/MESH/D017116,15-27|209-221|248-260|350-362|551-563|880-892|1246-1258|1396-1408|1561-1573|1628-1640|10101-10113|17167-17179|17325-17337|17555-17567,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN
Back Pain,http://purl.bioontology.org/ontology/MESH/D001416,19-27|213-221|252-260|354-362|555-563|884-892|1250-1258|1400-1408|1565-1573|1632-1640|10105-10113|11305-11313|17171-17179|17329-17337|17559-17567,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN
Pain,http://purl.bioontology.org/ontology/MESH/D010146,24-27|218-221|257-260|359-362|560-563|889-892|1255-1258|1405-1408|1570-1573|1637-1640|4495-4498|4514-4517|10110-10113|11310-11313|15428-15431|17176-17179|17334-17337|17564-17567,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
Lifting,http://purl.bioontology.org/ontology/MESH/D017770,118-124|1277-1283|8937-8943|9418-9424|9499-9505|11223-11229|14458-14464|15156-15162|17302-17308,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,LIFTING|LIFTING|LIFTING|LIFTING|LIFTING|LIFTING|LIFTING|LIFTING|LIFTING
Spine,http://purl.bioontology.org/ontology/MESH/D013131,273-277|415-419|745-749|918-922|1064-1068|1210-1214|1358-1362|1531-1535|1663-1667|2402-2406|2600-2604|2684-2688|2831-2835|3059-3063|3501-3505|7993-7997|8814-8818|9077-9081|9461-9465|9832-9836|9894-9898|10386-10390|10638-10642|11444-11448|11642-11646|12061-12065|12158-12162|12187-12191|12321-12325|12388-12392|12806-12810|12861-12865|13511-13515|13649-13653|13863-13867|14030-14034|14103-14107|14188-14192|14257-14261|14560-14564|14934-14938|15203-15207|15663-15667|16069-16073|16193-16197|16242-16246|16394-16398|16447-16451|16537-16541|17197-17201|17898-17902,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE
Muscles,http://purl.bioontology.org/ontology/MESH/D009132,652-657|1092-1097|1123-1128|1431-1436|2480-2485|2912-2917|3175-3181|4768-4773|4810-4815|4895-4901|4925-4931|6760-6766|6788-6793|8580-8585|8609-8615|10248-10253|10280-10286|13436-13441|15966-15971|16628-16633|17471-17476|17829-17834|17904-17909,SYN|SYN|SYN|SYN|SYN|SYN|PREF|SYN|SYN|PREF|PREF|PREF|SYN|SYN|PREF|SYN|PREF|SYN|SYN|SYN|SYN|SYN|SYN,MUSCLE|MUSCLE|MUSCLE|MUSCLE|MUSCLE|MUSCLE|MUSCLES|MUSCLE|MUSCLE|MUSCLES|MUSCLES|MUSCLES|MUSCLE|MUSCLE|MUSCLES|MUSCLE|MUSCLES|MUSCLE|MUSCLE|MUSCLE|MUSCLE|MUSCLE|MUSCLE
Activity,http://purl.bioontology.org/ontology/STY/T052,659-666|4632-4639|4737-4744|6733-6740|10255-10262,PREF|PREF|PREF|PREF|PREF,ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY
Kinetics,http://purl.bioontology.org/ontology/MESH/D007700,697-704,PREF,KINETICS
Calibration,http://purl.bioontology.org/ontology/MESH/D002138,843-853|3334-3344|3460-3470|5046-5056|5473-5483|5551-5561|7394-7404|10481-10491,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,CALIBRATION|CALIBRATION|CALIBRATION|CALIBRATION|CALIBRATION|CALIBRATION|CALIBRATION|CALIBRATION
