prefLabel,id,from_to,matchType,text
Patient,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16960,1-8|234-241|537-544|866-873|1232-1239|1452-1458|1681-1688|2062-2069|2165-2172|2871-2878|3020-3027|3074-3081|3199-3206|3516-3523|4235-4242|8961-8968|10786-10793|10950-10957|11581-11588|12110-12116|12608-12615|12965-12972|13067-13074|13552-13559|14426-14433|14731-14738|14974-14981|15414-15421|15513-15520|15681-15688|16303-16310|16411-16418|16658-16665|16888-16895|16936-16943|17153-17160|17311-17318|17541-17548,SYN|SYN|SYN|SYN|SYN|PREF|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|PREF|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN,PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENT|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENT|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS
Low Level,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C129476,15-17|209-211|248-250|350-352|551-553|880-882|1246-1248|1290-1292|1396-1398|1561-1563|1628-1630|5642-5644|6066-6068|10101-10103|12703-12711|12703-12705|13762-13764|17167-17169|17325-17327|17555-17557,SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|PREF|SYN|SYN|SYN|SYN|SYN,LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW LEVEL|LOW|LOW|LOW|LOW|LOW
Low,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C54722,15-17|209-211|248-250|350-352|551-553|880-882|1246-1248|1290-1292|1396-1398|1561-1563|1628-1630|5642-5650|5642-5644|6066-6068|10101-10103|12703-12705|13762-13764|17167-17169|17325-17327|17555-17557,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|SYN|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW-LEVEL|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW
Back Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C41830,19-27|213-221|252-260|354-362|555-563|884-892|1250-1258|1400-1408|1565-1573|1632-1640|10105-10113|11305-11313|17171-17179|17329-17337|17559-17567,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN
Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3303,24-27|218-221|257-260|359-362|560-563|889-892|1255-1258|1405-1408|1570-1573|1637-1640|4495-4498|4514-4517|10110-10113|11310-11313|15428-15431|17176-17179|17334-17337|17564-17567,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
Asymptomatic,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3833,33-44|333-344|572-583|998-1009|1740-1751|2084-2095|2187-2198|3548-3559|4271-4282|4426-4437|8084-8095|8474-8485|8640-8651|9393-9404|10119-10130|10655-10666|10875-10886|11070-11081|11154-11165|11992-12003|12902-12913|13253-13264|15927-15938|16464-16475|17255-17266,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,ASYMPTOMATIC|ASYMPTOMATIC|ASYMPTOMATIC|ASYMPTOMATIC|ASYMPTOMATIC|ASYMPTOMATIC|ASYMPTOMATIC|ASYMPTOMATIC|ASYMPTOMATIC|ASYMPTOMATIC|ASYMPTOMATIC|ASYMPTOMATIC|ASYMPTOMATIC|ASYMPTOMATIC|ASYMPTOMATIC|ASYMPTOMATIC|ASYMPTOMATIC|ASYMPTOMATIC|ASYMPTOMATIC|ASYMPTOMATIC|ASYMPTOMATIC|ASYMPTOMATIC|ASYMPTOMATIC|ASYMPTOMATIC|ASYMPTOMATIC
Evaluation,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25214,63-71|719-726|4183-4190|8311-8320|10372-10381|16087-16095|16380-16389,SYN|SYN|SYN|PREF|PREF|SYN|PREF,EVALUATED|EVALUATE|EVALUATE|EVALUATION|EVALUATION|EVALUATED|EVALUATION
Control,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61299,90-99|607-616|1028-1037|1467-1473|4046-4052|8329-8338|10151-10160|13017-13023|15973-15979|17223-17232,SYN|SYN|SYN|PREF|PREF|SYN|SYN|PREF|PREF|SYN,CONTROLLED|CONTROLLED|CONTROLLED|CONTROL|CONTROL|CONTROLLED|CONTROLLED|CONTROL|CONTROL|CONTROLLED
Lifting,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C86567,118-124|1277-1283|4448-4453|4460-4463|5749-5752|6967-6970|7664-7667|8937-8943|9418-9424|9499-9505|9659-9664|9711-9716|11223-11229|12260-12263|12354-12357|12638-12641|12675-12678|13346-13351|13378-13381|13925-13928|14458-14464|15156-15162|17086-17089|17139-17142|17302-17308|17618-17621,PREF|PREF|SYN|SYN|SYN|SYN|SYN|PREF|PREF|PREF|SYN|SYN|PREF|SYN|SYN|SYN|SYN|SYN|SYN|SYN|PREF|PREF|SYN|SYN|PREF|SYN,LIFTING|LIFTING|LIFTED|LIFT|LIFT|LIFT|LIFT|LIFTING|LIFTING|LIFTING|LIFTED|LIFTED|LIFTING|LIFT|LIFT|LIFT|LIFT|LIFTED|LIFT|LIFT|LIFTING|LIFTING|LIFT|LIFT|LIFTING|LIFT
Laboratory,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37984,137-146|3301-3310|5436-5445|6300-6309|6838-6847,PREF|PREF|PREF|PREF|PREF,LABORATORY|LABORATORY|LABORATORY|LABORATORY|LABORATORY
