prefLabel,id,from_to,matchType,text
Compression,http://psink.de/scio/Compression,924-934|8428-8438|9083-9093|9160-9170|10062-10072|10825-10835|10998-11008|11759-11769|14036-14046|17587-17597,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,COMPRESSION|COMPRESSION|COMPRESSION|COMPRESSION|COMPRESSION|COMPRESSION|COMPRESSION|COMPRESSION|COMPRESSION|COMPRESSION
Weight,http://psink.de/scio/Weight,1460-1465|4441-4446|4582-4587|7638-7643|7722-7727|7761-7766|12622-12627|12767-12772|13010-13015|16999-17004,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,WEIGHT|WEIGHT|WEIGHT|WEIGHT|WEIGHT|WEIGHT|WEIGHT|WEIGHT|WEIGHT|WEIGHT
Force,http://psink.de/scio/Force,4115-4119|7851-7855|10074-10078,PREF|PREF|PREF,FORCE|FORCE|FORCE
Electrodes,http://psink.de/scio/Electrodes,4701-4710|4717-4726|7212-7221,PREF|PREF|PREF,ELECTRODES|ELECTRODES|ELECTRODES
Right,http://psink.de/scio/Right,4795-4799,PREF,RIGHT
Left,http://psink.de/scio/Left,4805-4808,PREF,LEFT
Gender,http://psink.de/scio/Gender,6607-6612,PREF,GENDER
Experiment,http://psink.de/scio/Experiment,7474-7483,PREF,EXPERIMENT
Increase,http://psink.de/scio/Increase,7740-7747|11042-11049|11110-11117|12149-12156,PREF|PREF|PREF|PREF,INCREASE|INCREASE|INCREASE|INCREASE
Significance,http://psink.de/scio/Significance,9873-9884,PREF,SIGNIFICANCE
Current,http://psink.de/scio/Current,10909-10915|13671-13677|14870-14876|15368-15374|15759-15765,PREF|PREF|PREF|PREF|PREF,CURRENT|CURRENT|CURRENT|CURRENT|CURRENT
Distance,http://psink.de/scio/Distance,12298-12305,PREF,DISTANCE
Recovery,http://psink.de/scio/Recovery,13036-13043,PREF,RECOVERY
Result,http://psink.de/scio/Result,16602-16607,PREF,RESULT
