prefLabel,id,from_to,matchType,text
Reduced,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25640,1-9|993-999|1123-1131|2180-2188|2684-2690|3164-3171|8778-8786|10998-11006|11973-11981|12907-12913|13004-13012|14240-14246|14365-14371|14804-14812|14993-15001|15383-15391|16206-16212|16805-16813|17132-17140|18852-18860|18954-18960|21029-21037|21725-21731|21953-21959,SYN|PREF|SYN|SYN|PREF|SYN|SYN|SYN|SYN|PREF|SYN|PREF|PREF|SYN|SYN|SYN|PREF|SYN|SYN|SYN|PREF|SYN|PREF|PREF,DECREASED|REDUCED|DECREASED|DECREASED|REDUCED|DECREASE|REDUCTION|DECREASED|DECREASED|REDUCED|DECREASED|REDUCED|REDUCED|DECREASED|DECREASED|DECREASED|REDUCED|REDUCTION|REDUCTION|DECREASED|REDUCED|DECREASED|REDUCED|REDUCED
Decreased,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C164132,1-9|1123-1131|2180-2188|10998-11006|11973-11981|13004-13012|14804-14812|14993-15001|15383-15391|18852-18860|21029-21037,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,DECREASED|DECREASED|DECREASED|DECREASED|DECREASED|DECREASED|DECREASED|DECREASED|DECREASED|DECREASED|DECREASED
Variability,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85443,11-21|492-502|2837-2847|2990-3000|3176-3186|3406-3416|3723-3733|4234-4244|14248-14258|14373-14383|14831-14841|16389-16399|16584-16594|16836-16846|17178-17188|18797-18807|18962-18972|21039-21049|21961-21971,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,VARIABILITY|VARIABILITY|VARIABILITY|VARIABILITY|VARIABILITY|VARIABILITY|VARIABILITY|VARIABILITY|VARIABILITY|VARIABILITY|VARIABILITY|VARIABILITY|VARIABILITY|VARIABILITY|VARIABILITY|VARIABILITY|VARIABILITY|VARIABILITY|VARIABILITY
Control,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61299,35-41|183-189|367-373|531-537|590-596|893-899|1055-1061|1171-1177|1409-1415|1550-1556|2083-2089|2861-2867|3014-3020|3239-3245|3430-3436|3768-3774|5403-5409|5877-5886|6268-6274|7084-7090|7329-7335|7939-7945|9909-9915|11209-11215|12152-12158|12372-12378|13208-13214|14014-14020|14051-14057|14312-14318|14684-14690|14823-14829|16331-16337|16509-16515|16551-16557|16960-16966|18730-18736|18986-18992|19149-19155|19434-19440|19677-19683|20103-20109|20323-20329|20542-20548|21696-21702|22261-22267|22737-22743,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|SYN|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROLLED|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL
Control Group,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28143,35-41|183-189|367-373|531-537|590-596|893-899|1055-1061|1171-1177|1409-1415|1550-1556|2083-2089|2861-2867|3014-3020|3239-3245|3430-3436|3768-3774|5403-5409|6268-6274|7084-7090|7329-7335|7939-7945|9909-9921|9909-9915|11209-11215|12152-12158|12372-12384|12372-12378|13208-13214|14014-14020|14051-14057|14312-14318|14684-14690|14823-14829|16331-16337|16509-16515|16551-16557|16960-16972|16960-16966|18730-18736|18986-18992|19149-19155|19434-19440|19677-19683|20103-20109|20323-20329|20542-20548|21696-21702|22261-22267|22737-22743,SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|PREF|SYN|SYN|SYN|PREF|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|PREF|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN,CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL GROUP|CONTROL|CONTROL|CONTROL|CONTROL GROUP|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL GROUP|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL
People,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C95553,63-68|312-317|966-971|2431-2436|3052-3057|3711-3716|4201-4206|10390-10395|10761-10766|12232-12237|12402-12407|13142-13147|13400-13405|13577-13582|13719-13724|13825-13830|14445-14450|14916-14921|15808-15813|16071-16076|16217-16222|16452-16457|16989-16994|17554-17559|18659-18664|20987-20992|21539-21544|21736-21741,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE
Low,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C54722,88-90|455-457|2107-2109|17013-17015|18042-18044|19305-19307|19508-19510|19638-19640|20144-20146|20288-20290|21007-21009|21407-21409|21496-21498|21748-21750|22233-22235|22464-22466|22850-22852|22984-22986,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW
Back Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C41830,92-100|459-467|2111-2119|19309-19317|19512-19520|19642-19650|20148-20156|20292-20300|21011-21019|21411-21419|21500-21508|21752-21760|22045-22053|22237-22245|22468-22476|22854-22862|22988-22996,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN
Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3303,97-100|464-467|2116-2119|4538-4541|4768-4771|17022-17025|17068-17071|17285-17288|17470-17473|17597-17600|17640-17643|19314-19317|19517-19520|19647-19650|20153-20156|20297-20300|20527-20530|21016-21019|21416-21419|21505-21508|21757-21760|22050-22053|22242-22245|22473-22476|22626-22629|22859-22862|22993-22996,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
Associated,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25281,105-114|2668-2677|14788-14797|16358-16367|18834-18843|22768-22777,PREF|PREF|PREF|PREF|PREF|PREF,ASSOCIATED|ASSOCIATED|ASSOCIATED|ASSOCIATED|ASSOCIATED|ASSOCIATED
