prefLabel,id,from_to,matchType,text
decreased,http://sbmi.uth.tmc.edu/ontology/ochv#C0205216,1-9|1123-1131|2180-2188|10998-11006|11973-11981|13004-13012|14804-14812|14993-15001|15383-15391|18852-18860|21029-21037,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,DECREASED|DECREASED|DECREASED|DECREASED|DECREASED|DECREASED|DECREASED|DECREASED|DECREASED|DECREASED|DECREASED
decreased,http://sbmi.uth.tmc.edu/ontology/ochv#C0442797,1-9|1123-1131|2180-2188|10998-11006|11973-11981|13004-13012|14804-14812|14993-15001|15383-15391|18852-18860|21029-21037,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,DECREASED|DECREASED|DECREASED|DECREASED|DECREASED|DECREASED|DECREASED|DECREASED|DECREASED|DECREASED|DECREASED
postural,http://sbmi.uth.tmc.edu/ontology/ochv#C0205278,26-33|174-181|358-365|401-408|522-529|581-588|884-891|927-934|1046-1053|1087-1094|1133-1140|1162-1169|1257-1264|1541-1548|1711-1718|1783-1790|1860-1867|2074-2081|2190-2197|2577-2584|2692-2699|2751-2758|2852-2859|3005-3012|3138-3145|3230-3237|3421-3428|3583-3590|3759-3766|3795-3802|3832-3839|3894-3901|4249-4256|5004-5011|5394-5401|6259-6266|6396-6403|6546-6553|7037-7044|7075-7082|7320-7327|7790-7797|8580-8587|10695-10702|10855-10862|11008-11015|11515-11522|11797-11804|11859-11866|11894-11901|11942-11949|11983-11990|12143-12150|12882-12889|13014-13021|13199-13206|14042-14049|14303-14310|14675-14682|14814-14821|15860-15867|16003-16010|16322-16329|16500-16507|16542-16549|16818-16825|17160-17167|17727-17734|18539-18546|18590-18597|18721-18728|18764-18771|18862-18869|18977-18984|19425-19432|19461-19468|19668-19675|20094-20101|20697-20704|20872-20879|21087-21094|21976-21983|22728-22735,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL|POSTURAL
CONTROL,http://sbmi.uth.tmc.edu/ontology/ochv#C0308718,35-41|183-189|367-373|531-537|590-596|893-899|1055-1061|1171-1177|1409-1415|1550-1556|2083-2089|2861-2867|3014-3020|3239-3245|3430-3436|3768-3774|5403-5409|6268-6274|7084-7090|7329-7335|7939-7945|9909-9915|11209-11215|12152-12158|12372-12378|13208-13214|14014-14020|14051-14057|14312-14318|14684-14690|14823-14829|16331-16337|16509-16515|16551-16557|16960-16966|18730-18736|18986-18992|19149-19155|19434-19440|19677-19683|20103-20109|20323-20329|20542-20548|21696-21702|22261-22267|22737-22743,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL
strategy,http://sbmi.uth.tmc.edu/ontology/ochv#43025,43-52|375-382|539-548|901-908|1063-1070|1628-1637|1672-1679|2869-2878|3022-3031|3438-3447|3776-3783|4258-4265|10864-10871|10948-10955|11806-11813|11903-11910|12621-12628|12931-12938|13216-13223|13444-13451|13597-13604|13683-13690|14320-14329|16339-16348|16517-16526|16559-16568|16827-16834|17169-17176|18738-18745|18812-18819|18994-19003|19685-19692|21675-21682|21985-21992,SYN|PREF|SYN|PREF|PREF|SYN|PREF|SYN|SYN|SYN|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|SYN|SYN|SYN|SYN|PREF|PREF|PREF|PREF|SYN|PREF|PREF|PREF,STRATEGIES|STRATEGY|STRATEGIES|STRATEGY|STRATEGY|STRATEGIES|STRATEGY|STRATEGIES|STRATEGIES|STRATEGIES|STRATEGY|STRATEGY|STRATEGY|STRATEGY|STRATEGY|STRATEGY|STRATEGY|STRATEGY|STRATEGY|STRATEGY|STRATEGY|STRATEGY|STRATEGIES|STRATEGIES|STRATEGIES|STRATEGIES|STRATEGY|STRATEGY|STRATEGY|STRATEGY|STRATEGIES|STRATEGY|STRATEGY|STRATEGY
young,http://sbmi.uth.tmc.edu/ontology/ochv#C0332239,57-61|306-310|960-964|10755-10759|13705-13709|16065-16069|16446-16450|17255-17259|18645-18649,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,YOUNG|YOUNG|YOUNG|YOUNG|YOUNG|YOUNG|YOUNG|YOUNG|YOUNG
people,http://sbmi.uth.tmc.edu/ontology/ochv#C0027361,63-68|312-317|966-971|2431-2436|3052-3057|3711-3716|4201-4206|10390-10395|10761-10766|12232-12237|12402-12407|13142-13147|13400-13405|13577-13582|13719-13724|13825-13830|14445-14450|14916-14921|15808-15813|16071-16076|16217-16222|16452-16457|16989-16994|17554-17559|18659-18664|20987-20992|21539-21544|21736-21741,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE
persons,http://sbmi.uth.tmc.edu/ontology/ochv#8474,63-68|312-317|966-971|2431-2436|3052-3057|3711-3716|4201-4206|4301-4307|10390-10395|10761-10766|11148-11154|11818-11824|12232-12237|12402-12407|13142-13147|13400-13405|13577-13582|13719-13724|13825-13830|14445-14450|14916-14921|15685-15691|15808-15813|16071-16076|16217-16222|16452-16457|16989-16994|17554-17559|18142-18148|18659-18664|19292-19298|19331-19337|19485-19491|19615-19621|20987-20992|21539-21544|21736-21741|22586-22592,SYN|SYN|SYN|SYN|SYN|SYN|SYN|PREF|SYN|SYN|PREF|PREF|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|PREF|SYN|SYN|SYN|SYN|SYN|SYN|PREF|SYN|PREF|PREF|PREF|PREF|SYN|SYN|SYN|PREF,PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PERSONS|PEOPLE|PEOPLE|PERSONS|PERSONS|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PERSONS|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PERSONS|PEOPLE|PERSONS|PERSONS|PERSONS|PERSONS|PEOPLE|PEOPLE|PEOPLE|PERSONS
non-specific,http://sbmi.uth.tmc.edu/ontology/ochv#C0205370,75-86|442-453|2094-2105,PREF|PREF|PREF,NON-SPECIFIC|NON-SPECIFIC|NON-SPECIFIC
specific,http://sbmi.uth.tmc.edu/ontology/ochv#C0205369,79-86|446-453|2098-2105|3536-3543|13269-13276,PREF|PREF|PREF|PREF|PREF,SPECIFIC|SPECIFIC|SPECIFIC|SPECIFIC|SPECIFIC
