prefLabel,id,from_to,matchType,text
Pressure,http://psink.de/scio/Pressure,754-761|6855-6862,PREF|PREF,PRESSURE|PRESSURE
Change,http://psink.de/scio/Change,1277-1282,PREF,CHANGE
Decrease,http://psink.de/scio/Decrease,3164-3171,PREF,DECREASE
Age,http://psink.de/scio/Age,4189-4191|16264-16266|16441-16443|16659-16661,PREF|PREF|PREF|PREF,AGE|AGE|AGE|AGE
Force,http://psink.de/scio/Force,5067-5071|7468-7472|8619-8623,PREF|PREF|PREF,FORCE|FORCE|FORCE
Duration,http://psink.de/scio/Duration,5800-5807,PREF,DURATION
Direction,http://psink.de/scio/Direction,6422-6430|6573-6581,PREF|PREF,DIRECTION|DIRECTION
Increase,http://psink.de/scio/Increase,14069-14076,PREF,INCREASE
Hypothesis,http://psink.de/scio/Hypothesis,14722-14731|15505-15514|16708-16717,PREF|PREF|PREF,HYPOTHESIS|HYPOTHESIS|HYPOTHESIS
Thickness,http://psink.de/scio/Thickness,17875-17883,PREF,THICKNESS
Current,http://psink.de/scio/Current,17893-17899,PREF,CURRENT
Weight,http://psink.de/scio/Weight,17959-17964,PREF,WEIGHT
Treatment,http://psink.de/scio/Treatment,18129-18137,PREF,TREATMENT
Brain,http://psink.de/scio/Brain,20775-20779|22638-22642,PREF|PREF,BRAIN|BRAIN
Injury,http://psink.de/scio/Injury,22966-22971,PREF,INJURY
