prefLabel,id,from_to,matchType,text
Reproduction,http://purl.bioontology.org/ontology/MESH/D012098,14-25|2509-2520|5876-5887|7633-7644|8918-8929|11691-11702|13294-13305,PREF|PREF|PREF|PREF|PREF|PREF|PREF,REPRODUCTION|REPRODUCTION|REPRODUCTION|REPRODUCTION|REPRODUCTION|REPRODUCTION|REPRODUCTION
Paraspinal Muscles,http://purl.bioontology.org/ontology/MESH/D064170,83-100|856-873|1731-1748|2425-2442|2949-2966|4900-4917|5412-5429|7770-7787|12111-12128|12722-12739|13008-13025|13662-13679,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PARASPINAL MUSCLES|PARASPINAL MUSCLES|PARASPINAL MUSCLES|PARASPINAL MUSCLES|PARASPINAL MUSCLES|PARASPINAL MUSCLES|PARASPINAL MUSCLES|PARASPINAL MUSCLES|PARASPINAL MUSCLES|PARASPINAL MUSCLES|PARASPINAL MUSCLES|PARASPINAL MUSCLES
Muscles,http://purl.bioontology.org/ontology/MESH/D009132,94-100|309-314|867-873|1434-1439|1488-1493|1742-1748|2436-2442|2618-2623|2960-2966|3038-3044|3186-3191|4028-4033|4761-4766|4911-4917|5423-5429|6374-6380|6495-6501|7470-7476|7510-7516|7781-7787|8016-8021|8405-8411|10274-10279|10483-10488|11811-11817|12122-12128|12733-12739|12839-12844|12914-12919|13019-13025|13143-13149|13271-13277|13344-13349|13483-13489|13673-13679,PREF|SYN|PREF|SYN|SYN|PREF|PREF|SYN|PREF|PREF|SYN|SYN|SYN|PREF|PREF|PREF|PREF|PREF|PREF|PREF|SYN|PREF|SYN|SYN|PREF|PREF|PREF|SYN|SYN|PREF|PREF|PREF|SYN|PREF|PREF,MUSCLES|MUSCLE|MUSCLES|MUSCLE|MUSCLE|MUSCLES|MUSCLES|MUSCLE|MUSCLES|MUSCLES|MUSCLE|MUSCLE|MUSCLE|MUSCLES|MUSCLES|MUSCLES|MUSCLES|MUSCLES|MUSCLES|MUSCLES|MUSCLE|MUSCLES|MUSCLE|MUSCLE|MUSCLES|MUSCLES|MUSCLES|MUSCLE|MUSCLE|MUSCLES|MUSCLES|MUSCLES|MUSCLE|MUSCLES|MUSCLES
Human,http://purl.bioontology.org/ontology/STY/T016,148-152|7978-7982|11427-11431|13121-13125,PREF|PREF|PREF|PREF,HUMAN|HUMAN|HUMAN|HUMAN
Motor Cortex,http://purl.bioontology.org/ontology/MESH/D009044,255-266|1534-1545|2745-2756|3125-3136|4693-4704|5298-5309|6383-6394|7243-7254|8067-8078|8261-8272|9020-9031|10295-10306|11870-11881|12035-12046|12137-12148|12230-12241|12568-12579|13190-13201,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,MOTOR CORTEX|MOTOR CORTEX|MOTOR CORTEX|MOTOR CORTEX|MOTOR CORTEX|MOTOR CORTEX|MOTOR CORTEX|MOTOR CORTEX|MOTOR CORTEX|MOTOR CORTEX|MOTOR CORTEX|MOTOR CORTEX|MOTOR CORTEX|MOTOR CORTEX|MOTOR CORTEX|MOTOR CORTEX|MOTOR CORTEX|MOTOR CORTEX
Organization,http://purl.bioontology.org/ontology/STY/T092,372-383|737-748|1547-1558|2570-2581|2820-2831|3095-3106|8164-8175|8478-8489|9804-9815|10122-10133|10948-10959|11994-12005|12066-12077,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,ORGANIZATION|ORGANIZATION|ORGANIZATION|ORGANIZATION|ORGANIZATION|ORGANIZATION|ORGANIZATION|ORGANIZATION|ORGANIZATION|ORGANIZATION|ORGANIZATION|ORGANIZATION|ORGANIZATION
Electrodes,http://purl.bioontology.org/ontology/MESH/D004566,532-541|4243-4252,PREF|PREF,ELECTRODES|ELECTRODES
Activity,http://purl.bioontology.org/ontology/STY/T052,577-584|8032-8039|12366-12373|12846-12853,PREF|PREF|PREF|PREF,ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY
Scalp,http://purl.bioontology.org/ontology/MESH/D012535,821-825|5957-5961|7582-7586,PREF|PREF|PREF,SCALP|SCALP|SCALP
Map,http://purl.bioontology.org/ontology/MESH/D019532,962-964|3018-3020|6053-6055|6246-6249|6262-6264|6412-6414|6660-6662|6848-6850|8817-8819|11188-11190,PREF|PREF|PREF|SYN|PREF|PREF|PREF|PREF|PREF|PREF,MAP|MAP|MAP|MAPS|MAP|MAP|MAP|MAP|MAP|MAP
Group,http://purl.bioontology.org/ontology/STY/T096,1388-1392|3293-3297|6504-6508|6747-6751|8835-8839,PREF|PREF|PREF|PREF|PREF,GROUP|GROUP|GROUP|GROUP|GROUP
Atrophy,http://purl.bioontology.org/ontology/MESH/D001284,1441-1447|12463-12469,PREF|PREF,ATROPHY|ATROPHY
