prefLabel,id,from_to,matchType,text
Reproduction,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17087,14-25|2509-2520|5876-5887|7633-7644|8918-8929|11691-11702|13294-13305,PREF|PREF|PREF|PREF|PREF|PREF|PREF,REPRODUCTION|REPRODUCTION|REPRODUCTION|REPRODUCTION|REPRODUCTION|REPRODUCTION|REPRODUCTION
Article,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C47902,35-41|2530-2536|5897-5903|7654-7660|8939-8945|11712-11718|13315-13321,PREF|PREF|PREF|PREF|PREF|PREF|PREF,ARTICLE|ARTICLE|ARTICLE|ARTICLE|ARTICLE|ARTICLE|ARTICLE
Lumbar Spine,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C69314,75-80|12478-12483|12895-12900|13433-13444|13433-13438|13655-13660,SYN|SYN|SYN|PREF|SYN|SYN,LUMBAR|LUMBAR|LUMBAR|LUMBAR SPINE|LUMBAR|LUMBAR
Erector Spinae,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C52902,83-100|687-700|856-873|1731-1748|2425-2442|2949-2966|4900-4917|5412-5429|7770-7787|12111-12128|12722-12739|13008-13025|13128-13141|13662-13679,SYN|PREF|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|PREF|SYN,PARASPINAL MUSCLES|ERECTOR SPINAE|PARASPINAL MUSCLES|PARASPINAL MUSCLES|PARASPINAL MUSCLES|PARASPINAL MUSCLES|PARASPINAL MUSCLES|PARASPINAL MUSCLES|PARASPINAL MUSCLES|PARASPINAL MUSCLES|PARASPINAL MUSCLES|PARASPINAL MUSCLES|ERECTOR SPINAE|PARASPINAL MUSCLES
Paraspinal,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C129461,83-92|298-307|856-865|1731-1740|2425-2434|2607-2616|2949-2958|3174-3183|4750-4759|4900-4909|5412-5421|5575-5584|7770-7779|12111-12120|12722-12731|13008-13017|13662-13671,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PARASPINAL|PARASPINAL|PARASPINAL|PARASPINAL|PARASPINAL|PARASPINAL|PARASPINAL|PARASPINAL|PARASPINAL|PARASPINAL|PARASPINAL|PARASPINAL|PARASPINAL|PARASPINAL|PARASPINAL|PARASPINAL|PARASPINAL
Activation,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C64382,121-129|1369-1378|2407-2416|2625-2634|2776-2785|5128-5137|11782-11791|11955-11964|12284-12293|13031-13039,SYN|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|SYN,ACTIVATED|ACTIVATION|ACTIVATION|ACTIVATION|ACTIVATION|ACTIVATION|ACTIVATION|ACTIVATION|ACTIVATION|ACTIVATED
Function,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25518,138-145|3702-3709|10139-10146,PREF|PREF|PREF,FUNCTION|FUNCTION|FUNCTION
Human,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14225,148-152|7978-7982|11427-11431|13121-13125,PREF|PREF|PREF|PREF,HUMAN|HUMAN|HUMAN|HUMAN
Associated,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25281,183-192|1665-1674|3138-3147|5395-5404|8128-8137|11836-11845|11899-11908|11969-11978|12584-12593,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,ASSOCIATED|ASSOCIATED|ASSOCIATED|ASSOCIATED|ASSOCIATED|ASSOCIATED|ASSOCIATED|ASSOCIATED|ASSOCIATED
Separate,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63803,212-219|2721-2728|6619-6626,PREF|PREF|PREF,SEPARATE|SEPARATE|SEPARATE
