prefLabel,id,from_to,matchType,text
reproduction,http://sbmi.uth.tmc.edu/ontology/ochv#10734,14-25|2509-2520|5876-5887|7633-7644|8918-8929|11691-11702|13294-13305,PREF|PREF|PREF|PREF|PREF|PREF|PREF,REPRODUCTION|REPRODUCTION|REPRODUCTION|REPRODUCTION|REPRODUCTION|REPRODUCTION|REPRODUCTION
reproduction,http://sbmi.uth.tmc.edu/ontology/ochv#C0035150,14-25|2509-2520|5876-5887|7633-7644|8918-8929|11691-11702|13294-13305,PREF|PREF|PREF|PREF|PREF|PREF|PREF,REPRODUCTION|REPRODUCTION|REPRODUCTION|REPRODUCTION|REPRODUCTION|REPRODUCTION|REPRODUCTION
paraspinal,http://sbmi.uth.tmc.edu/ontology/ochv#C0442145,83-92|298-307|856-865|1731-1740|2425-2434|2607-2616|2949-2958|3174-3183|4750-4759|4900-4909|5412-5421|5575-5584|7770-7779|12111-12120|12722-12731|13008-13017|13662-13671,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PARASPINAL|PARASPINAL|PARASPINAL|PARASPINAL|PARASPINAL|PARASPINAL|PARASPINAL|PARASPINAL|PARASPINAL|PARASPINAL|PARASPINAL|PARASPINAL|PARASPINAL|PARASPINAL|PARASPINAL|PARASPINAL|PARASPINAL
muscle,http://sbmi.uth.tmc.edu/ontology/ochv#8358,94-100|309-314|867-873|1434-1439|1488-1493|1742-1748|2436-2442|2618-2623|2960-2966|3038-3044|3186-3191|4028-4033|4761-4766|4911-4917|5423-5429|6374-6380|6495-6501|7470-7476|7510-7516|7781-7787|8016-8021|8405-8411|10274-10279|10483-10488|11811-11817|12122-12128|12733-12739|12839-12844|12914-12919|13019-13025|13143-13149|13271-13277|13344-13349|13483-13489|13673-13679,SYN|PREF|SYN|PREF|PREF|SYN|SYN|PREF|SYN|SYN|PREF|PREF|PREF|SYN|SYN|SYN|SYN|SYN|SYN|SYN|PREF|SYN|PREF|PREF|SYN|SYN|SYN|PREF|PREF|SYN|SYN|SYN|PREF|SYN|SYN,MUSCLES|MUSCLE|MUSCLES|MUSCLE|MUSCLE|MUSCLES|MUSCLES|MUSCLE|MUSCLES|MUSCLES|MUSCLE|MUSCLE|MUSCLE|MUSCLES|MUSCLES|MUSCLES|MUSCLES|MUSCLES|MUSCLES|MUSCLES|MUSCLE|MUSCLES|MUSCLE|MUSCLE|MUSCLES|MUSCLES|MUSCLES|MUSCLE|MUSCLE|MUSCLES|MUSCLES|MUSCLES|MUSCLE|MUSCLES|MUSCLES
activated,http://sbmi.uth.tmc.edu/ontology/ochv#C0879526,121-129|13031-13039,PREF|PREF,ACTIVATED|ACTIVATED
function,http://sbmi.uth.tmc.edu/ontology/ochv#38604,138-145|3702-3709|10139-10146,PREF|PREF|PREF,FUNCTION|FUNCTION|FUNCTION
function,http://sbmi.uth.tmc.edu/ontology/ochv#C0542341,138-145|3702-3709|10139-10146,PREF|PREF|PREF,FUNCTION|FUNCTION|FUNCTION
function,http://sbmi.uth.tmc.edu/ontology/ochv#C0422812,138-145|3702-3709|10139-10146,PREF|PREF|PREF,FUNCTION|FUNCTION|FUNCTION
human,http://sbmi.uth.tmc.edu/ontology/ochv#6299,148-152|7978-7982|11427-11431|13074-13079|13121-13125,PREF|PREF|PREF|SYN|PREF,HUMAN|HUMAN|HUMAN|HUMANS|HUMAN
human,http://sbmi.uth.tmc.edu/ontology/ochv#C0020114,148-152|7978-7982|11427-11431|13121-13125,PREF|PREF|PREF|PREF,HUMAN|HUMAN|HUMAN|HUMAN
