prefLabel,id,from_to,matchType,text
Presentation,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61388,16-24|814-825|3043-3051|10117-10125,SYN|PREF|SYN|SYN,PRESENTED|PRESENTATION|PRESENTED|PRESENTED
National,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61423,33-40,PREF,NATIONAL
Neurobiology,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C19626,77-88,PREF,NEUROBIOLOGY
Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3303,93-96|179-182|364-367|424-427|714-717|895-898|1126-1129|1465-1468|1516-1519|1581-1584|1753-1756|1928-1931|2264-2267|2322-2325|2950-2953|3457-3460|3631-3634|3777-3780|3848-3851|4007-4010|4147-4150|4290-4293|4402-4405|4917-4920|4993-4996|5365-5368|5430-5433|5466-5469|5502-5505|5862-5865|6010-6013|6187-6190|6478-6481|6956-6959|7122-7125|7302-7305|8012-8015|8336-8339|8555-8558|9494-9497|9575-9578|9856-9859|12604-12607|12769-12772|12968-12971|13613-13616|13663-13666|13744-13747|13853-13856|13935-13938,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
December,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C106192,104-111,PREF,DECEMBER
Center,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25445,157-162|8408-8414|9460-9465,PREF|SYN|PREF,CENTER|CENTRAL|CENTER
Perception,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16967,184-193|1131-1140|1586-1595|1758-1767|2269-2278|2327-2336|2955-2964|4998-5007|5346-5354|6152-6160|9877-9886|13405-13414|13749-13758|13843-13851|13991-14000,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|SYN|SYN|PREF|PREF|PREF|SYN|PREF,PERCEPTION|PERCEPTION|PERCEPTION|PERCEPTION|PERCEPTION|PERCEPTION|PERCEPTION|PERCEPTION|PERCEIVED|PERCEIVED|PERCEPTION|PERCEPTION|PERCEPTION|PERCEIVED|PERCEPTION
Role,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48835,207-210|388-391|696-699|1420-1423|1536-1539|2256-2259|2929-2932|13008-13011|13649-13652,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,ROLE|ROLE|ROLE|ROLE|ROLE|ROLE|ROLE|ROLE|ROLE
Primary,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25251,216-222|479-485|1544-1550,PREF|PREF|PREF,PRIMARY|PRIMARY|PRIMARY
Abstract,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C60765,247-254,PREF,ABSTRACT
Abstract,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C42874,247-254,PREF,ABSTRACT
Lesion,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3824,287-292,PREF,LESION
Data,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25474,294-297|5922-5925|7672-7675|8171-8174|8671-8674|8887-8890|9067-9070|9641-9644|9822-9825|10555-10558|11301-11304|11416-11419|11496-11499|11572-11575|11756-11759|12007-12010|13696-13699,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,DATA|DATA|DATA|DATA|DATA|DATA|DATA|DATA|DATA|DATA|DATA|DATA|DATA|DATA|DATA|DATA|DATA
