prefLabel,id,from_to,matchType,text
paper,http://sbmi.uth.tmc.edu/ontology/ochv#9244,6-10,PREF,PAPER
paper,http://sbmi.uth.tmc.edu/ontology/ochv#C0030351,6-10,PREF,PAPER
national academy of sciences,http://sbmi.uth.tmc.edu/ontology/ochv#C0027446,33-60,PREF,NATIONAL ACADEMY OF SCIENCES
academy,http://sbmi.uth.tmc.edu/ontology/ochv#C0000876,42-48,PREF,ACADEMY
neurobiology,http://sbmi.uth.tmc.edu/ontology/ochv#8627,77-88,PREF,NEUROBIOLOGY
neurobiology,http://sbmi.uth.tmc.edu/ontology/ochv#C0027817,77-88,PREF,NEUROBIOLOGY
pain,http://sbmi.uth.tmc.edu/ontology/ochv#9185,93-96|179-182|364-367|424-427|714-717|895-898|1126-1129|1465-1468|1516-1519|1581-1584|1753-1756|1928-1931|2264-2267|2322-2325|2570-2576|2950-2953|3457-3460|3631-3634|3777-3780|3848-3851|3902-3908|4007-4010|4147-4150|4290-4293|4402-4405|4917-4920|4993-4996|5365-5368|5430-5433|5466-5469|5502-5505|5862-5865|6010-6013|6187-6190|6478-6481|6616-6622|6733-6739|6956-6959|7077-7083|7122-7125|7302-7305|8012-8015|8245-8251|8336-8339|8555-8558|9350-9356|9494-9497|9575-9578|9856-9859|10097-10103|10451-10457|12362-12368|12604-12607|12769-12772|12968-12971|13613-13616|13663-13666|13744-13747|13853-13856|13935-13938|14025-14031,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|SYN|PREF|PREF|PREF|PREF|PREF|SYN|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|SYN|SYN|PREF|SYN|PREF|PREF|PREF|SYN|PREF|PREF|SYN|PREF|PREF|PREF|SYN|SYN|SYN|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|SYN,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAINFUL|PAIN|PAIN|PAIN|PAIN|PAIN|PAINFUL|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAINFUL|PAINFUL|PAIN|PAINFUL|PAIN|PAIN|PAIN|PAINFUL|PAIN|PAIN|PAINFUL|PAIN|PAIN|PAIN|PAINFUL|PAINFUL|PAINFUL|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAINFUL
pain,http://sbmi.uth.tmc.edu/ontology/ochv#C0030193,93-96|179-182|364-367|424-427|714-717|895-898|1126-1129|1465-1468|1516-1519|1581-1584|1753-1756|1928-1931|2264-2267|2322-2325|2950-2953|3457-3460|3631-3634|3777-3780|3848-3851|4007-4010|4147-4150|4290-4293|4402-4405|4917-4920|4993-4996|5365-5368|5430-5433|5466-5469|5502-5505|5862-5865|6010-6013|6187-6190|6478-6481|6956-6959|7122-7125|7302-7305|8012-8015|8336-8339|8555-8558|9494-9497|9575-9578|9856-9859|12604-12607|12769-12772|12968-12971|13613-13616|13663-13666|13744-13747|13853-13856|13935-13938,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
1998,http://sbmi.uth.tmc.edu/ontology/ochv#1998,119-122,PREF,1998
central,http://sbmi.uth.tmc.edu/ontology/ochv#20304,157-162|8408-8414|9198-9205|9460-9465|11855-11862|12436-12443,SYN|PREF|SYN|SYN|SYN|SYN,CENTER|CENTRAL|CENTERED|CENTER|CENTERED|CENTERED
pain perception,http://sbmi.uth.tmc.edu/ontology/ochv#49233,179-193|1126-1140|1581-1595|1753-1767|2264-2278|2322-2336|2950-2964|4993-5007|13741-13758|13744-13758,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|SYN|PREF,PAIN PERCEPTION|PAIN PERCEPTION|PAIN PERCEPTION|PAIN PERCEPTION|PAIN PERCEPTION|PAIN PERCEPTION|PAIN PERCEPTION|PAIN PERCEPTION|OF PAIN PERCEPTION|PAIN PERCEPTION
pain perception,http://sbmi.uth.tmc.edu/ontology/ochv#C0814071,179-193|1126-1140|1581-1595|1753-1767|2264-2278|2322-2336|2950-2964|4993-5007|13744-13758,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN PERCEPTION|PAIN PERCEPTION|PAIN PERCEPTION|PAIN PERCEPTION|PAIN PERCEPTION|PAIN PERCEPTION|PAIN PERCEPTION|PAIN PERCEPTION|PAIN PERCEPTION
perception,http://sbmi.uth.tmc.edu/ontology/ochv#9468,184-193|1131-1140|1586-1595|1758-1767|2269-2278|2327-2336|2955-2964|4998-5007|9877-9886|13405-13414|13749-13758|13991-14000,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PERCEPTION|PERCEPTION|PERCEPTION|PERCEPTION|PERCEPTION|PERCEPTION|PERCEPTION|PERCEPTION|PERCEPTION|PERCEPTION|PERCEPTION|PERCEPTION
perception,http://sbmi.uth.tmc.edu/ontology/ochv#C0030971,184-193|1131-1140|1586-1595|1758-1767|2269-2278|2327-2336|2955-2964|4998-5007|9877-9886|13405-13414|13749-13758|13991-14000,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PERCEPTION|PERCEPTION|PERCEPTION|PERCEPTION|PERCEPTION|PERCEPTION|PERCEPTION|PERCEPTION|PERCEPTION|PERCEPTION|PERCEPTION|PERCEPTION
