prefLabel,id,from_to,matchType,text
Brain,http://psink.de/scio/Brain,520-524|2854-2858|3982-3986|10138-10142|10478-10482|12139-12143|12579-12583|12675-12679|12869-12873,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,BRAIN|BRAIN|BRAIN|BRAIN|BRAIN|BRAIN|BRAIN|BRAIN|BRAIN
Cell,http://psink.de/scio/Cell,2039-2042,PREF,CELL
Significance,http://psink.de/scio/Significance,2160-2171|10856-10867,PREF|PREF,SIGNIFICANCE|SIGNIFICANCE
Decrease,http://psink.de/scio/Decrease,3319-3326,PREF,DECREASE
Experiment,http://psink.de/scio/Experiment,5600-5609|6673-6682,PREF|PREF,EXPERIMENT|EXPERIMENT
Change,http://psink.de/scio/Change,5718-5723,PREF,CHANGE
Left,http://psink.de/scio/Left,9368-9371|12250-12253,PREF|PREF,LEFT|LEFT
Right,http://psink.de/scio/Right,9534-9538,PREF,RIGHT
Duration,http://psink.de/scio/Duration,10410-10417|13354-13361,PREF|PREF,DURATION|DURATION
Location,http://psink.de/scio/Location,10420-10427|13340-13347,PREF|PREF,LOCATION|LOCATION
Observation,http://psink.de/scio/Observation,12754-12764,PREF,OBSERVATION
Tissue,http://psink.de/scio/Tissue,13267-13272,PREF,TISSUE
