prefLabel,id,from_to,matchType,text
Mice,http://purl.bioontology.org/ontology/MESH/D051379,207-211|1584-1587|4981-4985|5003-5007|5253-5256|5604-5607|6214-6217|6426-6429|6635-6638|6666-6669|7070-7073|7189-7192|7526-7529|7833-7836|10196-10199|10220-10223|10283-10286|10305-10308|12794-12797|13890-13894,SYN|PREF|SYN|SYN|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|SYN,MOUSE|MICE|MOUSE|MOUSE|MICE|MICE|MICE|MICE|MICE|MICE|MICE|MICE|MICE|MICE|MICE|MICE|MICE|MICE|MICE|MOUSE
Chronic Pain,http://purl.bioontology.org/ontology/MESH/D059350,228-239|334-345|626-637|865-876|1011-1022|5770-5781|6838-6849|7320-7331|7887-7898|8051-8062|8714-8725|9295-9306|10579-10590|10934-10945|13537-13548,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,CHRONIC PAIN|CHRONIC PAIN|CHRONIC PAIN|CHRONIC PAIN|CHRONIC PAIN|CHRONIC PAIN|CHRONIC PAIN|CHRONIC PAIN|CHRONIC PAIN|CHRONIC PAIN|CHRONIC PAIN|CHRONIC PAIN|CHRONIC PAIN|CHRONIC PAIN|CHRONIC PAIN
Pain,http://purl.bioontology.org/ontology/MESH/D010146,236-239|342-345|634-637|873-876|1019-1022|1098-1101|1160-1163|1375-1378|1450-1453|4665-4668|5071-5074|5778-5781|6846-6849|6928-6931|6971-6974|7328-7331|7404-7407|7895-7898|8059-8062|8329-8332|8722-8725|8979-8982|9008-9011|9239-9242|9303-9306|9565-9568|9725-9728|10343-10346|10587-10590|10697-10700|10831-10834|10942-10945|11008-11011|11602-11605|13545-13548|13928-13931,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
Behavior,http://purl.bioontology.org/ontology/MESH/D001519,241-248|639-646|4670-4677|6933-6940|7900-7907|9570-9577|10348-10355|10592-10599|10702-10709|13933-13940,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR
Behavior,http://purl.bioontology.org/ontology/STY/T053,241-248|639-646|4670-4677|6933-6940|7900-7907|9570-9577|10348-10355|10592-10599|10702-10709|13933-13940,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR
Activity,http://purl.bioontology.org/ontology/STY/T052,273-280|408-415|586-593|774-781|806-813|5291-5298|5431-5438|5575-5582|7386-7393|7714-7721|7875-7882|8840-8847|9488-9495|9686-9693|10036-10043|10407-10414|10555-10562|10667-10674|11885-11892|12268-12275|12291-12298|13320-13327,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY
Health,http://purl.bioontology.org/ontology/MESH/D006262,889-894,PREF,HEALTH
Tissue,http://purl.bioontology.org/ontology/STY/T024,939-944,PREF,TISSUE
Disease,http://purl.bioontology.org/ontology/MESH/D004194,978-984,PREF,DISEASE
Neurons,http://purl.bioontology.org/ontology/MESH/D009474,1251-1257|3241-3247|4419-4425|5319-5325|5759-5765|5999-6005|6733-6739|6814-6820|6917-6923|8250-8256|8270-8276|8468-8474|8488-8494|8654-8660|8900-8906|9126-9132|9640-9646|10369-10375|10782-10788|11793-11799|12149-12155|12224-12230|13828-13834,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,NEURONS|NEURONS|NEURONS|NEURONS|NEURONS|NEURONS|NEURONS|NEURONS|NEURONS|NEURONS|NEURONS|NEURONS|NEURONS|NEURONS|NEURONS|NEURONS|NEURONS|NEURONS|NEURONS|NEURONS|NEURONS|NEURONS|NEURONS
