prefLabel,id,from_to,matchType,text
Provide,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C80514,138-144|10951-10957,PREF|PREF,PROVIDE|PROVIDE
Evidence,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43583,156-163,PREF,EVIDENCE
Local,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C67263,176-183|6770-6777|7533-7537|7726-7730,SYN|SYN|PREF|PREF,REGIONAL|REGIONAL|LOCAL|LOCAL
Regional,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25643,176-183|6770-6777,PREF|PREF,REGIONAL|REGIONAL
Mouse,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14238,207-211|1584-1587|4981-4985|5003-5007|5253-5256|5604-5607|6214-6217|6426-6429|6635-6638|6666-6669|7070-7073|7189-7192|7526-7529|7833-7836|10196-10199|10220-10223|10283-10286|10305-10308|12794-12797|13890-13894,PREF|SYN|PREF|PREF|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|PREF,MOUSE|MICE|MOUSE|MOUSE|MICE|MICE|MICE|MICE|MICE|MICE|MICE|MICE|MICE|MICE|MICE|MICE|MICE|MICE|MICE|MOUSE
Chronic Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26940,228-239|334-345|626-637|865-876|1011-1022|5770-5781|6838-6849|7320-7331|7887-7898|8051-8062|8714-8725|9295-9306|10579-10590|10934-10945|13537-13548,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,CHRONIC PAIN|CHRONIC PAIN|CHRONIC PAIN|CHRONIC PAIN|CHRONIC PAIN|CHRONIC PAIN|CHRONIC PAIN|CHRONIC PAIN|CHRONIC PAIN|CHRONIC PAIN|CHRONIC PAIN|CHRONIC PAIN|CHRONIC PAIN|CHRONIC PAIN|CHRONIC PAIN
Chronic,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14141,228-234|334-340|626-632|865-871|1011-1017|1429-1435|5050-5056|5770-5776|6838-6844|6950-6956|7320-7326|7887-7893|8051-8057|8714-8720|9295-9301|10579-10585|10934-10940|13537-13543,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC
Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3303,236-239|342-345|634-637|873-876|1019-1022|1098-1101|1160-1163|1375-1378|1450-1453|4665-4668|5071-5074|5778-5781|6846-6849|6928-6931|6971-6974|7328-7331|7404-7407|7895-7898|8059-8062|8329-8332|8722-8725|8979-8982|9008-9011|9239-9242|9303-9306|9565-9568|9725-9728|10343-10346|10587-10590|10697-10700|10831-10834|10942-10945|11008-11011|11602-11605|13545-13548|13928-13931,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
Behavior,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16326,241-248|639-646|4670-4677|6933-6940|7900-7907|9570-9577|10348-10355|10592-10599|10702-10709|13933-13940,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR
Modulation,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C90063,253-262|7377-7384|10045-10053|10381-10388|10650-10659|12277-12285,SYN|SYN|SYN|SYN|PREF|SYN,MODULATING|MODULATE|MODULATED|MODULATE|MODULATION|MODULATED
